"pli0092_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","in school","","","",""
"Daily","1985","lower secondary degree","inadequately","","","",""
"Daily","1985","lower secondary degree","general elemantary","","","",""
"Daily","1985","lower secondary degree","middle vocational","","","",""
"Daily","1985","lower secondary degree","vocational + Abi","","","",""
"Daily","1985","lower secondary degree","higher vocational","","","",""
"Daily","1985","lower secondary degree","higher education","","","",""
"Daily","1985","secondary school degree","in school","","","",""
"Daily","1985","secondary school degree","inadequately","","","",""
"Daily","1985","secondary school degree","general elemantary","","","",""
"Daily","1985","secondary school degree","middle vocational","","","",""
"Daily","1985","secondary school degree","vocational + Abi","","","",""
"Daily","1985","secondary school degree","higher vocational","","","",""
"Daily","1985","secondary school degree","higher education","","","",""
"Daily","1985","college entrance qualification","in school","","","",""
"Daily","1985","college entrance qualification","inadequately","","","",""
"Daily","1985","college entrance qualification","general elemantary","","","",""
"Daily","1985","college entrance qualification","middle vocational","","","",""
"Daily","1985","college entrance qualification","vocational + Abi","","","",""
"Daily","1985","college entrance qualification","higher vocational","","","",""
"Daily","1985","college entrance qualification","higher education","","","",""
"Daily","1985","Other degree","in school","","","",""
"Daily","1985","Other degree","inadequately","","","",""
"Daily","1985","Other degree","general elemantary","","","",""
"Daily","1985","Other degree","middle vocational","","","",""
"Daily","1985","Other degree","vocational + Abi","","","",""
"Daily","1985","Other degree","higher vocational","","","",""
"Daily","1985","Other degree","higher education","","","",""
"Daily","1985","no degree/no degree yet","in school","","","",""
"Daily","1985","no degree/no degree yet","inadequately","","","",""
"Daily","1985","no degree/no degree yet","general elemantary","","","",""
"Daily","1985","no degree/no degree yet","middle vocational","","","",""
"Daily","1985","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1985","no degree/no degree yet","higher vocational","","","",""
"Daily","1985","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1985","lower secondary degree","in school","","","",""
"Min 1x per week","1985","lower secondary degree","inadequately","","","",""
"Min 1x per week","1985","lower secondary degree","general elemantary","285","0.11994881285776","0.105601620484993","0.134296005230527"
"Min 1x per week","1985","lower secondary degree","middle vocational","598","0.179457091088651","0.166030907493159","0.192883274684143"
"Min 1x per week","1985","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1985","lower secondary degree","higher vocational","63","0.229788120057987","0.180156043899441","0.279420196216533"
"Min 1x per week","1985","lower secondary degree","higher education","","","",""
"Min 1x per week","1985","secondary school degree","in school","","","",""
"Min 1x per week","1985","secondary school degree","inadequately","","","",""
"Min 1x per week","1985","secondary school degree","general elemantary","206","0.415412493410165","0.370908172439506","0.459916814380824"
