"pli0092_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","(0) in school","","","",""
"Daily","1985","no migration background","(1a) inadequately completed","","","",""
"Daily","1985","no migration background","(1b) general elementary school","","","",""
"Daily","1985","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","no migration background","(2a) intermediate vocational","","","",""
"Daily","1985","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","no migration background","(3a) lower tertiary education","","","",""
"Daily","1985","no migration background","(3b) higher tertiary education","","","",""
"Daily","1985","direct migration background","(0) in school","","","",""
"Daily","1985","direct migration background","(1a) inadequately completed","","","",""
"Daily","1985","direct migration background","(1b) general elementary school","","","",""
"Daily","1985","direct migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1985","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1985","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1985","indirect migration background","(0) in school","","","",""
"Daily","1985","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1985","indirect migration background","(1b) general elementary school","","","",""
"Daily","1985","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","no migration background","(0) in school","93","0.604091855989167","0.527102453322158","0.681081258656176"
"Min 1x per week","1985","no migration background","(1a) inadequately completed","13","","",""
"Min 1x per week","1985","no migration background","(1b) general elementary school","214","0.117653814021623","0.102265198149036","0.133042429894209"
"Min 1x per week","1985","no migration background","(1c) basic vocational qualification","594","0.184529913594272","0.170887702296879","0.198172124891664"
"Min 1x per week","1985","no migration background","(2b) intermediate general qualification","171","0.405949291153712","0.357884887573026","0.454013694734397"
"Min 1x per week","1985","no migration background","(2a) intermediate vocational","437","0.345741570408312","0.319215978987699","0.372267161828924"
"Min 1x per week","1985","no migration background","(2c_gen) general maturity certificate","118","0.457479542016633","0.396807011656172","0.518152072377094"
"Min 1x per week","1985","no migration background","(2c_voc) vocational maturity certificate","112","0.380344669996055","0.324179005061215","0.436510334930895"
"Min 1x per week","1985","no migration background","(3a) lower tertiary education","79","0.35665509365854","0.293643893348397","0.419666293968683"
"Min 1x per week","1985","no migration background","(3b) higher tertiary education","187","0.431986941185801","0.384328644988823","0.479645237382779"
"Min 1x per week","1985","direct migration background","(0) in school","7","","",""
"Min 1x per week","1985","direct migration background","(1a) inadequately completed","40","0.0711223283824861","0.0536151898883778","0.0886294668765944"
"Min 1x per week","1985","direct migration background","(1b) general elementary school","98","0.112587229238942","0.0916076269310264","0.133566831546857"
"Min 1x per week","1985","direct migration background","(1c) basic vocational qualification","105","0.149856683122759","0.122182055086206","0.177531311159311"
"Min 1x per week","1985","direct migration background","(2b) intermediate general qualification","24","","",""
"Min 1x per week","1985","direct migration background","(2a) intermediate vocational","19","","",""
"Min 1x per week","1985","direct migration background","(2c_gen) general maturity certificate","25","","",""
"Min 1x per week","1985","direct migration background","(2c_voc) vocational maturity certificate","28","","",""
"Min 1x per week","1985","direct migration background","(3a) lower tertiary education","7","","",""
"Min 1x per week","1985","direct migration background","(3b) higher tertiary education","25","","",""
"Min 1x per week","1985","indirect migration background","(0) in school","9","","",""
"Min 1x per week","1985","indirect migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1985","indirect migration background","(1b) general elementary school","13","","",""
"Min 1x per week","1985","indirect migration background","(1c) basic vocational qualification","7","","",""
"Min 1x per week","1985","indirect migration background","(2b) intermediate general qualification","11","","",""
"Min 1x per week","1985","indirect migration background","(2a) intermediate vocational","4","","",""
"Min 1x per week","1985","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","indirect migration background","(3a) lower tertiary education","","","",""
