"ple0160","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1999","16-34 y.","Full Time","2056","0.916422444787599","0.904902300073161","0.927942589502038","2"
"No","1999","66 and older","Not Working","1738","0.992885834622304","0.988948152060266","0.996823517184341","2"
"No","1999","35-65 y.","Not Working","1956","0.978891428813337","0.97259000955944","0.985192848067234","2"
"No","1999","66 and older","Part Time","63","0.977573437793977","0.941297875507123","1.01384900008083","2"
"No","1999","66 and older","Full Time","9","","","","2"
"No","1999","16-34 y.","Part Time","1040","0.890172382174864","0.872407290610764","0.907937473738964","2"
"No","1999","16-34 y.","Not Working","1126","0.921560715732795","0.906361378708512","0.936760052757077","2"
"No","1999","35-65 y.","Full Time","3453","0.957329978702223","0.950740572562385","0.963919384842061","2"
"No","1999","35-65 y.","Part Time","1601","0.948514291585149","0.937984659482727","0.959043923687571","2"
"Yes","1999","16-34 y.","Full Time","161","0.0835775552124005","0.0720574104979619","0.0950976999268392","1"
"Yes","1999","16-34 y.","Part Time","150","0.109827617825136","0.0920625262610356","0.127592709389237","1"
"Yes","1999","16-34 y.","Not Working","76","0.0784392842672052","0.0632399472429229","0.0936386212914876","1"
"Yes","1999","35-65 y.","Full Time","161","0.0426700212977769","0.036080615157939","0.0492594274376148","1"
"Yes","1999","35-65 y.","Part Time","91","0.0514857084148508","0.0409560763124289","0.0620153405172727","1"
"Yes","1999","35-65 y.","Not Working","43","0.021108571186663","0.0148071519327657","0.0274099904405604","1"
"Yes","1999","66 and older","Full Time","1","","","","1"
"Yes","1999","66 and older","Part Time","1","","","","1"
"Yes","1999","66 and older","Not Working","12","","","","1"
"No","2000","66 and older","Part Time","102","0.964505436451685","0.928945196609444","1.00006567629393","2"
"No","2000","66 and older","Not Working","3457","0.991013532415913","0.987881282431119","0.994145782400706","2"
"No","2000","35-65 y.","Not Working","3657","0.979012287840086","0.974413388599187","0.983611187080985","2"
"No","2000","16-34 y.","Full Time","2992","0.88423284981797","0.873433930364768","0.895031769271172","2"
"No","2000","66 and older","Full Time","39","1","1","1","2"
"No","2000","16-34 y.","Part Time","1678","0.876963472034402","0.86229355238115","0.891633391687654","2"
"No","2000","16-34 y.","Not Working","1693","0.927546728354067","0.915649862258313","0.93944359444982","2"
"No","2000","35-65 y.","Full Time","6257","0.939165431817147","0.933426986090928","0.944903877543365","2"
"No","2000","35-65 y.","Part Time","2871","0.937444778413536","0.928861879826102","0.946027677000969","2"
"Yes","2000","16-34 y.","Full Time","380","0.11576715018203","0.104968230728828","0.126566069635232","1"
"Yes","2000","16-34 y.","Part Time","248","0.123036527965598","0.108366608312346","0.13770644761885","1"
"Yes","2000","16-34 y.","Not Working","131","0.0724532716459334","0.0605564055501802","0.0843501377416867","1"
"Yes","2000","35-65 y.","Full Time","408","0.0608345681828535","0.055096122456635","0.0665730139090719","1"
"Yes","2000","35-65 y.","Part Time","187","0.0625552215864642","0.0539723229990305","0.071138120173898","1"
"Yes","2000","35-65 y.","Not Working","75","0.0209877121599141","0.0163888129190153","0.0255866114008129","1"
"Yes","2000","66 and older","Full Time","","","","","1"
"Yes","2000","66 and older","Part Time","2","","","","1"
"Yes","2000","66 and older","Not Working","30","0.00898646758408726","0.00585421759929394","0.0121187175688806","1"
"No","2001","66 and older","Full Time","28","","","","2"
"No","2001","66 and older","Part Time","123","0.987106257006175","0.967329069021578","1.00688344499077","2"
"No","2001","66 and older","Not Working","3257","0.989831101981926","0.986399237393119","0.993262966570733","2"
"No","2001","16-34 y.","Full Time","2591","0.88377450627815","0.872143927932932","0.895405084623369","2"
"No","2001","35-65 y.","Not Working","3177","0.981534439171502","0.976895219140907","0.986173659202097","2"
"No","2001","16-34 y.","Part Time","1500","0.851448462836686","0.834866055687768","0.868030869985603","2"
"No","2001","16-34 y.","Not Working","1480","0.930957932005163","0.918515947068589","0.943399916941737","2"
"No","2001","35-65 y.","Full Time","5754","0.941557078844021","0.935679998011817","0.947434159676225","2"
