"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","3.93","4","5309","1","2","5","7","3.88","3.98","4","4"
"2005","35-65 y.","4.05","4","11561","1","3","6","7","4.02","4.08","4","4"
"2005","66 and older","4.15","4","3732","1","3","6","7","4.09","4.21","4","4"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","3.72","4","3978","1","2","5","6","3.66","3.78","4","4"
"2009","35-65 y.","3.9","4","9828","1","2","5","6","3.86","3.94","4","4"
"2009","66 and older","4.01","4","4117","1","3","5","7","3.95","4.07","4","4"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","3.86","4","2177","1","2","5","7","3.78","3.94","4","4"
"2012","35-65 y.","4.11","4","4860","1","2","6","7","4.06","4.16","4","4"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","3.98","4","3690","1","2","5","7","3.92","4.04","4","4"
"2013","35-65 y.","4.17","4","10169","1","3","6","7","4.13","4.21","4","4"
"2013","66 and older","4.38","5","4906","2","3","6","7","4.33","4.43","5","5"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","4.1","4","7461","2","3","6","7","4.06","4.14","4","5"
"2017","35-65 y.","4.25","4","16555","2","3","6","7","4.22","4.28","5","5"
"2017","66 and older","4.49","5","4972","2","3","6","7","4.44","4.54","5","5"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","4.12","4","5401","1","3","6","7","4.07","4.17","4","4"
"2019","35-65 y.","4.09","4","15049","1","2","6","7","4.06","4.12","4","4"
"2019","66 and older","4.43","5","5167","2","3","6","7","4.38","4.48","5","5"
