"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","3.93","4","2337","1","2","5","7","3.86","4","4","4"
"2005","indirect migration background","4.16","4","826","2","3","6","7","4.04","4.28","4","4"
"2005","no migration background","4.06","4","17439","1","3","6","7","4.03","4.09","4","4"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","3.81","4","1635","1","2","5","7","3.72","3.9","4","4"
"2009","indirect migration background","4.09","4","710","2","3","5","7","3.95","4.23","4","4"
"2009","no migration background","3.88","4","15578","1","2","5","6","3.85","3.91","4","4"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","4.12","4","1067","1","3","6","7","4.01","4.23","4","5"
"2012","indirect migration background","4.3","5","481","1","3","6","7","4.13","4.47","4","5"
"2012","no migration background","3.96","4","5513","1","2","5","7","3.91","4.01","4","4"
"2013","direct migration background","4.25","4","1664","1","3","6","7","4.16","4.34","4","5"
"2013","indirect migration background","4.34","4","712","2","3","6","7","4.21","4.47","4","5"
"2013","no migration background","4.18","4","16389","1","3","6","7","4.15","4.21","4","4"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","4.41","5","7091","2","3","6","7","4.37","4.45","5","5"
"2017","indirect migration background","4.31","4","1700","1","3","6","7","4.22","4.4","4","5"
"2017","no migration background","4.24","4","20197","2","3","6","7","4.21","4.27","4","4"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","4.22","4","3794","1","3","6","7","4.16","4.28","4","5"
"2019","indirect migration background","4.39","5","1691","1","3","6","7","4.3","4.48","4","5"
"2019","no migration background","4.16","4","20132","1","3","6","7","4.13","4.19","4","4"
