"year","migback","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","(0) in school","4.62","5","54","4.1","5.14","2","3","6","7"
"2005","direct migration background","(1a) inadequately completed","3.16","3","159","2.89","3.43","1","2","4","5"
"2005","direct migration background","(1b) general elementary school","3.35","3.44","511","3.2","3.5","1","2","4","5"
"2005","direct migration background","(1c) basic vocational qualification","3.66","4","658","3.52","3.8","1","2","5","6"
"2005","direct migration background","(2a) intermediate vocational","4.29","4","148","4.02","4.56","2","3","5","7"
"2005","direct migration background","(2b) intermediate general qualification","5.09","6","47","4.52","5.66","1","4","7","7"
"2005","direct migration background","(2c_gen) general maturity certificate","4.09","4","107","3.74","4.44","1","3","6","6"
"2005","direct migration background","(2c_voc) vocational maturity certificate","4.24","4","268","4.03","4.45","2","3","6","7"
"2005","direct migration background","(3a) lower tertiary education","4.32","4","74","3.89","4.75","1","3","6","7"
"2005","direct migration background","(3b) higher tertiary education","4.93","5","262","4.71","5.15","2","4","6","7"
"2005","indirect migration background","(0) in school","4.39","4","91","4.02","4.76","2","3","6","7"
"2005","indirect migration background","(1a) inadequately completed","","","","","","","","",""
"2005","indirect migration background","(1b) general elementary school","3.94","4","114","3.6","4.28","2","2","5","7"
"2005","indirect migration background","(1c) basic vocational qualification","3.77","4","144","3.47","4.07","1","2","5","6"
"2005","indirect migration background","(2a) intermediate vocational","4.37","4","126","4.11","4.63","2","3","6","7"
"2005","indirect migration background","(2b) intermediate general qualification","4.04","4","70","3.59","4.49","1","3","6","6"
"2005","indirect migration background","(2c_gen) general maturity certificate","4.51","4","88","4.14","4.88","3","4","6","7"
"2005","indirect migration background","(2c_voc) vocational maturity certificate","4.47","5","56","3.99","4.95","2","3","6","6"
"2005","indirect migration background","(3a) lower tertiary education","","","","","","","","",""
"2005","indirect migration background","(3b) higher tertiary education","4.69","5","48","4.24","5.14","2","4","6","7"
"2005","no migration background","(0) in school","4.15","4","507","3.99","4.31","1","2","6","7"
"2005","no migration background","(1a) inadequately completed","3.38","3","76","2.94","3.82","1","2","4","6"
"2005","no migration background","(1b) general elementary school","3.69","4","1212","3.59","3.79","1","2","5","6"
"2005","no migration background","(1c) basic vocational qualification","3.85","4","4863","3.8","3.9","1","2","5","6"
"2005","no migration background","(2a) intermediate vocational","4.01","4","4517","3.96","4.06","1","2","5","7"
"2005","no migration background","(2b) intermediate general qualification","3.95","4","461","3.78","4.12","1","3","5","6"
"2005","no migration background","(2c_gen) general maturity certificate","4.48","5","602","4.34","4.62","2","3","6","7"
"2005","no migration background","(2c_voc) vocational maturity certificate","4.34","4","1184","4.24","4.44","2","3","6","7"
"2005","no migration background","(3a) lower tertiary education","4.53","5","1552","4.44","4.62","2","3","6","7"
"2005","no migration background","(3b) higher tertiary education","4.62","5","2203","4.55","4.69","2","3","6","7"
"2006","direct migration background","(0) in school","","","","","","","","",""
"2006","direct migration background","(1a) inadequately completed","","","","","","","","",""
"2006","direct migration background","(1b) general elementary school","","","","","","","","",""
"2006","direct migration background","(1c) basic vocational qualification","","","","","","","","",""
"2006","direct migration background","(2a) intermediate vocational","","","","","","","","",""
"2006","direct migration background","(2b) intermediate general qualification","","","","","","","","",""
"2006","direct migration background","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","direct migration background","(3a) lower tertiary education","","","","","","","","",""
"2006","direct migration background","(3b) higher tertiary education","","","","","","","","",""
"2006","indirect migration background","(0) in school","","","","","","","","",""
"2006","indirect migration background","(1a) inadequately completed","","","","","","","","",""
"2006","indirect migration background","(1b) general elementary school","","","","","","","","",""
"2006","indirect migration background","(1c) basic vocational qualification","","","","","","","","",""
"2006","indirect migration background","(2a) intermediate vocational","","","","","","","","",""
"2006","indirect migration background","(2b) intermediate general qualification","","","","","","","","",""
"2006","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","indirect migration background","(3a) lower tertiary education","","","","","","","","",""
"2006","indirect migration background","(3b) higher tertiary education","","","","","","","","",""
"2006","no migration background","(0) in school","","","","","","","","",""
"2006","no migration background","(1a) inadequately completed","","","","","","","","",""
"2006","no migration background","(1b) general elementary school","","","","","","","","",""
"2006","no migration background","(1c) basic vocational qualification","","","","","","","","",""
"2006","no migration background","(2a) intermediate vocational","","","","","","","","",""
"2006","no migration background","(2b) intermediate general qualification","","","","","","","","",""
"2006","no migration background","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","no migration background","(3a) lower tertiary education","","","","","","","","",""
"2006","no migration background","(3b) higher tertiary education","","","","","","","","",""
"2007","direct migration background","(0) in school","","","","","","","","",""
"2007","direct migration background","(1a) inadequately completed","","","","","","","","",""
"2007","direct migration background","(1b) general elementary school","","","","","","","","",""
"2007","direct migration background","(1c) basic vocational qualification","","","","","","","","",""
"2007","direct migration background","(2a) intermediate vocational","","","","","","","","",""
"2007","direct migration background","(2b) intermediate general qualification","","","","","","","","",""
"2007","direct migration background","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","direct migration background","(3a) lower tertiary education","","","","","","","","",""
"2007","direct migration background","(3b) higher tertiary education","","","","","","","","",""
"2007","indirect migration background","(0) in school","","","","","","","","",""
"2007","indirect migration background","(1a) inadequately completed","","","","","","","","",""
"2007","indirect migration background","(1b) general elementary school","","","","","","","","",""
"2007","indirect migration background","(1c) basic vocational qualification","","","","","","","","",""
