"year","education","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","general elemantary","","","","","","","","",""
"2005","college entrance qualification","higher education","4.64","5","3156","4.58","4.7","2","3","6","7"
"2005","college entrance qualification","higher vocational","4.43","5","346","4.24","4.62","2","3","6","7"
"2005","college entrance qualification","in school","","","","","","","","",""
"2005","college entrance qualification","inadequately","","","","","","","","",""
"2005","college entrance qualification","middle vocational","4.48","5","732","4.35","4.61","2","3","6","7"
"2005","college entrance qualification","vocational + Abi","4.32","4","948","4.21","4.43","2","3","6","7"
"2005","lower secondary degree","general elemantary","3.69","4","1480","3.6","3.78","1","2","5","6"
"2005","lower secondary degree","higher education","4.52","5","183","4.29","4.75","2","4","6","7"
"2005","lower secondary degree","higher vocational","3.97","4","448","3.8","4.14","1","2","6","6"
"2005","lower secondary degree","in school","","","","","","","","",""
"2005","lower secondary degree","inadequately","","","","","","","","",""
"2005","lower secondary degree","middle vocational","3.84","4","4894","3.79","3.89","1","2","5","6"
"2005","lower secondary degree","vocational + Abi","","","","","","","","",""
"2005","no degree/no degree yet","general elemantary","","","","","","","","",""
"2005","no degree/no degree yet","higher education","","","","","","","","",""
"2005","no degree/no degree yet","higher vocational","","","","","","","","",""
"2005","no degree/no degree yet","in school","4.24","4","648","4.1","4.38","1","3","6","7"
"2005","no degree/no degree yet","inadequately","3.05","3","196","2.8","3.3","1","2","4","5"
"2005","no degree/no degree yet","middle vocational","3.78","4","46","3.22","4.34","1","2","5","6"
"2005","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2005","Other degree","general elemantary","3.28","3","323","3.1","3.46","1","2","4","5"
"2005","Other degree","higher education","4.57","5","184","4.3","4.84","2","3","6","7"
"2005","Other degree","higher vocational","4.74","5","53","4.27","5.21","2","4","6","7"
"2005","Other degree","in school","","","","","","","","",""
"2005","Other degree","inadequately","3.31","4","37","2.64","3.98","1","1","5","6"
"2005","Other degree","middle vocational","3.47","4","381","3.29","3.65","1","2","5","6"
"2005","Other degree","vocational + Abi","3.91","4","121","3.59","4.23","2","2","5","7"
"2005","secondary school degree","general elemantary","4.09","4","575","3.94","4.24","1","3","6","7"
"2005","secondary school degree","higher education","4.53","5","621","4.4","4.66","2","3","6","7"
"2005","secondary school degree","higher vocational","4.07","4","694","3.94","4.2","2","3","6","7"
"2005","secondary school degree","in school","","","","","","","","",""
"2005","secondary school degree","inadequately","","","","","","","","",""
"2005","secondary school degree","middle vocational","4.03","4","4085","3.98","4.08","1","3","5","7"
"2005","secondary school degree","vocational + Abi","4.89","5","36","4.33","5.45","1","4","7","7"
"2006","college entrance qualification","general elemantary","","","","","","","","",""
"2006","college entrance qualification","higher education","","","","","","","","",""
"2006","college entrance qualification","higher vocational","","","","","","","","",""
"2006","college entrance qualification","in school","","","","","","","","",""
"2006","college entrance qualification","inadequately","","","","","","","","",""
"2006","college entrance qualification","middle vocational","","","","","","","","",""
"2006","college entrance qualification","vocational + Abi","","","","","","","","",""
"2006","lower secondary degree","general elemantary","","","","","","","","",""
"2006","lower secondary degree","higher education","","","","","","","","",""
"2006","lower secondary degree","higher vocational","","","","","","","","",""
"2006","lower secondary degree","in school","","","","","","","","",""
"2006","lower secondary degree","inadequately","","","","","","","","",""
"2006","lower secondary degree","middle vocational","","","","","","","","",""
"2006","lower secondary degree","vocational + Abi","","","","","","","","",""
"2006","no degree/no degree yet","general elemantary","","","","","","","","",""
"2006","no degree/no degree yet","higher education","","","","","","","","",""
"2006","no degree/no degree yet","higher vocational","","","","","","","","",""
"2006","no degree/no degree yet","in school","","","","","","","","",""
"2006","no degree/no degree yet","inadequately","","","","","","","","",""
"2006","no degree/no degree yet","middle vocational","","","","","","","","",""
"2006","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2006","Other degree","general elemantary","","","","","","","","",""
"2006","Other degree","higher education","","","","","","","","",""
"2006","Other degree","higher vocational","","","","","","","","",""
"2006","Other degree","in school","","","","","","","","",""
"2006","Other degree","inadequately","","","","","","","","",""
"2006","Other degree","middle vocational","","","","","","","","",""
"2006","Other degree","vocational + Abi","","","","","","","","",""
"2006","secondary school degree","general elemantary","","","","","","","","",""
"2006","secondary school degree","higher education","","","","","","","","",""
"2006","secondary school degree","higher vocational","","","","","","","","",""
"2006","secondary school degree","in school","","","","","","","","",""
"2006","secondary school degree","inadequately","","","","","","","","",""
"2006","secondary school degree","middle vocational","","","","","","","","",""
"2006","secondary school degree","vocational + Abi","","","","","","","","",""
"2007","college entrance qualification","general elemantary","","","","","","","","",""
"2007","college entrance qualification","higher education","","","","","","","","",""
"2007","college entrance qualification","higher vocational","","","","","","","","",""
"2007","college entrance qualification","in school","","","","","","","","",""
"2007","college entrance qualification","inadequately","","","","","","","","",""
"2007","college entrance qualification","middle vocational","","","","","","","","",""
"2007","college entrance qualification","vocational + Abi","","","","","","","","",""
"2007","lower secondary degree","general elemantary","","","","","","","","",""
"2007","lower secondary degree","higher education","","","","","","","","",""
"2007","lower secondary degree","higher vocational","","","","","","","","",""
"2007","lower secondary degree","in school","","","","","","","","",""
"2007","lower secondary degree","inadequately","","","","","","","","",""
"2007","lower secondary degree","middle vocational","","","","","","","","",""
"2007","lower secondary degree","vocational + Abi","","","","","","","","",""
"2007","no degree/no degree yet","general elemantary","","","","","","","","",""
"2007","no degree/no degree yet","higher education","","","","","","","","",""
"2007","no degree/no degree yet","higher vocational","","","","","","","","",""
"2007","no degree/no degree yet","in school","","","","","","","","",""
"2007","no degree/no degree yet","inadequately","","","","","","","","",""
"2007","no degree/no degree yet","middle vocational","","","","","","","","",""
"2007","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2007","Other degree","general elemantary","","","","","","","","",""
"2007","Other degree","higher education","","","","","","","","",""
"2007","Other degree","higher vocational","","","","","","","","",""
"2007","Other degree","in school","","","","","","","","",""
"2007","Other degree","inadequately","","","","","","","","",""
"2007","Other degree","middle vocational","","","","","","","","",""
"2007","Other degree","vocational + Abi","","","","","","","","",""
"2007","secondary school degree","general elemantary","","","","","","","","",""
"2007","secondary school degree","higher education","","","","","","","","",""
"2007","secondary school degree","higher vocational","","","","","","","","",""
"2007","secondary school degree","in school","","","","","","","","",""
"2007","secondary school degree","inadequately","","","","","","","","",""
"2007","secondary school degree","middle vocational","","","","","","","","",""
"2007","secondary school degree","vocational + Abi","","","","","","","","",""
"2008","college entrance qualification","general elemantary","","","","","","","","",""
"2008","college entrance qualification","higher education","","","","","","","","",""
"2008","college entrance qualification","higher vocational","","","","","","","","",""
"2008","college entrance qualification","in school","","","","","","","","",""
"2008","college entrance qualification","inadequately","","","","","","","","",""
"2008","college entrance qualification","middle vocational","","","","","","","","",""
"2008","college entrance qualification","vocational + Abi","","","","","","","","",""
"2008","lower secondary degree","general elemantary","","","","","","","","",""
"2008","lower secondary degree","higher education","","","","","","","","",""
"2008","lower secondary degree","higher vocational","","","","","","","","",""
"2008","lower secondary degree","in school","","","","","","","","",""
"2008","lower secondary degree","inadequately","","","","","","","","",""
"2008","lower secondary degree","middle vocational","","","","","","","","",""
"2008","lower secondary degree","vocational + Abi","","","","","","","","",""
"2008","no degree/no degree yet","general elemantary","","","","","","","","",""
"2008","no degree/no degree yet","higher education","","","","","","","","",""
"2008","no degree/no degree yet","higher vocational","","","","","","","","",""
"2008","no degree/no degree yet","in school","","","","","","","","",""
"2008","no degree/no degree yet","inadequately","","","","","","","","",""
"2008","no degree/no degree yet","middle vocational","","","","","","","","",""
"2008","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2008","Other degree","general elemantary","","","","","","","","",""
"2008","Other degree","higher education","","","","","","","","",""
"2008","Other degree","higher vocational","","","","","","","","",""
"2008","Other degree","in school","","","","","","","","",""
"2008","Other degree","inadequately","","","","","","","","",""
"2008","Other degree","middle vocational","","","","","","","","",""
"2008","Other degree","vocational + Abi","","","","","","","","",""
"2008","secondary school degree","general elemantary","","","","","","","","",""
"2008","secondary school degree","higher education","","","","","","","","",""
"2008","secondary school degree","higher vocational","","","","","","","","",""
"2008","secondary school degree","in school","","","","","","","","",""
"2008","secondary school degree","inadequately","","","","","","","","",""
"2008","secondary school degree","middle vocational","","","","","","","","",""
"2008","secondary school degree","vocational + Abi","","","","","","","","",""
"2009","college entrance qualification","general elemantary","","","","","","","","",""
"2009","college entrance qualification","higher education","4.61","5","3075","4.55","4.67","2","3","6","7"
"2009","college entrance qualification","higher vocational","4.12","4","299","3.92","4.32","2","3","6","7"
"2009","college entrance qualification","in school","","","","","","","","",""
"2009","college entrance qualification","inadequately","","","","","","","","",""
"2009","college entrance qualification","middle vocational","4.26","4","645","4.12","4.4","2","3","6","7"
"2009","college entrance qualification","vocational + Abi","4.22","4","867","4.1","4.34","2","3","6","7"
"2009","lower secondary degree","general elemantary","3.37","3","1151","3.27","3.47","1","2","4","6"
"2009","lower secondary degree","higher education","4.38","4","161","4.11","4.65","2","3","6","7"
"2009","lower secondary degree","higher vocational","3.98","4","382","3.8","4.16","1","3","5","7"
"2009","lower secondary degree","in school","","","","","","","","",""
"2009","lower secondary degree","inadequately","","","","","","","","",""
"2009","lower secondary degree","middle vocational","3.57","4","4169","3.52","3.62","1","2","5","6"
