"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","3.94","4","100","1","3","5","6","3.58","4.3","4","4"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","3.93","4","2237","1","2","5","7","3.85","4.01","4","4"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","4.19","4","35","2","3","6","6","3.66","4.72","3","5"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","4.16","4","791","2","3","6","7","4.04","4.28","4","4"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","4.02","4","4898","1","3","5","7","3.97","4.07","4","4"
"2005","no migration background","Westdeutschland, alte Bundeslaender","4.07","4","12541","1","3","6","7","4.04","4.1","4","4"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","4.41","5","74","2","3","6","7","3.97","4.85","3","5"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","3.79","4","1561","1","2","5","6","3.7","3.88","4","4"
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","4.62","5","41","2","3","6","7","4.06","5.18","3","5"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","4.07","4","669","2","3","5","7","3.93","4.21","4","4"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","3.99","4","4413","1","3","5","6","3.94","4.04","4","4"
"2009","no migration background","Westdeutschland, alte Bundeslaender","3.85","4","11165","1","2","5","6","3.82","3.88","4","4"
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","4.87","5","55","2","4","6","7","4.33","5.41","4","6"
"2012","direct migration background","Westdeutschland, alte Bundeslaender","4.1","4","1012","1","2","6","7","3.98","4.22","4","5"
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","3.89","4","31","1","2","6","6","3.18","4.6","4","6"
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","4.33","5","450","1","3","6","7","4.15","4.51","4","5"
