"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","4.53","5","5182","2","3","6","7","4.48","4.58","5","5"
"2005","lower secondary degree","3.83","4","7028","1","2","5","6","3.79","3.87","4","4"
"2005","no degree/no degree yet","3.85","4","896","1","2","5","7","3.72","3.98","4","4"
"2005","Other degree","3.74","4","1099","1","2","5","6","3.63","3.85","4","4"
"2005","secondary school degree","4.08","4","6011","2","3","6","7","4.03","4.13","4","4"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","4.45","5","4886","2","3","6","7","4.4","4.5","5","5"
"2009","lower secondary degree","3.57","4","5878","1","2","5","6","3.53","3.61","4","4"
"2009","no degree/no degree yet","3.48","3","477","1","2","5","6","3.31","3.65","4","4"
"2009","Other degree","3.68","4","794","1","2","5","6","3.55","3.81","3","4"
"2009","secondary school degree","3.87","4","5384","1","2","5","6","3.82","3.92","4","4"
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","4.5","5","2142","2","3","6","7","4.43","4.57","5","5"
"2012","lower secondary degree","3.51","4","1388","1","2","5","6","3.41","3.61","3","4"
"2012","no degree/no degree yet","3.89","4","346","1","2","6","7","3.68","4.1","3","4"
"2012","Other degree","4.18","4","661","1","3","6","7","4.04","4.32","4","5"
"2012","secondary school degree","3.92","4","2372","1","2","6","7","3.84","4","4","4"
"2013","college entrance qualification","4.67","5","5375","2","3","6","7","4.62","4.72","5","5"
"2013","lower secondary degree","3.84","4","5785","1","2","5","6","3.79","3.89","4","4"
"2013","no degree/no degree yet","3.73","4","478","1","2","5","6","3.56","3.9","4","4"
"2013","Other degree","4.25","4","1000","1","3","6","7","4.13","4.37","4","5"
"2013","secondary school degree","4.18","4","5608","2","3","6","7","4.13","4.23","4","4"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","4.66","5","7927","2","3","6","7","4.62","4.7","5","5"
"2017","lower secondary degree","3.94","4","6036","1","2","5","6","3.89","3.99","4","4"
"2017","no degree/no degree yet","4.1","4","1781","1","3","6","7","4.01","4.19","5","5"
"2017","Other degree","4.44","5","4474","2","3","6","7","4.38","4.5","5","5"
"2017","secondary school degree","4.19","4","7586","2","3","6","7","4.15","4.23","4","4"
"2018","college entrance qualification","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","",""
"2019","college entrance qualification","4.59","5","8527","2","3","6","7","4.55","4.63","5","5"
"2019","lower secondary degree","3.77","4","5265","1","2","5","6","3.72","3.82","4","4"
"2019","no degree/no degree yet","4.05","4","768","1","2","6","7","3.91","4.19","4","4"
"2019","Other degree","4.3","4","2522","1","3","6","7","4.22","4.38","4","5"
"2019","secondary school degree","4.11","4","7376","1","2","6","7","4.07","4.15","4","4"
