"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2004","16-34 y.","direct migration background","4.69","5","578","1","3","7","8","4.47","4.91","5","5"
"2004","16-34 y.","indirect migration background","4.63","5","602","1","3","7","8","4.42","4.84","5","5"
"2004","16-34 y.","no migration background","5.2","5","4126","1","3","7","8","5.12","5.28","5","6"
"2004","35-65 y.","direct migration background","4.79","5","1481","1","3","7","8","4.66","4.92","5","5"
"2004","35-65 y.","indirect migration background","5.45","5","143","2","4","7","9","5.02","5.88","5","6"
"2004","35-65 y.","no migration background","5.61","6","10252","2","4","8","9","5.56","5.66","6","6"
"2004","66 and older","direct migration background","5.63","5.15","357","3","4","8","8","5.37","5.89","5","6"
"2004","66 and older","indirect migration background","","","","","","","","","","",""
"2004","66 and older","no migration background","6.15","6","3374","3","5","8","9","6.07","6.23","6","7"
"2005","16-34 y.","direct migration background","4.26","4","500","0","2","7","8","4","4.52","4","5"
"2005","16-34 y.","indirect migration background","4.75","5","609","0","3","7","8","4.52","4.98","5","5"
"2005","16-34 y.","no migration background","5.15","5","3895","1","3","7","8","5.06","5.24","5","6"
"2005","35-65 y.","direct migration background","4.72","5","1397","0","3","7","8","4.58","4.86","5","5"
"2005","35-65 y.","indirect migration background","5.5","5.37","150","3","4","7","8","5.09","5.91","5","6"
"2005","35-65 y.","no migration background","5.62","6","9759","2","4","8","9","5.57","5.67","6","6"
"2005","66 and older","direct migration background","5.54","6","365","2","4","8","9","5.28","5.8","5","6"
"2005","66 and older","indirect migration background","","","","","","","","","","",""
"2005","66 and older","no migration background","6.29","7","3372","3","5","8","9","6.21","6.37","7","7"
"2006","16-34 y.","direct migration background","4.57","5","500","0","2","7","8","4.32","4.82","5","5"
"2006","16-34 y.","indirect migration background","4.83","5","586","0","3","7","8","4.61","5.05","5","5"
"2006","16-34 y.","no migration background","5.28","5","3825","1","3","7","9","5.19","5.37","5","6"
"2006","35-65 y.","direct migration background","4.74","5","1386","0","3","7","8","4.6","4.88","5","5"
"2006","35-65 y.","indirect migration background","5.32","6","173","1","4","7","8","4.91","5.73","5","7"
"2006","35-65 y.","no migration background","5.61","6","10530","2","4","8","9","5.56","5.66","6","6"
"2006","66 and older","direct migration background","5.23","5","387","2","3","7","9","4.98","5.48","5","6"
"2006","66 and older","indirect migration background","","","","","","","","","","",""
"2006","66 and older","no migration background","6.12","6","4006","3","5","8","9","6.05","6.19","6","7"
"2007","16-34 y.","direct migration background","4.53","5","415","0","2","7","8","4.25","4.81","5","6"
"2007","16-34 y.","indirect migration background","4.83","5","546","1","3","7","8","4.6","5.06","5","5"
"2007","16-34 y.","no migration background","5.4","6","3522","1","3","8","9","5.31","5.49","5","6"
"2007","35-65 y.","direct migration background","4.62","5","1248","1","3","7","8","4.48","4.76","5","5"
"2007","35-65 y.","indirect migration background","5.4","6","181","2","4","8","9","4.99","5.81","5","7"
"2007","35-65 y.","no migration background","5.55","6","9784","2","4","8","8","5.5","5.6","6","6"
"2007","66 and older","direct migration background","5.16","5","377","2","3","7","8","4.91","5.41","5","5"
"2007","66 and older","indirect migration background","","","","","","","","","","",""
"2007","66 and older","no migration background","6.06","6","3944","3","5","8","9","5.98","6.14","6","7"
"2008","16-34 y.","direct migration background","4.71","5","346","0","3","7","8","4.41","5.01","5","6"
"2008","16-34 y.","indirect migration background","4.9","5","535","1","3","7","8","4.67","5.13","5","5"
"2008","16-34 y.","no migration background","5.4","6","3268","2","3","7","8","5.31","5.49","6","6"
"2008","35-65 y.","direct migration background","4.84","5","1121","1","3","7","8","4.69","4.99","5","6"
"2008","35-65 y.","indirect migration background","5.64","6","189","2","4","7","8","5.27","6.01","5","7"
"2008","35-65 y.","no migration background","5.65","6","9130","2","4","8","8","5.6","5.7","6","6"
"2008","66 and older","direct migration background","5.06","5","369","2","3","7","8","4.81","5.31","5","6"
"2008","66 and older","indirect migration background","","","","","","","","","","",""
"2008","66 and older","no migration background","6.12","6","3917","3","5","8","9","6.05","6.19","6","7"
"2009","16-34 y.","direct migration background","4.71","5","289","1","3","7","8","4.38","5.04","5","6"
"2009","16-34 y.","indirect migration background","4.84","5","498","1","3","7","8","4.6","5.08","5","5"
"2009","16-34 y.","no migration background","5.5","6","3064","1","4","8","9","5.41","5.59","6","6"
"2009","35-65 y.","direct migration background","4.78","5","1000","1","3","7","8","4.62","4.94","5","5"
"2009","35-65 y.","indirect migration background","5.8","6","185","2","4","7","8","5.41","6.19","6","7"
"2009","35-65 y.","no migration background","5.71","6","8521","2","4","8","9","5.66","5.76","6","6"
"2009","66 and older","direct migration background","5.13","5","334","2","3","7","8","4.86","5.4","5","6"
"2009","66 and older","indirect migration background","","","","","","","","","","",""
"2009","66 and older","no migration background","6.17","7","3828","3","5","8","9","6.09","6.25","7","7"
"2010","16-34 y.","direct migration background","5.17","6","903","1","3","7","9","4.98","5.36","5","5"
"2010","16-34 y.","indirect migration background","4.75","5","717","0","3","7","9","4.53","4.97","5","6"
"2010","16-34 y.","no migration background","5.68","6","4730","2","4","8","9","5.6","5.76","6","6"
"2010","35-65 y.","direct migration background","4.82","5","1619","1","3","7","8","4.68","4.96","5","5"
"2010","35-65 y.","indirect migration background","5.62","6","373","1","4","8","8","5.33","5.91","5","7"
"2010","35-65 y.","no migration background","5.83","6","11145","2","4","8","9","5.78","5.88","6","7"
"2010","66 and older","direct migration background","5.38","5","315","2","4","7","9","5.11","5.65","5","6"
"2010","66 and older","indirect migration background","","","","","","","","","","",""
"2010","66 and older","no migration background","6.29","7","3701","3","5","8","9","6.22","6.36","7","7"
"2011","16-34 y.","direct migration background","5.6","6","716","1","4","8","9","5.39","5.81","5","6"
"2011","16-34 y.","indirect migration background","5.33","6","680","1","3","8","9","5.11","5.55","5","6"
"2011","16-34 y.","no migration background","5.81","6","4568","2","4","8","9","5.73","5.89","6","6"
"2011","35-65 y.","direct migration background","5.34","5","1641","1","3","7","9","5.21","5.47","5","6"
"2011","35-65 y.","indirect migration background","5.76","6","457","1","4","8","9","5.51","6.01","6","7"
"2011","35-65 y.","no migration background","6.02","7","12463","2","4","8","9","5.97","6.07","7","7"
