"plh0223","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Not Employed","129","0.0773049693700508","0.0642875205729199","0.0903224181671817"
"1 Strongly disagree","2005","16-34 y.","Employed","327","0.0893360596583811","0.0801505117073333","0.0985216076094289"
"1 Strongly disagree","2005","35-65 y.","Not Employed","157","0.0617413690320665","0.0526442871965079","0.070838450867625"
"1 Strongly disagree","2005","35-65 y.","Employed","626","0.0740696540540461","0.0686309969060851","0.0795083112020071"
"1 Strongly disagree","2005","66 and older","Not Employed","169","0.0504835899199881","0.0432845125697598","0.0576826672702164"
"1 Strongly disagree","2005","66 and older","Employed","20","","",""
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","243","0.14684248107115","0.129590715450798","0.164094246691502"
"2 on scale 1-7 ","2005","16-34 y.","Employed","584","0.151102274025206","0.139568384500538","0.162636163549874"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","258","0.0844636838368226","0.0739531327516408","0.0949742349220044"
"2 on scale 1-7 ","2005","35-65 y.","Employed","1208","0.125915898052202","0.119026214750594","0.13280558135381"
"2 on scale 1-7 ","2005","66 and older","Not Employed","269","0.0761847903186107","0.067461563205698","0.0849080174315233"
"2 on scale 1-7 ","2005","66 and older","Employed","17","","",""
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","245","0.142065575069061","0.125049297737312","0.159081852400811"
"3 on scale 1-7 ","2005","16-34 y.","Employed","638","0.169993562661549","0.157896788569809","0.18209033675329"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","375","0.139710753203623","0.126607176533212","0.152814329874033"
"3 on scale 1-7 ","2005","35-65 y.","Employed","1326","0.138452898814352","0.131280360048834","0.14562543757987"
"3 on scale 1-7 ","2005","66 and older","Not Employed","458","0.130962496169023","0.119869644163285","0.142055348174762"
"3 on scale 1-7 ","2005","66 and older","Employed","37","0.132684269024288","0.0884567883609001","0.176911749687676"
"4 on scale 1-7","2005","16-34 y.","Not Employed","353","0.230778987055397","0.210242943244255","0.25131503086654"
"4 on scale 1-7","2005","16-34 y.","Employed","838","0.223939610577555","0.210514254289642","0.237364966865469"
"4 on scale 1-7","2005","35-65 y.","Not Employed","646","0.250655593594982","0.234274906096851","0.267036281093114"
"4 on scale 1-7","2005","35-65 y.","Employed","2105","0.238392141119804","0.229543144272022","0.247241137967585"
"4 on scale 1-7","2005","66 and older","Not Employed","920","0.25431970350764","0.240000567129847","0.268638839885432"
"4 on scale 1-7","2005","66 and older","Employed","52","0.206305121771707","0.153548659466084","0.259061584077329"
"5 on scale 1-7","2005","16-34 y.","Not Employed","301","0.185600157099495","0.166650511530055","0.204549802668936"
"5 on scale 1-7","2005","16-34 y.","Employed","684","0.190460197882586","0.177814761508235","0.203105634256938"
"5 on scale 1-7","2005","35-65 y.","Not Employed","590","0.223491646128597","0.207746148050833","0.239237144206362"
"5 on scale 1-7","2005","35-65 y.","Employed","1828","0.207539169330445","0.199117051665913","0.215961286994978"
"5 on scale 1-7","2005","66 and older","Not Employed","710","0.195657338688238","0.18261308879497","0.208701588581507"
"5 on scale 1-7","2005","66 and older","Employed","44","0.211187771591713","0.15797509890871","0.264400444274716"
"6 on scale 1-7","2005","16-34 y.","Not Employed","240","0.146942105873611","0.129685496675006","0.164198715072216"
"6 on scale 1-7","2005","16-34 y.","Employed","438","0.116841041810385","0.106496059518142","0.127186024102628"
"6 on scale 1-7","2005","35-65 y.","Not Employed","429","0.151498833282544","0.137947452275572","0.165050214289517"
"6 on scale 1-7","2005","35-65 y.","Employed","1330","0.154855416021065","0.147342456120772","0.162368375921359"
"6 on scale 1-7","2005","66 and older","Not Employed","688","0.19570729739362","0.182661787417065","0.208752807370175"
"6 on scale 1-7","2005","66 and older","Employed","41","0.172812641285398","0.123519832023547","0.222105450547249"
"7 Strongly agree","2005","16-34 y.","Not Employed","106","0.0704657244612338","0.0579914657767402","0.0829399831457274"
"7 Strongly agree","2005","16-34 y.","Employed","195","0.0583272533843364","0.0507798360353679","0.0658746707333048"
"7 Strongly agree","2005","35-65 y.","Not Employed","234","0.0884381209213642","0.0777064951288712","0.0991697467138573"
"7 Strongly agree","2005","35-65 y.","Employed","484","0.0607748226080856","0.0558131388782104","0.0657365063379608"
"7 Strongly agree","2005","66 and older","Not Employed","339","0.0966847840028806","0.0869674033400837","0.106402164665677"
"7 Strongly agree","2005","66 and older","Employed","15","","",""
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2006","16-34 y.","Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Employed","","","",""
"1 Strongly disagree","2006","66 and older","Not Employed","","","",""
"1 Strongly disagree","2006","66 and older","Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Employed","","","",""
"4 on scale 1-7","2006","66 and older","Not Employed","","","",""
"4 on scale 1-7","2006","66 and older","Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Employed","","","",""
"5 on scale 1-7","2006","66 and older","Not Employed","","","",""
"5 on scale 1-7","2006","66 and older","Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Employed","","","",""
"6 on scale 1-7","2006","66 and older","Not Employed","","","",""
"6 on scale 1-7","2006","66 and older","Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Not Employed","","","",""
