"plh0223","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","53","0.104102520377679","0.0774140380405861","0.130791002714771"
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","","","",""
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","141","0.0702068024597117","0.0591817349832141","0.0812318699362092"
"1 Strongly disagree","2005","general elemantary","East Germany","","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","546","0.0741882517410183","0.0683042739819028","0.0800722295001337"
"1 Strongly disagree","2005","middle vocational","East Germany","191","0.0713993074990622","0.0615547338589118","0.0812438811392126"
"1 Strongly disagree","2005","vocational + Abi","West Germany","69","0.0772375379876664","0.0604716027970533","0.0940034731782795"
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","69","0.0633265384257737","0.0491451053924216","0.0775079714591257"
"1 Strongly disagree","2005","higher vocational","East Germany","33","0.0848680081645021","0.0582155469783386","0.111520469350666"
"1 Strongly disagree","2005","higher education","West Germany","162","0.0534769342432902","0.0453068468803993","0.0616470216061811"
"1 Strongly disagree","2005","higher education","East Germany","78","0.0555415761335588","0.0428549410298991","0.0682282112372184"
"2 on scale 1-7 ","2005","in school","West Germany","81","0.191097509681917","0.15673857431548","0.225456445048354"
"2 on scale 1-7 ","2005","in school","East Germany","30","0.155307493789893","0.0967564084211052","0.213858579158681"
"2 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","220","0.0950477056961615","0.0823921232096347","0.107703288182688"
"2 on scale 1-7 ","2005","general elemantary","East Germany","39","0.095701959649461","0.0645237446016008","0.126880174697321"
"2 on scale 1-7 ","2005","middle vocational","West Germany","849","0.105351208723202","0.0984585280096524","0.112243889436752"
"2 on scale 1-7 ","2005","middle vocational","East Germany","347","0.12714530539666","0.114408616197923","0.139881994595396"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","139","0.136066266439282","0.11453428173206","0.157598251146504"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","141","0.124443273896711","0.105222937056322","0.143663610737101"
"2 on scale 1-7 ","2005","higher vocational","East Germany","48","0.0801342534340646","0.0541688684013391","0.10609963846679"
"2 on scale 1-7 ","2005","higher education","West Germany","415","0.137941691746925","0.125419108034508","0.150464275459341"
"2 on scale 1-7 ","2005","higher education","East Germany","185","0.140257898755096","0.121022832437163","0.15949296507303"
"3 on scale 1-7 ","2005","in school","West Germany","94","0.153754570126483","0.122231661484121","0.185277478768845"
"3 on scale 1-7 ","2005","in school","East Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","288","0.146911504746531","0.131635020269191","0.162187989223871"
"3 on scale 1-7 ","2005","general elemantary","East Germany","47","0.126251362567025","0.0910510653332029","0.161451659800847"
"3 on scale 1-7 ","2005","middle vocational","West Germany","1074","0.139053426000082","0.131285214201008","0.146821637799155"
"3 on scale 1-7 ","2005","middle vocational","East Germany","373","0.133161149319574","0.120171621575652","0.146150677063496"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","159","0.142109621260792","0.120181761137525","0.16403748138406"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"3 on scale 1-7 ","2005","higher vocational","West Germany","183","0.15474183864941","0.133683131803614","0.175800545495205"
"3 on scale 1-7 ","2005","higher vocational","East Germany","56","0.102054863158705","0.0731037544863191","0.131005971831091"
"3 on scale 1-7 ","2005","higher education","West Germany","473","0.158158203300728","0.144907499314005","0.171408907287452"
"3 on scale 1-7 ","2005","higher education","East Germany","208","0.14809302835086","0.128418273949317","0.167767782752403"
"4 on scale 1-7","2005","in school","West Germany","101","0.197871786725025","0.16305586220111","0.232687711248941"
"4 on scale 1-7","2005","in school","East Germany","","","",""
"4 on scale 1-7","2005","inadequately","West Germany","51","0.193991304427385","0.141739926729417","0.246242682125354"
"4 on scale 1-7","2005","inadequately","East Germany","","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","464","0.220377463333549","0.202491008947058","0.238263917720039"
"4 on scale 1-7","2005","general elemantary","East Germany","91","0.29578003865164","0.247410311873277","0.344149765430003"
"4 on scale 1-7","2005","middle vocational","West Germany","1892","0.248335095211008","0.238635060316198","0.258035130105818"
"4 on scale 1-7","2005","middle vocational","East Germany","620","0.242635816163493","0.226246333449486","0.2590252988775"
"4 on scale 1-7","2005","vocational + Abi","West Germany","217","0.24387884733345","0.216910683785213","0.270847010881687"
"4 on scale 1-7","2005","vocational + Abi","East Germany","37","0.235154080654521","0.169645469852156","0.300662691456887"
"4 on scale 1-7","2005","higher vocational","West Germany","245","0.228661597185738","0.204207466457961","0.253115727913514"
"4 on scale 1-7","2005","higher vocational","East Germany","101","0.250058253296415","0.208643239781529","0.291473266811301"
"4 on scale 1-7","2005","higher education","West Germany","675","0.231189537522213","0.21587966483484","0.246499410209586"
"4 on scale 1-7","2005","higher education","East Germany","318","0.265148170093284","0.240697535592144","0.289598804594423"
"5 on scale 1-7","2005","in school","West Germany","79","0.152325493136619","0.120922940226368","0.183728046046871"
"5 on scale 1-7","2005","in school","East Germany","","","",""
"5 on scale 1-7","2005","inadequately","West Germany","36","0.167138363047092","0.117836736018593","0.216439990075591"
"5 on scale 1-7","2005","inadequately","East Germany","","","",""
"5 on scale 1-7","2005","general elemantary","West Germany","406","0.208388626450713","0.190862275825726","0.2259149770757"
"5 on scale 1-7","2005","general elemantary","East Germany","70","0.162725458615299","0.123605648948841","0.201845268281757"
"5 on scale 1-7","2005","middle vocational","West Germany","1526","0.199912351502566","0.190933294947135","0.208891408057996"
"5 on scale 1-7","2005","middle vocational","East Germany","532","0.197214344093202","0.182001708496274","0.21242697969013"
"5 on scale 1-7","2005","vocational + Abi","West Germany","199","0.21481143662083","0.189019479683357","0.240603393558302"
"5 on scale 1-7","2005","vocational + Abi","East Germany","","","",""
"5 on scale 1-7","2005","higher vocational","West Germany","255","0.224425086413701","0.2001321108567","0.248718061970701"
"5 on scale 1-7","2005","higher vocational","East Germany","85","0.203792121908766","0.165268210394766","0.242316033422766"
"5 on scale 1-7","2005","higher education","West Germany","600","0.21001006104893","0.195218681562161","0.2248014405357"
"5 on scale 1-7","2005","higher education","East Germany","258","0.219244320734947","0.196326797584466","0.242161843885428"
"6 on scale 1-7","2005","in school","West Germany","74","0.154697808759242","0.123095982801381","0.186299634717103"
"6 on scale 1-7","2005","in school","East Germany","","","",""
"6 on scale 1-7","2005","inadequately","West Germany","36","0.162631524786794","0.113867738312577","0.211395311261012"
"6 on scale 1-7","2005","inadequately","East Germany","","","",""
"6 on scale 1-7","2005","general elemantary","West Germany","333","0.152027866090843","0.136534318616939","0.167521413564747"
"6 on scale 1-7","2005","general elemantary","East Germany","46","0.159167961032629","0.120396024756489","0.197939897308769"
"6 on scale 1-7","2005","middle vocational","West Germany","1172","0.157285884360846","0.14911202579501","0.165459742926682"
"6 on scale 1-7","2005","middle vocational","East Germany","412","0.16278945337397","0.148674940690106","0.176903966057833"
"6 on scale 1-7","2005","vocational + Abi","West Germany","140","0.141182667557513","0.119314635362869","0.163050699752156"
"6 on scale 1-7","2005","vocational + Abi","East Germany","","","",""
"6 on scale 1-7","2005","higher vocational","West Germany","176","0.148444860668962","0.127742393409986","0.169147327927938"
"6 on scale 1-7","2005","higher vocational","East Germany","69","0.19474570030159","0.156873205820648","0.232618194782532"
"6 on scale 1-7","2005","higher education","West Germany","461","0.157978993128045","0.144734388980197","0.171223597275894"
"6 on scale 1-7","2005","higher education","East Germany","155","0.132556814796708","0.113773705904667","0.15133992368875"
"7 Strongly agree","2005","in school","West Germany","","","",""
"7 Strongly agree","2005","in school","East Germany","","","",""
"7 Strongly agree","2005","inadequately","West Germany","41","0.179332393244182","0.128639186054893","0.230025600433472"
"7 Strongly agree","2005","inadequately","East Germany","","","",""
"7 Strongly agree","2005","general elemantary","West Germany","211","0.107040031222492","0.0936990557541796","0.120381006690804"
"7 Strongly agree","2005","general elemantary","East Germany","","","",""
"7 Strongly agree","2005","middle vocational","West Germany","562","0.0758737824612783","0.0699287583075292","0.0818188066150274"
"7 Strongly agree","2005","middle vocational","East Germany","153","0.0656546241540388","0.0561852387952915","0.075124009512786"
"7 Strongly agree","2005","vocational + Abi","West Germany","51","0.0447136228004673","0.0317342013564631","0.0576930442444715"
"7 Strongly agree","2005","vocational + Abi","East Germany","","","",""
"7 Strongly agree","2005","higher vocational","West Germany","64","0.0559568047597051","0.0425737417436284","0.0693398677757818"
"7 Strongly agree","2005","higher vocational","East Germany","","","",""
