"plh0223","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","456","0.0860811007300333","0.0785447830582488","0.0936174184018177"
"1 Strongly disagree","2005","35-65 y.","783","0.0710890067333184","0.0664118463537357","0.0757661671129011"
"1 Strongly disagree","2005","66 and older","189","0.0525281998943764","0.0454154252265497","0.0596409745622032"
"2 on scale 1-7 ","2005","16-34 y.","827","0.149949805647326","0.140356976696628","0.159542634598025"
"2 on scale 1-7 ","2005","35-65 y.","1466","0.115893868952532","0.110067789277869","0.121719948627196"
"2 on scale 1-7 ","2005","66 and older","286","0.0768697290324746","0.0683765786020047","0.0853628794629445"
"3 on scale 1-7 ","2005","16-34 y.","883","0.162437767601718","0.152527086303005","0.17234844890043"
"3 on scale 1-7 ","2005","35-65 y.","1701","0.138757014131978","0.132465077941783","0.145048950322173"
"3 on scale 1-7 ","2005","66 and older","495","0.131058951857551","0.120299549541472","0.141818354173631"
"4 on scale 1-7","2005","16-34 y.","1191","0.225789974010741","0.214556005973108","0.237023942048374"
"4 on scale 1-7","2005","35-65 y.","2751","0.241357113676639","0.233568812555648","0.24914541479763"
"4 on scale 1-7","2005","66 and older","972","0.251629871613397","0.237794240793101","0.265465502433693"
"5 on scale 1-7","2005","16-34 y.","985","0.189145335076312","0.178622790149111","0.199667880003513"
"5 on scale 1-7","2005","35-65 y.","2418","0.211396048624087","0.203964627121602","0.218827470126572"
"5 on scale 1-7","2005","66 and older","754","0.196527371337588","0.183857951996272","0.209196790678904"
"6 on scale 1-7","2005","16-34 y.","678","0.124984753217854","0.116099132114328","0.133870374321381"
"6 on scale 1-7","2005","35-65 y.","1759","0.154043884706812","0.147473510031448","0.160614259382177"
"6 on scale 1-7","2005","66 and older","729","0.194424712520835","0.181806772888905","0.207042652152765"
"7 Strongly agree","2005","16-34 y.","301","0.0616112637160153","0.0551506628240613","0.0680718646079692"
"7 Strongly agree","2005","35-65 y.","718","0.0674630631746332","0.0628978607701706","0.0720282655790958"
"7 Strongly agree","2005","66 and older","354","0.0969611637437769","0.0875268184167878","0.106395509070766"
"1 Strongly disagree","2006","16-34 y.","","","",""
