"plh0223","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","West Germany","443","0.0745889917951383","0.0679888823187346","0.081189101271542"
"1 Strongly disagree","2005","Full Time","East Germany","154","0.0738202685631463","0.0621698091007837","0.0854707280255089"
"1 Strongly disagree","2005","Part Time","West Germany","301","0.088620462600651","0.0795928420668926","0.0976480831344094"
"1 Strongly disagree","2005","Part Time","East Germany","75","0.0768551121556412","0.0604118061183965","0.0932984181928858"
"1 Strongly disagree","2005","Not Working","West Germany","332","0.0571777199244487","0.0511821911952482","0.0631732486536492"
"1 Strongly disagree","2005","Not Working","East Germany","123","0.0641065995878024","0.0536254260409001","0.0745877731347048"
"2 on scale 1-7 ","2005","Full Time","West Germany","839","0.130555378199871","0.122091590009737","0.139019166390006"
"2 on scale 1-7 ","2005","Full Time","East Germany","290","0.144659849135108","0.128986888611528","0.160332809658689"
"2 on scale 1-7 ","2005","Part Time","West Germany","524","0.131598734073696","0.120860256058783","0.14233721208861"
"2 on scale 1-7 ","2005","Part Time","East Germany","156","0.13990913976903","0.118494388499846","0.161323891038214"
"2 on scale 1-7 ","2005","Not Working","West Germany","527","0.0871551700012775","0.0798716014729793","0.0944387385295757"
"2 on scale 1-7 ","2005","Not Working","East Germany","243","0.104927239870115","0.0918137391723563","0.118040740567874"
"3 on scale 1-7 ","2005","Full Time","West Germany","943","0.151637593545017","0.142627265775353","0.160647921314682"
"3 on scale 1-7 ","2005","Full Time","East Germany","297","0.141845504990708","0.126300239768451","0.157390770212964"
"3 on scale 1-7 ","2005","Part Time","West Germany","596","0.146070408656727","0.13485154664194","0.157289270671514"
"3 on scale 1-7 ","2005","Part Time","East Germany","165","0.140320831588968","0.11887972965958","0.161761933518356"
"3 on scale 1-7 ","2005","Not Working","West Germany","790","0.136763914063665","0.127891338482583","0.145636489644748"
"3 on scale 1-7 ","2005","Not Working","East Germany","288","0.131363631897393","0.116909170057492","0.145818093737293"
"4 on scale 1-7","2005","Full Time","West Germany","1365","0.229767200621423","0.219198989978618","0.240335411264228"
