"plh0223","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","854","0.0710371907489406","0.06655157460638","0.0755228068915013"
"1 Strongly disagree","2005","no migration background","East Germany","342","0.0705783238084714","0.0634129659952245","0.0777436816217183"
"1 Strongly disagree","2005","direct migration background","West Germany","150","0.0626687824814004","0.0526853002547717","0.0726522647080291"
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","72","0.0997511815094956","0.0788810202652062","0.120621342753785"
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","1527","0.112869693434522","0.107344309840861","0.118395077028182"
"2 on scale 1-7 ","2005","no migration background","East Germany","676","0.125280029477461","0.116018744278476","0.134541314676446"
"2 on scale 1-7 ","2005","direct migration background","West Germany","241","0.106144544784481","0.0934565682526766","0.118832521316285"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","122","0.15761401016194","0.132237115479344","0.182990904844536"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","1930","0.149391995417162","0.143167438395371","0.155616552438952"
"3 on scale 1-7 ","2005","no migration background","East Germany","734","0.137565270424827","0.12792890333922","0.147201637510434"
"3 on scale 1-7 ","2005","direct migration background","West Germany","272","0.116037613008826","0.102845141468553","0.129230084549099"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","127","0.156252732715476","0.130965255725498","0.181540209705453"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2992","0.239826726932289","0.23237108329875","0.247282370565828"
"4 on scale 1-7","2005","no migration background","East Germany","1185","0.249770506638171","0.237659968043572","0.261881045232771"
"4 on scale 1-7","2005","direct migration background","West Germany","527","0.232072188250358","0.214682907201105","0.249461469299611"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","179","0.217044503715672","0.188334818213435","0.24575418921791"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2546","0.202187636786106","0.195174573917547","0.209200699654664"
"5 on scale 1-7","2005","no migration background","East Germany","982","0.197772150535975","0.18662850602845","0.208915795043501"
"5 on scale 1-7","2005","direct migration background","West Germany","448","0.219268070695923","0.20222497243574","0.236311168956105"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","155","0.183823354841472","0.156847331680916","0.210799378002027"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","1915","0.153724530234655","0.147426459751616","0.160022600717695"
"6 on scale 1-7","2005","no migration background","East Germany","720","0.156779405230099","0.146607298159838","0.166951512300359"
"6 on scale 1-7","2005","direct migration background","West Germany","404","0.16776765294519","0.152375963571108","0.183159342319271"
"6 on scale 1-7","2005","direct migration background","East Germany","","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","102","0.123261444589728","0.100366785579826","0.14615610359963"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"7 Strongly agree","2005","no migration background","West Germany","835","0.0709622264463262","0.0664787968363548","0.0754456560562977"
"7 Strongly agree","2005","no migration background","East Germany","269","0.0622543138849945","0.0554946815150992","0.0690139462548899"
"7 Strongly agree","2005","direct migration background","West Germany","222","0.0960411478338228","0.0839041050820669","0.108178190585579"
"7 Strongly agree","2005","direct migration background","East Germany","","","",""
"7 Strongly agree","2005","indirect migration background","West Germany","35","0.0622527724662164","0.0454257318299172","0.0790798131025155"
"7 Strongly agree","2005","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
