"plh0223","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Full Time","","","",""
"1 Strongly disagree","2005","Not Employed","Part Time","","","",""
"1 Strongly disagree","2005","Not Employed","Not Working","455","0.0586329389708561","0.0534387855002178","0.0638270924414944"
"1 Strongly disagree","2005","Employed","Full Time","597","0.0744564051041389","0.0687118521927235","0.0802009580155542"
"1 Strongly disagree","2005","Employed","Part Time","376","0.0867113793053777","0.0787627541685702","0.0946600044421851"
"1 Strongly disagree","2005","Employed","Not Working","","","",""
"2 on scale 1-7 ","2005","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2005","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2005","Not Employed","Not Working","770","0.090887700485823","0.0845325509898799","0.0972428499817661"
"2 on scale 1-7 ","2005","Employed","Full Time","1129","0.132988067953184","0.125557437934594","0.140418697971773"
"2 on scale 1-7 ","2005","Employed","Part Time","680","0.132947207012438","0.123357345731688","0.142537068293188"
"2 on scale 1-7 ","2005","Employed","Not Working","","","",""
"3 on scale 1-7 ","2005","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2005","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2005","Not Employed","Not Working","1078","0.135629734535928","0.128059805437679","0.143199663634177"
"3 on scale 1-7 ","2005","Employed","Full Time","1240","0.149948688402884","0.142135997026593","0.157761379779174"
"3 on scale 1-7 ","2005","Employed","Part Time","761","0.145137463940269","0.135188271006373","0.155086656874166"
"3 on scale 1-7 ","2005","Employed","Not Working","","","",""
"4 on scale 1-7","2005","Not Employed","Full Time","","","",""
"4 on scale 1-7","2005","Not Employed","Part Time","","","",""
"4 on scale 1-7","2005","Not Employed","Not Working","1919","0.249134520892648","0.239572218571387","0.258696823213909"
"4 on scale 1-7","2005","Employed","Full Time","1842","0.232084021494946","0.222845845429814","0.241322197560078"
"4 on scale 1-7","2005","Employed","Part Time","1153","0.235160239693092","0.223181334692221","0.247139144693963"
"4 on scale 1-7","2005","Employed","Not Working","","","",""
"5 on scale 1-7","2005","Not Employed","Full Time","","","",""
"5 on scale 1-7","2005","Not Employed","Part Time","","","",""
"5 on scale 1-7","2005","Not Employed","Not Working","1601","0.202746162860382","0.193857445897263","0.211634879823501"
"5 on scale 1-7","2005","Employed","Full Time","1674","0.21061648612809","0.201693772192697","0.219539200063483"
"5 on scale 1-7","2005","Employed","Part Time","882","0.188581761233332","0.177532781633683","0.199630740832981"
"5 on scale 1-7","2005","Employed","Not Working","","","",""
"6 on scale 1-7","2005","Not Employed","Full Time","","","",""
"6 on scale 1-7","2005","Not Employed","Part Time","","","",""
"6 on scale 1-7","2005","Not Employed","Not Working","1357","0.173377585254511","0.165007796242031","0.18174737426699"
"6 on scale 1-7","2005","Employed","Full Time","1129","0.142205764821335","0.134562886859215","0.149848642783456"
"6 on scale 1-7","2005","Employed","Part Time","680","0.145405388852722","0.13544857767152","0.155362200033925"
"6 on scale 1-7","2005","Employed","Not Working","","","",""
"7 Strongly agree","2005","Not Employed","Full Time","","","",""
"7 Strongly agree","2005","Not Employed","Part Time","","","",""
"7 Strongly agree","2005","Not Employed","Not Working","679","0.0895913569998523","0.0832771954390385","0.095905518560666"
"7 Strongly agree","2005","Employed","Full Time","411","0.0577005660954227","0.0525979691549722","0.0628031630358731"
"7 Strongly agree","2005","Employed","Part Time","283","0.0660565599627685","0.0590409051935099","0.0730722147320272"
"7 Strongly agree","2005","Employed","Not Working","","","",""
"1 Strongly disagree","2006","Not Employed","Full Time","","","",""
"1 Strongly disagree","2006","Not Employed","Part Time","","","",""
"1 Strongly disagree","2006","Not Employed","Not Working","","","",""
"1 Strongly disagree","2006","Employed","Full Time","","","",""
"1 Strongly disagree","2006","Employed","Part Time","","","",""
"1 Strongly disagree","2006","Employed","Not Working","","","",""
"2 on scale 1-7 ","2006","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2006","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2006","Employed","Full Time","","","",""
"2 on scale 1-7 ","2006","Employed","Part Time","","","",""
"2 on scale 1-7 ","2006","Employed","Not Working","","","",""
"3 on scale 1-7 ","2006","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2006","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2006","Employed","Full Time","","","",""
"3 on scale 1-7 ","2006","Employed","Part Time","","","",""
"3 on scale 1-7 ","2006","Employed","Not Working","","","",""
"4 on scale 1-7","2006","Not Employed","Full Time","","","",""
"4 on scale 1-7","2006","Not Employed","Part Time","","","",""
"4 on scale 1-7","2006","Not Employed","Not Working","","","",""
"4 on scale 1-7","2006","Employed","Full Time","","","",""
"4 on scale 1-7","2006","Employed","Part Time","","","",""
"4 on scale 1-7","2006","Employed","Not Working","","","",""
"5 on scale 1-7","2006","Not Employed","Full Time","","","",""
"5 on scale 1-7","2006","Not Employed","Part Time","","","",""
"5 on scale 1-7","2006","Not Employed","Not Working","","","",""
"5 on scale 1-7","2006","Employed","Full Time","","","",""
"5 on scale 1-7","2006","Employed","Part Time","","","",""
"5 on scale 1-7","2006","Employed","Not Working","","","",""
"6 on scale 1-7","2006","Not Employed","Full Time","","","",""
"6 on scale 1-7","2006","Not Employed","Part Time","","","",""
"6 on scale 1-7","2006","Not Employed","Not Working","","","",""
"6 on scale 1-7","2006","Employed","Full Time","","","",""
"6 on scale 1-7","2006","Employed","Part Time","","","",""
"6 on scale 1-7","2006","Employed","Not Working","","","",""
"7 Strongly agree","2006","Not Employed","Full Time","","","",""
"7 Strongly agree","2006","Not Employed","Part Time","","","",""
"7 Strongly agree","2006","Not Employed","Not Working","","","",""
"7 Strongly agree","2006","Employed","Full Time","","","",""
"7 Strongly agree","2006","Employed","Part Time","","","",""
"7 Strongly agree","2006","Employed","Not Working","","","",""
"1 Strongly disagree","2007","Not Employed","Full Time","","","",""
"1 Strongly disagree","2007","Not Employed","Part Time","","","",""
"1 Strongly disagree","2007","Not Employed","Not Working","","","",""
"1 Strongly disagree","2007","Employed","Full Time","","","",""
"1 Strongly disagree","2007","Employed","Part Time","","","",""
"1 Strongly disagree","2007","Employed","Not Working","","","",""
"2 on scale 1-7 ","2007","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2007","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2007","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2007","Employed","Full Time","","","",""
"2 on scale 1-7 ","2007","Employed","Part Time","","","",""
"2 on scale 1-7 ","2007","Employed","Not Working","","","",""
"3 on scale 1-7 ","2007","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2007","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2007","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2007","Employed","Full Time","","","",""
"3 on scale 1-7 ","2007","Employed","Part Time","","","",""
"3 on scale 1-7 ","2007","Employed","Not Working","","","",""
"4 on scale 1-7","2007","Not Employed","Full Time","","","",""
"4 on scale 1-7","2007","Not Employed","Part Time","","","",""
"4 on scale 1-7","2007","Not Employed","Not Working","","","",""
"4 on scale 1-7","2007","Employed","Full Time","","","",""
"4 on scale 1-7","2007","Employed","Part Time","","","",""
"4 on scale 1-7","2007","Employed","Not Working","","","",""
"5 on scale 1-7","2007","Not Employed","Full Time","","","",""
"5 on scale 1-7","2007","Not Employed","Part Time","","","",""
"5 on scale 1-7","2007","Not Employed","Not Working","","","",""
"5 on scale 1-7","2007","Employed","Full Time","","","",""
"5 on scale 1-7","2007","Employed","Part Time","","","",""
"5 on scale 1-7","2007","Employed","Not Working","","","",""
"6 on scale 1-7","2007","Not Employed","Full Time","","","",""
"6 on scale 1-7","2007","Not Employed","Part Time","","","",""
"6 on scale 1-7","2007","Not Employed","Not Working","","","",""
"6 on scale 1-7","2007","Employed","Full Time","","","",""
"6 on scale 1-7","2007","Employed","Part Time","","","",""
"6 on scale 1-7","2007","Employed","Not Working","","","",""
"7 Strongly agree","2007","Not Employed","Full Time","","","",""
"7 Strongly agree","2007","Not Employed","Part Time","","","",""
"7 Strongly agree","2007","Not Employed","Not Working","","","",""
"7 Strongly agree","2007","Employed","Full Time","","","",""
"7 Strongly agree","2007","Employed","Part Time","","","",""
"7 Strongly agree","2007","Employed","Not Working","","","",""
"1 Strongly disagree","2008","Not Employed","Full Time","","","",""
"1 Strongly disagree","2008","Not Employed","Part Time","","","",""
"1 Strongly disagree","2008","Not Employed","Not Working","","","",""
"1 Strongly disagree","2008","Employed","Full Time","","","",""
"1 Strongly disagree","2008","Employed","Part Time","","","",""
"1 Strongly disagree","2008","Employed","Not Working","","","",""
"2 on scale 1-7 ","2008","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2008","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2008","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2008","Employed","Full Time","","","",""
"2 on scale 1-7 ","2008","Employed","Part Time","","","",""
"2 on scale 1-7 ","2008","Employed","Not Working","","","",""
"3 on scale 1-7 ","2008","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2008","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2008","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2008","Employed","Full Time","","","",""
"3 on scale 1-7 ","2008","Employed","Part Time","","","",""
"3 on scale 1-7 ","2008","Employed","Not Working","","","",""
"4 on scale 1-7","2008","Not Employed","Full Time","","","",""
"4 on scale 1-7","2008","Not Employed","Part Time","","","",""
"4 on scale 1-7","2008","Not Employed","Not Working","","","",""
"4 on scale 1-7","2008","Employed","Full Time","","","",""
"4 on scale 1-7","2008","Employed","Part Time","","","",""
"4 on scale 1-7","2008","Employed","Not Working","","","",""
"5 on scale 1-7","2008","Not Employed","Full Time","","","",""
"5 on scale 1-7","2008","Not Employed","Part Time","","","",""
"5 on scale 1-7","2008","Not Employed","Not Working","","","",""
"5 on scale 1-7","2008","Employed","Full Time","","","",""
"5 on scale 1-7","2008","Employed","Part Time","","","",""
"5 on scale 1-7","2008","Employed","Not Working","","","",""
"6 on scale 1-7","2008","Not Employed","Full Time","","","",""
"6 on scale 1-7","2008","Not Employed","Part Time","","","",""
"6 on scale 1-7","2008","Not Employed","Not Working","","","",""
"6 on scale 1-7","2008","Employed","Full Time","","","",""
"6 on scale 1-7","2008","Employed","Part Time","","","",""
"6 on scale 1-7","2008","Employed","Not Working","","","",""
"7 Strongly agree","2008","Not Employed","Full Time","","","",""
"7 Strongly agree","2008","Not Employed","Part Time","","","",""
"7 Strongly agree","2008","Not Employed","Not Working","","","",""
"7 Strongly agree","2008","Employed","Full Time","","","",""
"7 Strongly agree","2008","Employed","Part Time","","","",""
"7 Strongly agree","2008","Employed","Not Working","","","",""
"1 Strongly disagree","2009","Not Employed","Full Time","","","",""
"1 Strongly disagree","2009","Not Employed","Part Time","","","",""
"1 Strongly disagree","2009","Not Employed","Not Working","333","0.0506847160560265","0.0454626657140617","0.0559067663979913"
"1 Strongly disagree","2009","Employed","Full Time","440","0.0617706916967196","0.0561234678616301","0.0674179155318091"
"1 Strongly disagree","2009","Employed","Part Time","299","0.0803480019804836","0.0721319270547377","0.0885640769062295"
"1 Strongly disagree","2009","Employed","Not Working","","","",""
"2 on scale 1-7 ","2009","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2009","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2009","Not Employed","Not Working","630","0.0944093021458853","0.087448317450645","0.101370286841126"
"2 on scale 1-7 ","2009","Employed","Full Time","993","0.134161080220602","0.126166031823763","0.14215612861744"
"2 on scale 1-7 ","2009","Employed","Part Time","575","0.137560874651441","0.127150250194086","0.147971499108796"
"2 on scale 1-7 ","2009","Employed","Not Working","","","",""
"3 on scale 1-7 ","2009","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2009","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2009","Not Employed","Not Working","982","0.138630076523852","0.130403466849395","0.146856686198309"
"3 on scale 1-7 ","2009","Employed","Full Time","1098","0.161896181835176","0.15325533146251","0.170537032207842"
"3 on scale 1-7 ","2009","Employed","Part Time","680","0.159916018818747","0.148837736528115","0.170994301109378"
"3 on scale 1-7 ","2009","Employed","Not Working","","","",""
"4 on scale 1-7","2009","Not Employed","Full Time","","","",""
"4 on scale 1-7","2009","Not Employed","Part Time","","","",""
"4 on scale 1-7","2009","Not Employed","Not Working","1734","0.259897960089952","0.249456901212218","0.270339018967686"
"4 on scale 1-7","2009","Employed","Full Time","1747","0.254306644527404","0.24409141186789","0.264521877186917"
"4 on scale 1-7","2009","Employed","Part Time","1057","0.249252216027609","0.236177518984522","0.262326913070695"
"4 on scale 1-7","2009","Employed","Not Working","","","",""
"5 on scale 1-7","2009","Not Employed","Full Time","","","",""
"5 on scale 1-7","2009","Not Employed","Part Time","","","",""
