"ple0021","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","in school","Male","3","","",""
"Yes","2011","in school","Female","","","",""
"Yes","2011","inadequately","Male","20","","",""
"Yes","2011","inadequately","Female","37","0.324780640307407","0.248027247520514","0.401534033094299"
"Yes","2011","general elemantary","Male","94","0.123254775903687","0.0983819337631146","0.148127618044259"
"Yes","2011","general elemantary","Female","497","0.371852694748186","0.347532249717409","0.396173139778964"
"Yes","2011","middle vocational","Male","920","0.17935942144385","0.168644633885284","0.190074209002416"
"Yes","2011","middle vocational","Female","1326","0.258653853509703","0.247208372661093","0.270099334358314"
"Yes","2011","vocational + Abi","Male","49","0.131015648031557","0.100012202924698","0.162019093138417"
"Yes","2011","vocational + Abi","Female","120","0.196214748255231","0.167868325589625","0.224561170920837"
"Yes","2011","higher vocational","Male","184","0.203571285668831","0.177294239943016","0.229848331394647"
"Yes","2011","higher vocational","Female","125","0.230396848229898","0.195269105950252","0.265524590509544"
"Yes","2011","higher education","Male","378","0.142066325892242","0.128312202347931","0.155820449436553"
"Yes","2011","higher education","Female","364","0.174104239943786","0.157981608886941","0.190226871000631"
"No","2011","in school","Male","159","0.986223477130035","0.968274154623543","1.00417279963653"
"No","2011","in school","Female","151","1","1","1"
"No","2011","inadequately","Male","70","0.772478947637932","0.685866371438065","0.859091523837798"
"No","2011","inadequately","Female","106","0.675219359692593","0.598465966905701","0.751972752479486"
"No","2011","general elemantary","Male","577","0.876745224096313","0.851872381955741","0.901618066236885"
"No","2011","general elemantary","Female","1020","0.628147305251814","0.603826860221036","0.652467750282591"
"No","2011","middle vocational","Male","4005","0.82064057855615","0.809925790997584","0.831355366114716"
"No","2011","middle vocational","Female","4297","0.741346146490297","0.729900665641686","0.752791627338907"
"No","2011","vocational + Abi","Male","406","0.868984351968443","0.837980906861583","0.899987797075302"
"No","2011","vocational + Abi","Female","634","0.803785251744769","0.775438829079163","0.832131674410375"
"No","2011","higher vocational","Male","718","0.796428714331169","0.770151668605353","0.822705760056984"
"No","2011","higher vocational","Female","427","0.769603151770102","0.734475409490456","0.804730894049748"
"No","2011","higher education","Male","2097","0.857933674107758","0.844179550563447","0.871687797652069"
"No","2011","higher education","Female","1761","0.825895760056214","0.809773128999369","0.842018391113059"
"Yes","2012","in school","Male","","","",""
"Yes","2012","in school","Female","","","",""
"Yes","2012","inadequately","Male","","","",""
"Yes","2012","inadequately","Female","","","",""
"Yes","2012","general elemantary","Male","","","",""
"Yes","2012","general elemantary","Female","","","",""
"Yes","2012","middle vocational","Male","","","",""
"Yes","2012","middle vocational","Female","","","",""
"Yes","2012","vocational + Abi","Male","","","",""
"Yes","2012","vocational + Abi","Female","","","",""
"Yes","2012","higher vocational","Male","","","",""
"Yes","2012","higher vocational","Female","","","",""
"Yes","2012","higher education","Male","","","",""
"Yes","2012","higher education","Female","","","",""
"No","2012","in school","Male","","","",""
"No","2012","in school","Female","","","",""
"No","2012","inadequately","Male","","","",""
"No","2012","inadequately","Female","","","",""
"No","2012","general elemantary","Male","","","",""
"No","2012","general elemantary","Female","","","",""
"No","2012","middle vocational","Male","","","",""
"No","2012","middle vocational","Female","","","",""
"No","2012","vocational + Abi","Male","","","",""
"No","2012","vocational + Abi","Female","","","",""
