"ple0021","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","no migration background","1868","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","95","1","1","1"
"Yes","2011","lower secondary degree","indirect migration background","13","","",""
"Yes","2011","secondary school degree","no migration background","1038","1","1","1"
"Yes","2011","secondary school degree","direct migration background","36","1","1","1"
"Yes","2011","secondary school degree","indirect migration background","12","","",""
"Yes","2011","college entrance qualification","no migration background","699","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","30","1","1","1"
"Yes","2011","college entrance qualification","indirect migration background","16","","",""
"Yes","2011","Other degree","no migration background","42","1","1","1"
"Yes","2011","Other degree","direct migration background","184","1","1","1"
"Yes","2011","Other degree","indirect migration background","2","","",""
"Yes","2011","no degree/no degree yet","no migration background","35","1","1","1"
"Yes","2011","no degree/no degree yet","direct migration background","34","1","1","1"
"Yes","2011","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","1715","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","75","1","1","1"
"Yes","2013","lower secondary degree","indirect migration background","13","","",""
"Yes","2013","secondary school degree","no migration background","1026","1","1","1"
"Yes","2013","secondary school degree","direct migration background","23","","",""
"Yes","2013","secondary school degree","indirect migration background","12","","",""
"Yes","2013","college entrance qualification","no migration background","709","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","26","","",""
"Yes","2013","college entrance qualification","indirect migration background","14","","",""
"Yes","2013","Other degree","no migration background","43","1","1","1"
"Yes","2013","Other degree","direct migration background","200","1","1","1"
"Yes","2013","Other degree","indirect migration background","1","","",""
"Yes","2013","no degree/no degree yet","no migration background","33","1","1","1"
"Yes","2013","no degree/no degree yet","direct migration background","27","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","2","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","1632","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","74","1","1","1"
"Yes","2015","lower secondary degree","indirect migration background","22","","",""
"Yes","2015","secondary school degree","no migration background","1204","1","1","1"
"Yes","2015","secondary school degree","direct migration background","37","1","1","1"
"Yes","2015","secondary school degree","indirect migration background","30","1","1","1"
"Yes","2015","college entrance qualification","no migration background","833","1","1","1"
"Yes","2015","college entrance qualification","direct migration background","22","","",""
"Yes","2015","college entrance qualification","indirect migration background","23","","",""
"Yes","2015","Other degree","no migration background","38","1","1","1"
"Yes","2015","Other degree","direct migration background","391","1","1","1"
"Yes","2015","Other degree","indirect migration background","4","","",""
"Yes","2015","no degree/no degree yet","no migration background","40","1","1","1"
"Yes","2015","no degree/no degree yet","direct migration background","44","1","1","1"
"Yes","2015","no degree/no degree yet","indirect migration background","4","","",""
"Yes","2016","lower secondary degree","no migration background","","","",""
"Yes","2016","lower secondary degree","direct migration background","","","",""
"Yes","2016","lower secondary degree","indirect migration background","","","",""
"Yes","2016","secondary school degree","no migration background","","","",""
"Yes","2016","secondary school degree","direct migration background","","","",""
"Yes","2016","secondary school degree","indirect migration background","","","",""
"Yes","2016","college entrance qualification","no migration background","","","",""
"Yes","2016","college entrance qualification","direct migration background","","","",""
"Yes","2016","college entrance qualification","indirect migration background","","","",""
