"ple0021","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","2011","16-34 y.","124","0.0324973968856161","0.0272018476113444","0.0377929461598878"
"Yes","2011","35-65 y.","2001","0.183364099118713","0.176249130704614","0.190479067532812"
"Yes","2011","66 and older","2008","0.401052386828363","0.387718419579839","0.414386354076886"
"No","2011","16-34 y.","4183","0.967502603114384","0.962207053840112","0.972798152388656"
"No","2011","35-65 y.","9362","0.816635900881287","0.809520932467188","0.823750869295386"
"No","2011","66 and older","3182","0.598947613171637","0.585613645923114","0.612281580420161"
"Yes","2012","16-34 y.","","","",""
"Yes","2012","35-65 y.","","","",""
"Yes","2012","66 and older","","","",""
"No","2012","16-34 y.","","","",""
"No","2012","35-65 y.","","","",""
"No","2012","66 and older","","","",""
"Yes","2013","16-34 y.","103","0.0291821002041699","0.0237652498973416","0.0345989505109982"
"Yes","2013","35-65 y.","1906","0.198240499809513","0.190526268446545","0.205954731172482"
"Yes","2013","66 and older","1934","0.40168007230441","0.388094337762262","0.415265806846557"
"No","2013","16-34 y.","3606","0.97081789979583","0.965401049489002","0.976234750102658"
"No","2013","35-65 y.","8354","0.801759500190487","0.794045268827518","0.809473731553455"
"No","2013","66 and older","3068","0.59831992769559","0.584734193153443","0.611905662237738"
"Yes","2014","16-34 y.","","","",""
"Yes","2014","35-65 y.","","","",""
"Yes","2014","66 and older","","","",""
"No","2014","16-34 y.","","","",""
"No","2014","35-65 y.","","","",""
"No","2014","66 and older","","","",""
"Yes","2015","16-34 y.","151","0.0299624614765984","0.0255635704918397","0.0343613524613571"
"Yes","2015","35-65 y.","2342","0.181597024723442","0.175311129182079","0.187882920264805"
"Yes","2015","66 and older","1957","0.410756725643495","0.397052916970842","0.424460534316149"
"No","2015","16-34 y.","5619","0.970037538523402","0.965638647538643","0.97443642950816"
"No","2015","35-65 y.","12107","0.818402975276558","0.812117079735195","0.824688870817921"
"No","2015","66 and older","2994","0.589243274356505","0.575539465683851","0.602947083029158"
"Yes","2016","16-34 y.","","","",""
"Yes","2016","35-65 y.","","","",""
"Yes","2016","66 and older","","","",""
"No","2016","16-34 y.","","","",""
"No","2016","35-65 y.","","","",""
"No","2016","66 and older","","","",""
"Yes","2017","16-34 y.","167","0.0322297523740824","0.0278495266916967","0.0366099780564682"
"Yes","2017","35-65 y.","2669","0.194798453094042","0.188552493262896","0.201044412925188"
"Yes","2017","66 and older","2010","0.426272118615623","0.412609590539187","0.439934646692059"
"No","2017","16-34 y.","6078","0.967770247625918","0.963390021943532","0.972150473308303"
"No","2017","35-65 y.","12776","0.805201546905958","0.798955587074812","0.811447506737104"
"No","2017","66 and older","3023","0.573727881384377","0.560065353307941","0.587390409460813"
"Yes","2018","16-34 y.","","","",""
"Yes","2018","35-65 y.","","","",""
"Yes","2018","66 and older","","","",""
"No","2018","16-34 y.","","","",""
"No","2018","35-65 y.","","","",""
"No","2018","66 and older","","","",""
"Yes","2019","16-34 y.","157","0.0313272774608866","0.0267049493287192","0.035949605593054"
"Yes","2019","35-65 y.","2781","0.20148594247481","0.195104501117933","0.207867383831687"
"Yes","2019","66 and older","2103","0.417762532845199","0.40441787702292","0.431107188667479"
"No","2019","16-34 y.","5299","0.968672722539113","0.964050394406946","0.973295050671281"
"No","2019","35-65 y.","12396","0.79851405752519","0.792132616168313","0.804895498882067"
"No","2019","66 and older","3144","0.582237467154801","0.568892811332521","0.59558212297708"
