"ple0021","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","in school","Urban Area","234","0.992170349946389","0.980925429492752","1.00341527040003","2"
"No","2011","in school","Rural Area","76","0.996832316887161","0.984281134293605","1.00938349948072","2"
"No","2011","general elemantary","Urban Area","1056","0.705515416236678","0.681940215068485","0.72909061740487","2"
"No","2011","general elemantary","Rural Area","541","0.723133823622725","0.691153455394285","0.755114191851165","2"
"No","2011","vocational + Abi","Urban Area","764","0.825005097740219","0.800014155950061","0.849996039530377","2"
"No","2011","vocational + Abi","Rural Area","276","0.85583445993421","0.817408812730493","0.894260107137926","2"
"No","2011","inadequately","Rural Area","45","0.679882743537972","0.567332179582635","0.792433307493309","2"
"No","2011","middle vocational","Rural Area","3195","0.793668015610606","0.781180303989585","0.806155727231627","2"
"No","2011","higher vocational","Rural Area","460","0.79372994561745","0.760743262679198","0.826716628555701","2"
"No","2011","higher education","Urban Area","2750","0.854138738095949","0.842020482632677","0.86625699355922","2"
"No","2011","higher education","Rural Area","1108","0.81252721263731","0.791638014085683","0.833416411188937","2"
"No","2011","inadequately","Urban Area","131","0.728250935307076","0.660780360516039","0.795721510098114","2"
"No","2011","middle vocational","Urban Area","5107","0.772582643629579","0.762403564489138","0.78276172277002","2"
"No","2011","higher vocational","Urban Area","685","0.78259638617518","0.755281566582325","0.809911205768034","2"
"Yes","2011","in school","Urban Area","2","","","","1"
"Yes","2011","in school","Rural Area","1","","","","1"
"Yes","2011","inadequately","Urban Area","36","0.271749064692924","0.204278489901886","0.339219639483961","1"
"Yes","2011","inadequately","Rural Area","21","","","","1"
"Yes","2011","general elemantary","Urban Area","380","0.294484583763322","0.27090938259513","0.318059784931515","1"
"Yes","2011","general elemantary","Rural Area","211","0.276866176377275","0.244885808148835","0.308846544605716","1"
"Yes","2011","middle vocational","Urban Area","1407","0.227417356370421","0.21723827722998","0.237596435510862","1"
"Yes","2011","middle vocational","Rural Area","839","0.206331984389394","0.193844272768373","0.218819696010415","1"
"Yes","2011","vocational + Abi","Urban Area","124","0.174994902259781","0.150003960469623","0.199985844049939","1"
"Yes","2011","vocational + Abi","Rural Area","45","0.14416554006579","0.105739892862074","0.182591187269507","1"
"Yes","2011","higher vocational","Urban Area","191","0.21740361382482","0.190088794231966","0.244718433417675","1"
"Yes","2011","higher vocational","Rural Area","118","0.20627005438255","0.173283371444299","0.239256737320802","1"
"Yes","2011","higher education","Urban Area","509","0.145861261904051","0.13374300644078","0.157979517367323","1"
"Yes","2011","higher education","Rural Area","233","0.18747278736269","0.166583588811063","0.208361985914317","1"
"No","2012","higher vocational","Urban Area","","","","","2"
"No","2012","higher vocational","Rural Area","","","","","2"
"No","2012","higher education","Urban Area","","","","","2"
"No","2012","in school","Urban Area","","","","","2"
"No","2012","in school","Rural Area","","","","","2"
"No","2012","general elemantary","Urban Area","","","","","2"
"No","2012","general elemantary","Rural Area","","","","","2"
"No","2012","vocational + Abi","Urban Area","","","","","2"
"No","2012","vocational + Abi","Rural Area","","","","","2"
"No","2012","higher education","Rural Area","","","","","2"
"No","2012","inadequately","Urban Area","","","","","2"
"No","2012","inadequately","Rural Area","","","","","2"
"No","2012","middle vocational","Urban Area","","","","","2"
"No","2012","middle vocational","Rural Area","","","","","2"
"Yes","2012","in school","Urban Area","","","","","1"
"Yes","2012","in school","Rural Area","","","","","1"
"Yes","2012","inadequately","Urban Area","","","","","1"
"Yes","2012","inadequately","Rural Area","","","","","1"
"Yes","2012","general elemantary","Urban Area","","","","","1"
"Yes","2012","general elemantary","Rural Area","","","","","1"
"Yes","2012","middle vocational","Urban Area","","","","","1"
"Yes","2012","middle vocational","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Urban Area","","","","","1"
"Yes","2012","vocational + Abi","Rural Area","","","","","1"
"Yes","2012","higher vocational","Urban Area","","","","","1"
"Yes","2012","higher vocational","Rural Area","","","","","1"
"Yes","2012","higher education","Urban Area","","","","","1"
