"ple0021","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2011","1-pers.-HH","998","1","1","1"
"Yes","2011","(Married) couple without C. ","2157","1","1","1"
"Yes","2011","Single parent ","151","1","1","1"
"Yes","2011","Couple + C. LE 16 ","211","1","1","1"
"Yes","2011","Couple + C. GT 16 ","416","1","1","1"
"Yes","2011","Couple + C. LE and GT 16","105","1","1","1"
"Yes","2012","1-pers.-HH","","","",""
"Yes","2012","(Married) couple without C. ","","","",""
"Yes","2012","Single parent ","","","",""
"Yes","2012","Couple + C. LE 16 ","","","",""
"Yes","2012","Couple + C. GT 16 ","","","",""
"Yes","2012","Couple + C. LE and GT 16","","","",""
"Yes","2013","1-pers.-HH","979","1","1","1"
"Yes","2013","(Married) couple without C. ","2065","1","1","1"
"Yes","2013","Single parent ","151","1","1","1"
"Yes","2013","Couple + C. LE 16 ","209","1","1","1"
"Yes","2013","Couple + C. GT 16 ","368","1","1","1"
"Yes","2013","Couple + C. LE and GT 16","82","1","1","1"
"Yes","2014","1-pers.-HH","","","",""
"Yes","2014","(Married) couple without C. ","","","",""
"Yes","2014","Single parent ","","","",""
"Yes","2014","Couple + C. LE 16 ","","","",""
"Yes","2014","Couple + C. GT 16 ","","","",""
"Yes","2014","Couple + C. LE and GT 16","","","",""
"Yes","2015","1-pers.-HH","949","1","1","1"
"Yes","2015","(Married) couple without C. ","2051","1","1","1"
"Yes","2015","Single parent ","323","1","1","1"
"Yes","2015","Couple + C. LE 16 ","431","1","1","1"
"Yes","2015","Couple + C. GT 16 ","397","1","1","1"
"Yes","2015","Couple + C. LE and GT 16","188","1","1","1"
"Yes","2016","1-pers.-HH","","","",""
"Yes","2016","(Married) couple without C. ","","","",""
"Yes","2016","Single parent ","","","",""
"Yes","2016","Couple + C. LE 16 ","","","",""
"Yes","2016","Couple + C. GT 16 ","","","",""
"Yes","2016","Couple + C. LE and GT 16","","","",""
"Yes","2017","1-pers.-HH","1064","1","1","1"
"Yes","2017","(Married) couple without C. ","2252","1","1","1"
"Yes","2017","Single parent ","312","1","1","1"
"Yes","2017","Couple + C. LE 16 ","386","1","1","1"
"Yes","2017","Couple + C. GT 16 ","499","1","1","1"
"Yes","2017","Couple + C. LE and GT 16","203","1","1","1"
"Yes","2018","1-pers.-HH","","","",""
"Yes","2018","(Married) couple without C. ","","","",""
"Yes","2018","Single parent ","","","",""
"Yes","2018","Couple + C. LE 16 ","","","",""
"Yes","2018","Couple + C. GT 16 ","","","",""
"Yes","2018","Couple + C. LE and GT 16","","","",""
"Yes","2019","1-pers.-HH","1129","1","1","1"
"Yes","2019","(Married) couple without C. ","2361","1","1","1"
"Yes","2019","Single parent ","290","1","1","1"
"Yes","2019","Couple + C. LE 16 ","436","1","1","1"
"Yes","2019","Couple + C. GT 16 ","488","1","1","1"
"Yes","2019","Couple + C. LE and GT 16","220","1","1","1"
