"ple0021","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","3701","0.217355854520237","0.211337391042016","0.223374317998459"
"Yes","2011","direct migration background","387","0.190983365520238","0.173841862359398","0.208124868681078"
"Yes","2011","indirect migration background","45","0.0577220486986212","0.0415511154534721","0.0738929819437703"
"No","2011","no migration background","14340","0.782644145479763","0.776625682001541","0.788662608957984"
"No","2011","direct migration background","1633","0.809016634479762","0.791875131318922","0.826158137640602"
"No","2011","indirect migration background","754","0.942277951301379","0.92610701805623","0.958448884546528"
"Yes","2012","no migration background","","","",""
"Yes","2012","direct migration background","","","",""
"Yes","2012","indirect migration background","","","",""
"No","2012","no migration background","","","",""
"No","2012","direct migration background","","","",""
"No","2012","indirect migration background","","","",""
"Yes","2013","no migration background","3541","0.225349270507054","0.218985535551924","0.231713005462184"
"Yes","2013","direct migration background","359","0.242775820305155","0.222370185079287","0.263181455531022"
"Yes","2013","indirect migration background","43","0.0611965684176418","0.0436398861724294","0.0787532506628543"
"No","2013","no migration background","13018","0.774650729492946","0.768286994537816","0.781014464448076"
"No","2013","direct migration background","1337","0.757224179694846","0.736818544468978","0.777629814920713"
"No","2013","indirect migration background","673","0.938803431582358","0.921246749337146","0.956360113827571"
"Yes","2014","no migration background","","","",""
"Yes","2014","direct migration background","","","",""
"Yes","2014","indirect migration background","","","",""
"No","2014","no migration background","","","",""
"No","2014","direct migration background","","","",""
"No","2014","indirect migration background","","","",""
"Yes","2015","no migration background","3776","0.220211166036168","0.214352148871645","0.226070183200691"
"Yes","2015","direct migration background","590","0.172345912250687","0.161084810473572","0.183607014027801"
"Yes","2015","indirect migration background","84","0.0571229840735222","0.045866883454741","0.0683790846923034"
"No","2015","no migration background","15440","0.779788833963832","0.773929816799309","0.785647851128355"
"No","2015","direct migration background","3731","0.827654087749313","0.816392985972199","0.838915189526428"
"No","2015","indirect migration background","1549","0.942877015926478","0.931620915307697","0.954133116545259"
"Yes","2016","no migration background","","","",""
"Yes","2016","direct migration background","","","",""
"Yes","2016","indirect migration background","","","",""
"No","2016","no migration background","","","",""
"No","2016","direct migration background","","","",""
"No","2016","indirect migration background","","","",""
"Yes","2017","no migration background","4086","0.228322022175398","0.222553499938979","0.234090544411817"
"Yes","2017","direct migration background","644","0.193153600189077","0.181828827235147","0.204478373143007"
"Yes","2017","indirect migration background","116","0.058617069731854","0.047499464713733","0.069734674749975"
"No","2017","no migration background","16254","0.771677977824602","0.765909455588183","0.777446500061021"
"No","2017","direct migration background","4024","0.806846399810924","0.795521626856993","0.818171172764854"
"No","2017","indirect migration background","1599","0.941382930268146","0.930265325250025","0.952500535286267"
"Yes","2018","no migration background","","","",""
"Yes","2018","direct migration background","","","",""
"Yes","2018","indirect migration background","","","",""
"No","2018","no migration background","","","",""
"No","2018","direct migration background","","","",""
"No","2018","indirect migration background","","","",""
"Yes","2019","no migration background","4289","0.232231450348726","0.22642422330921","0.238038677388242"
"Yes","2019","direct migration background","611","0.194210453135611","0.181729210754544","0.206691695516678"
"Yes","2019","indirect migration background","141","0.0628316774682514","0.0513337063401953","0.0743296485963074"
"No","2019","no migration background","16021","0.767768549651274","0.761961322611758","0.77357577669079"
"No","2019","direct migration background","3248","0.805789546864389","0.793308304483322","0.818270789245456"
"No","2019","indirect migration background","1570","0.937168322531749","0.925670351403693","0.948666293659805"
