"ple0021","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","16-34 y.","no migration background","3310","0.96370832340604","0.957436909263551","0.969979737548529","2"
"No","2011","16-34 y.","indirect migration background","509","0.972713790290406","0.958737980467806","0.986689600113006","2"
"No","2011","35-65 y.","no migration background","8120","0.816814806931227","0.809180835001952","0.824448778860502","2"
"No","2011","35-65 y.","direct migration background","1002","0.810745184880166","0.788845502934765","0.832644866825566","2"
"No","2011","66 and older","no migration background","2910","0.595225411580573","0.581284192647692","0.609166630513454","2"
"No","2011","66 and older","direct migration background","267","0.631211985596269","0.585179133577236","0.677244837615302","2"
"No","2011","66 and older","indirect migration background","5","","","","2"
"No","2011","16-34 y.","direct migration background","364","0.987677428907464","0.976421194237679","0.998933663577249","2"
"No","2011","35-65 y.","indirect migration background","240","0.852748104055256","0.810558614158246","0.894937593952267","2"
"Yes","2011","16-34 y.","no migration background","106","0.0362916765939599","0.0300202624514706","0.0425630907364493","1"
"Yes","2011","16-34 y.","direct migration background","5","","","","1"
"Yes","2011","16-34 y.","indirect migration background","13","","","","1"
"Yes","2011","35-65 y.","no migration background","1743","0.183185193068773","0.175551221139498","0.190819164998048","1"
"Yes","2011","35-65 y.","direct migration background","227","0.189254815119834","0.167355133174434","0.211154497065235","1"
"Yes","2011","35-65 y.","indirect migration background","31","0.147251895944744","0.105062406047733","0.189441385841754","1"
"Yes","2011","66 and older","no migration background","1852","0.404774588419427","0.390833369486546","0.418715807352307","1"
"Yes","2011","66 and older","direct migration background","155","0.368788014403731","0.322755162384698","0.414820866422764","1"
"Yes","2011","66 and older","indirect migration background","1","","","","1"
"No","2012","16-34 y.","no migration background","","","","","2"
"No","2012","16-34 y.","direct migration background","","","","","2"
"No","2012","16-34 y.","indirect migration background","","","","","2"
"No","2012","35-65 y.","no migration background","","","","","2"
"No","2012","35-65 y.","direct migration background","","","","","2"
"No","2012","66 and older","no migration background","","","","","2"
"No","2012","66 and older","direct migration background","","","","","2"
"No","2012","66 and older","indirect migration background","","","","","2"
"No","2012","35-65 y.","indirect migration background","","","","","2"
"Yes","2012","16-34 y.","no migration background","","","","","1"
"Yes","2012","16-34 y.","direct migration background","","","","","1"
"Yes","2012","16-34 y.","indirect migration background","","","","","1"
"Yes","2012","35-65 y.","no migration background","","","","","1"
"Yes","2012","35-65 y.","direct migration background","","","","","1"
"Yes","2012","35-65 y.","indirect migration background","","","","","1"
"Yes","2012","66 and older","no migration background","","","","","1"
"Yes","2012","66 and older","direct migration background","","","","","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","2915","0.967956490467021","0.961652286836675","0.974260694097368","2"
"No","2013","16-34 y.","indirect migration background","416","0.987188787063655","0.976497035526447","0.997880538600863","2"
"No","2013","35-65 y.","no migration background","7275","0.805948699062368","0.79775101247842","0.814146385646315","2"
"No","2013","35-65 y.","direct migration background","826","0.753782330168327","0.727523800374413","0.78004085996224","2"
"No","2013","16-34 y.","direct migration background","275","0.984224391117691","0.9697831273144","0.998665654920982","2"
"No","2013","35-65 y.","indirect migration background","253","0.86053381725586","0.820384006507205","0.900683628004516","2"
"No","2013","66 and older","no migration background","2828","0.596082161573209","0.581934662108414","0.610229661038004","2"
"No","2013","66 and older","direct migration background","236","0.619458214292503","0.570383096286071","0.668533332298934","2"
"No","2013","66 and older","indirect migration background","4","","","","2"
"Yes","2013","16-34 y.","no migration background","83","0.0320435095329785","0.0257393059026317","0.0383477131633253","1"
"Yes","2013","16-34 y.","direct migration background","11","","","","1"
"Yes","2013","16-34 y.","indirect migration background","9","","","","1"
