"ple0021","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","16-34 y.","in school","3","","",""
"Yes","2011","16-34 y.","inadequately","2","","",""
"Yes","2011","16-34 y.","general elemantary","19","","",""
"Yes","2011","16-34 y.","middle vocational","66","0.0369086076968412","0.028516775937786","0.0453004394558964"
"Yes","2011","16-34 y.","vocational + Abi","15","","",""
"Yes","2011","16-34 y.","higher vocational","3","","",""
"Yes","2011","16-34 y.","higher education","14","","",""
"Yes","2011","35-65 y.","in school","","","",""
"Yes","2011","35-65 y.","inadequately","25","","",""
"Yes","2011","35-65 y.","general elemantary","201","0.287098166025507","0.255369438936171","0.318826893114843"
"Yes","2011","35-65 y.","middle vocational","1123","0.193068654212284","0.183028537892608","0.203108770531959"
"Yes","2011","35-65 y.","vocational + Abi","99","0.162080954187944","0.134603525417969","0.18955838295792"
"Yes","2011","35-65 y.","higher vocational","163","0.180389527749988","0.155912801394918","0.204866254105059"
"Yes","2011","35-65 y.","higher education","383","0.125656347246309","0.113504276896047","0.137808417596571"
"Yes","2011","66 and older","in school","","","",""
"Yes","2011","66 and older","inadequately","30","0.535437755087693","0.410279463921163","0.660596046254223"
"Yes","2011","66 and older","general elemantary","371","0.449757676230077","0.416055988478398","0.483459363981756"
"Yes","2011","66 and older","middle vocational","1057","0.405189350218952","0.386574984469033","0.42380371596887"
"Yes","2011","66 and older","vocational + Abi","55","0.486757278270168","0.400168675266602","0.573345881273734"
"Yes","2011","66 and older","higher vocational","143","0.340654979049264","0.293129101408181","0.388180856690348"
"Yes","2011","66 and older","higher education","345","0.33287136165616","0.304959806178046","0.360782917134274"
"No","2011","16-34 y.","in school","310","0.99304570848204","0.983839368950949","1.00225204801313"
"No","2011","16-34 y.","inadequately","52","0.981904150164439","0.9463512321971","1.01745706813178"
"No","2011","16-34 y.","general elemantary","551","0.975367489255232","0.962642742687407","0.988092235823057"
"No","2011","16-34 y.","middle vocational","1873","0.963091392303159","0.954699560544104","0.971483224062214"
"No","2011","16-34 y.","vocational + Abi","375","0.949798642095501","0.928127126138","0.971470158053002"
"No","2011","16-34 y.","higher vocational","121","0.940405442950986","0.898737878720819","0.982073007181154"
"No","2011","16-34 y.","higher education","633","0.972815144735637","0.96028446515813","0.985345824313143"
"No","2011","35-65 y.","in school","","","",""
"No","2011","35-65 y.","inadequately","93","0.7324504419699","0.65257774867682","0.812323135262981"
"No","2011","35-65 y.","general elemantary","580","0.712901833974493","0.681173106885157","0.744630561063829"
"No","2011","35-65 y.","middle vocational","4814","0.806931345787716","0.796891229468041","0.816971462107392"
"No","2011","35-65 y.","vocational + Abi","592","0.837919045812056","0.81044161704208","0.865396474582031"
"No","2011","35-65 y.","higher vocational","785","0.819610472250012","0.795133745894941","0.844087198605082"
"No","2011","35-65 y.","higher education","2475","0.874343652753691","0.862191582403429","0.886495723103953"
"No","2011","66 and older","in school","","","",""
"No","2011","66 and older","inadequately","31","0.464562244912307","0.339403953745777","0.589720536078837"
"No","2011","66 and older","general elemantary","466","0.550242323769923","0.516540636018244","0.583944011521602"
"No","2011","66 and older","middle vocational","1615","0.594810649781048","0.57619628403113","0.613425015530967"
"No","2011","66 and older","vocational + Abi","73","0.513242721729832","0.426654118726266","0.599831324733398"
"No","2011","66 and older","higher vocational","239","0.659345020950736","0.611819143309652","0.706870898591819"
"No","2011","66 and older","higher education","750","0.66712863834384","0.639217082865726","0.695040193821954"
"Yes","2012","16-34 y.","in school","","","",""
"Yes","2012","16-34 y.","inadequately","","","",""
"Yes","2012","16-34 y.","general elemantary","","","",""
"Yes","2012","16-34 y.","middle vocational","","","",""
"Yes","2012","16-34 y.","vocational + Abi","","","",""
"Yes","2012","16-34 y.","higher vocational","","","",""
"Yes","2012","16-34 y.","higher education","","","",""
"Yes","2012","35-65 y.","in school","","","",""
"Yes","2012","35-65 y.","inadequately","","","",""
"Yes","2012","35-65 y.","general elemantary","","","",""
"Yes","2012","35-65 y.","middle vocational","","","",""
"Yes","2012","35-65 y.","vocational + Abi","","","",""
"Yes","2012","35-65 y.","higher vocational","","","",""
"Yes","2012","35-65 y.","higher education","","","",""
"Yes","2012","66 and older","in school","","","",""
"Yes","2012","66 and older","inadequately","","","",""
"Yes","2012","66 and older","general elemantary","","","",""
"Yes","2012","66 and older","middle vocational","","","",""
"Yes","2012","66 and older","vocational + Abi","","","",""
"Yes","2012","66 and older","higher vocational","","","",""
"Yes","2012","66 and older","higher education","","","",""
"No","2012","16-34 y.","in school","","","",""
"No","2012","16-34 y.","inadequately","","","",""
"No","2012","16-34 y.","general elemantary","","","",""
"No","2012","16-34 y.","middle vocational","","","",""
"No","2012","16-34 y.","vocational + Abi","","","",""
"No","2012","16-34 y.","higher vocational","","","",""
"No","2012","16-34 y.","higher education","","","",""
"No","2012","35-65 y.","in school","","","",""
"No","2012","35-65 y.","inadequately","","","",""
"No","2012","35-65 y.","general elemantary","","","",""
"No","2012","35-65 y.","middle vocational","","","",""
"No","2012","35-65 y.","vocational + Abi","","","",""
"No","2012","35-65 y.","higher vocational","","","",""
"No","2012","35-65 y.","higher education","","","",""
"No","2012","66 and older","in school","","","",""
"No","2012","66 and older","inadequately","","","",""
"No","2012","66 and older","general elemantary","","","",""
"No","2012","66 and older","middle vocational","","","",""
"No","2012","66 and older","vocational + Abi","","","",""
"No","2012","66 and older","higher vocational","","","",""
"No","2012","66 and older","higher education","","","",""
"Yes","2013","16-34 y.","in school","5","","",""
"Yes","2013","16-34 y.","inadequately","2","","",""
"Yes","2013","16-34 y.","general elemantary","10","","",""
"Yes","2013","16-34 y.","middle vocational","49","0.029535300958244","0.0212859571539978","0.0377846447624903"
"Yes","2013","16-34 y.","vocational + Abi","6","","",""
"Yes","2013","16-34 y.","higher vocational","4","","",""
"Yes","2013","16-34 y.","higher education","21","","",""
"Yes","2013","35-65 y.","in school","","","",""
"Yes","2013","35-65 y.","inadequately","23","","",""
"Yes","2013","35-65 y.","general elemantary","177","0.270162054169606","0.236259628038344","0.304064480300869"
"Yes","2013","35-65 y.","middle vocational","1064","0.213515102074201","0.202457646818884","0.224572557329517"
"Yes","2013","35-65 y.","vocational + Abi","108","0.180701379729173","0.152033413128138","0.209369346330208"
"Yes","2013","35-65 y.","higher vocational","147","0.163509566160647","0.139033006953731","0.187986125367562"
"Yes","2013","35-65 y.","higher education","387","0.155313073523176","0.141507029339583","0.169119117706769"
"Yes","2013","66 and older","in school","","","",""
"Yes","2013","66 and older","inadequately","21","","",""
"Yes","2013","66 and older","general elemantary","347","0.469980495707123","0.434020628901961","0.505940362512284"
"Yes","2013","66 and older","middle vocational","1015","0.407077759162135","0.388065139321094","0.426090379003177"
"Yes","2013","66 and older","vocational + Abi","53","0.555396488248144","0.466487539125472","0.644305437370816"
