"ple0021","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","(0) in school","2","","",""
"Yes","2011","no migration background","(1a) inadequately completed","33","1","1","1"
"Yes","2011","no migration background","(1b) general elementary school","439","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","1403","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","58","1","1","1"
"Yes","2011","no migration background","(2a) intermediate vocational","854","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","32","1","1","1"
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","188","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","326","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","350","1","1","1"
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","34","1","1","1"
"Yes","2011","direct migration background","(1b) general elementary school","85","1","1","1"
"Yes","2011","direct migration background","(1c) basic vocational qualification","111","1","1","1"
"Yes","2011","direct migration background","(2b) intermediate general qualification","7","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","19","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","19","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","48","1","1","1"
"Yes","2011","direct migration background","(3a) lower tertiary education","6","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","50","1","1","1"
"Yes","2011","indirect migration background","(0) in school","1","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","9","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","10","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","3","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","7","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
