"ple0021","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","higher education","3858","0.843603230581249","0.833106545175739","0.854099915986758","2"
"No","2011","higher vocational","1145","0.786483075116302","0.765419759693519","0.807546390539085","2"
"No","2011","vocational + Abi","1040","0.832485083173379","0.811435189145427","0.853534977201331","2"
"No","2011","middle vocational","8302","0.779933278116102","0.77202705723809","0.787839498994114","2"
"No","2011","general elemantary","1597","0.711225977119429","0.692236749557316","0.730215204681543","2"
"No","2011","inadequately","176","0.716554637400876","0.658687837773803","0.774421437027949","2"
"No","2011","in school","310","0.99304570848204","0.983839368950949","1.00225204801313","2"
"Yes","2011","in school","3","","","","1"
"Yes","2011","inadequately","57","0.283445362599124","0.225578562972051","0.341312162226197","1"
"Yes","2011","general elemantary","591","0.288774022880571","0.269784795318457","0.307763250442684","1"
"Yes","2011","middle vocational","2246","0.220066721883898","0.212160501005886","0.22797294276191","1"
"Yes","2011","vocational + Abi","169","0.167514916826621","0.146465022798669","0.188564810854573","1"
"Yes","2011","higher vocational","309","0.213516924883698","0.192453609460915","0.234580240306481","1"
"Yes","2011","higher education","742","0.156396769418751","0.145900084013241","0.16689345482426","1"
"No","2012","higher education","","","","","2"
"No","2012","higher vocational","","","","","2"
"No","2012","vocational + Abi","","","","","2"
"No","2012","middle vocational","","","","","2"
"No","2012","general elemantary","","","","","2"
"No","2012","inadequately","","","","","2"
"No","2012","in school","","","","","2"
"Yes","2012","middle vocational","","","","","1"
"Yes","2012","in school","","","","","1"
"Yes","2012","inadequately","","","","","1"
"Yes","2012","general elemantary","","","","","1"
"Yes","2012","vocational + Abi","","","","","1"
"Yes","2012","higher vocational","","","","","1"
"Yes","2012","higher education","","","","","1"
"No","2013","higher education","3709","0.824795496753436","0.813661481313272","0.8359295121936","2"
"No","2013","vocational + Abi","936","0.815127249821878","0.792218072610218","0.838036427033539","2"
"No","2013","higher vocational","1053","0.795436704985659","0.773782128952665","0.817091281018653","2"
"No","2013","general elemantary","1332","0.699218540359882","0.678410831130486","0.720026249589277","2"
"No","2013","middle vocational","7331","0.761825173349329","0.753240948854877","0.77040939784378","2"
"No","2013","in school","255","0.966938961242984","0.945205985549622","0.988671936936347","2"
"No","2013","inadequately","149","0.728694451138887","0.666287515973614","0.79110138630416","2"
"Yes","2013","inadequately","46","0.271305548861113","0.20889861369584","0.333712484026386","1"
"Yes","2013","higher vocational","280","0.204563295014341","0.182908718981347","0.226217871047335","1"
"Yes","2013","general elemantary","534","0.300781459640118","0.279973750410723","0.321589168869514","1"
"Yes","2013","middle vocational","2128","0.238174826650671","0.22959060215622","0.246759051145123","1"
"Yes","2013","in school","5","","","","1"
