"ple0021","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","Male","776","1","1","1"
"Yes","2011","lower secondary degree","Female","1200","1","1","1"
"Yes","2011","secondary school degree","Male","410","1","1","1"
"Yes","2011","secondary school degree","Female","676","1","1","1"
"Yes","2011","college entrance qualification","Male","347","1","1","1"
"Yes","2011","college entrance qualification","Female","398","1","1","1"
"Yes","2011","Other degree","Male","83","1","1","1"
"Yes","2011","Other degree","Female","145","1","1","1"
"Yes","2011","no degree/no degree yet","Male","29","","",""
"Yes","2011","no degree/no degree yet","Female","41","1","1","1"
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","702","1","1","1"
"Yes","2013","lower secondary degree","Female","1101","1","1","1"
"Yes","2013","secondary school degree","Male","382","1","1","1"
"Yes","2013","secondary school degree","Female","679","1","1","1"
"Yes","2013","college entrance qualification","Male","340","1","1","1"
"Yes","2013","college entrance qualification","Female","409","1","1","1"
"Yes","2013","Other degree","Male","89","1","1","1"
"Yes","2013","Other degree","Female","155","1","1","1"
"Yes","2013","no degree/no degree yet","Male","21","","",""
"Yes","2013","no degree/no degree yet","Female","41","1","1","1"
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","685","1","1","1"
"Yes","2015","lower secondary degree","Female","1043","1","1","1"
"Yes","2015","secondary school degree","Male","431","1","1","1"
"Yes","2015","secondary school degree","Female","840","1","1","1"
"Yes","2015","college entrance qualification","Male","384","1","1","1"
"Yes","2015","college entrance qualification","Female","494","1","1","1"
"Yes","2015","Other degree","Male","165","1","1","1"
"Yes","2015","Other degree","Female","268","1","1","1"
"Yes","2015","no degree/no degree yet","Male","29","","",""
"Yes","2015","no degree/no degree yet","Female","59","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","746","1","1","1"
"Yes","2017","lower secondary degree","Female","1031","1","1","1"
"Yes","2017","secondary school degree","Male","526","1","1","1"
"Yes","2017","secondary school degree","Female","946","1","1","1"
"Yes","2017","college entrance qualification","Male","437","1","1","1"
"Yes","2017","college entrance qualification","Female","538","1","1","1"
"Yes","2017","Other degree","Male","173","1","1","1"
"Yes","2017","Other degree","Female","283","1","1","1"
"Yes","2017","no degree/no degree yet","Male","35","1","1","1"
"Yes","2017","no degree/no degree yet","Female","68","1","1","1"
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","731","1","1","1"
"Yes","2019","lower secondary degree","Female","912","1","1","1"
"Yes","2019","secondary school degree","Male","536","1","1","1"
"Yes","2019","secondary school degree","Female","1002","1","1","1"
"Yes","2019","college entrance qualification","Male","574","1","1","1"
"Yes","2019","college entrance qualification","Female","663","1","1","1"
"Yes","2019","Other degree","Male","185","1","1","1"
"Yes","2019","Other degree","Female","262","1","1","1"
"Yes","2019","no degree/no degree yet","Male","31","1","1","1"
"Yes","2019","no degree/no degree yet","Female","58","1","1","1"
