"ple0021","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","Male","51","1","1","1"
"Yes","2011","Schleswig-Holstein","Female","78","1","1","1"
"Yes","2011","Hamburg","Male","25","","",""
"Yes","2011","Hamburg","Female","38","1","1","1"
"Yes","2011","Lower Saxony","Male","124","1","1","1"
"Yes","2011","Lower Saxony","Female","224","1","1","1"
"Yes","2011","Bremen","Male","7","","",""
"Yes","2011","Bremen","Female","15","","",""
"Yes","2011","North Rhine-Westphalia","Male","324","1","1","1"
"Yes","2011","North Rhine-Westphalia","Female","485","1","1","1"
"Yes","2011","Hesse","Male","105","1","1","1"
"Yes","2011","Hesse","Female","170","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Male","100","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Female","144","1","1","1"
"Yes","2011","Baden-Württemberg","Male","216","1","1","1"
"Yes","2011","Baden-Württemberg","Female","302","1","1","1"
"Yes","2011","Bavaria","Male","253","1","1","1"
"Yes","2011","Bavaria","Female","374","1","1","1"
"Yes","2011","Berlin","Male","69","1","1","1"
"Yes","2011","Berlin","Female","98","1","1","1"
"Yes","2011","Brandenburg","Male","71","1","1","1"
"Yes","2011","Brandenburg","Female","114","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","Male","44","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","Female","61","1","1","1"
"Yes","2011","Saxony","Male","120","1","1","1"
"Yes","2011","Saxony","Female","169","1","1","1"
"Yes","2011","Saxony-Anhalt","Male","73","1","1","1"
"Yes","2011","Saxony-Anhalt","Female","107","1","1","1"
"Yes","2011","Thuringia","Male","72","1","1","1"
"Yes","2011","Thuringia","Female","100","1","1","1"
"Yes","2012","Schleswig-Holstein","Male","","","",""
"Yes","2012","Schleswig-Holstein","Female","","","",""
"Yes","2012","Hamburg","Male","","","",""
"Yes","2012","Hamburg","Female","","","",""
"Yes","2012","Lower Saxony","Male","","","",""
"Yes","2012","Lower Saxony","Female","","","",""
"Yes","2012","Bremen","Male","","","",""
"Yes","2012","Bremen","Female","","","",""
"Yes","2012","North Rhine-Westphalia","Male","","","",""
"Yes","2012","North Rhine-Westphalia","Female","","","",""
"Yes","2012","Hesse","Male","","","",""
"Yes","2012","Hesse","Female","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes","2012","Baden-Württemberg","Male","","","",""
"Yes","2012","Baden-Württemberg","Female","","","",""
"Yes","2012","Bavaria","Male","","","",""
"Yes","2012","Bavaria","Female","","","",""
"Yes","2012","Berlin","Male","","","",""
"Yes","2012","Berlin","Female","","","",""
"Yes","2012","Brandenburg","Male","","","",""
"Yes","2012","Brandenburg","Female","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Male","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Female","","","",""
"Yes","2012","Saxony","Male","","","",""
"Yes","2012","Saxony","Female","","","",""
"Yes","2012","Saxony-Anhalt","Male","","","",""
"Yes","2012","Saxony-Anhalt","Female","","","",""
"Yes","2012","Thuringia","Male","","","",""
"Yes","2012","Thuringia","Female","","","",""
"Yes","2013","Schleswig-Holstein","Male","43","1","1","1"
"Yes","2013","Schleswig-Holstein","Female","75","1","1","1"
"Yes","2013","Hamburg","Male","17","","",""
"Yes","2013","Hamburg","Female","39","1","1","1"
"Yes","2013","Lower Saxony","Male","124","1","1","1"
"Yes","2013","Lower Saxony","Female","234","1","1","1"
"Yes","2013","Bremen","Male","7","","",""
"Yes","2013","Bremen","Female","12","","",""
"Yes","2013","North Rhine-Westphalia","Male","296","1","1","1"
"Yes","2013","North Rhine-Westphalia","Female","473","1","1","1"
"Yes","2013","Hesse","Male","108","1","1","1"
"Yes","2013","Hesse","Female","178","1","1","1"
"Yes","2013","Rhineland-Palatinate,Saarland","Male","109","1","1","1"
"Yes","2013","Rhineland-Palatinate,Saarland","Female","144","1","1","1"
"Yes","2013","Baden-Württemberg","Male","177","1","1","1"
"Yes","2013","Baden-Württemberg","Female","282","1","1","1"
"Yes","2013","Bavaria","Male","244","1","1","1"
"Yes","2013","Bavaria","Female","347","1","1","1"
"Yes","2013","Berlin","Male","70","1","1","1"
"Yes","2013","Berlin","Female","94","1","1","1"
"Yes","2013","Brandenburg","Male","80","1","1","1"
"Yes","2013","Brandenburg","Female","100","1","1","1"
"Yes","2013","Mecklenburg-Western Pomerania","Male","31","1","1","1"
"Yes","2013","Mecklenburg-Western Pomerania","Female","60","1","1","1"
"Yes","2013","Saxony","Male","109","1","1","1"
"Yes","2013","Saxony","Female","174","1","1","1"
