"ple0021","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2011","1-pers.-HH","Female","1373","0.659816112237371","0.639533645137526","0.680098579337217","2"
"No","2011","Couple + C. GT 16 ","Female","1287","0.846027230422565","0.827864989502071","0.864189471343058","2"
"No","2011","Couple + C. GT 16 ","Male","1498","0.905424651387036","0.891448352482455","0.919400950291617","2"
"No","2011","(Married) couple without C. ","Female","2896","0.70355257119243","0.689566677002683","0.717538465382176","2"
"No","2011","Couple + C. LE and GT 16","Male","565","0.921056929192208","0.899967320862031","0.942146537522385","2"
"No","2011","1-pers.-HH","Male","1203","0.820518373048683","0.800954040873889","0.840082705223477","2"
"No","2011","(Married) couple without C. ","Male","3092","0.778441832528954","0.765650047037485","0.791233618020423","2"
"No","2011","Couple + C. LE and GT 16","Female","564","0.919119663547115","0.897411690071049","0.940827637023181","2"
"No","2011","Single parent ","Male","307","0.93636200957726","0.910143614994393","0.962580404160127","2"
"No","2011","Single parent ","Female","716","0.843445672366299","0.818886643537441","0.868004701195158","2"
"No","2011","Couple + C. LE 16 ","Male","1381","0.925359385102596","0.912023971172316","0.938694799032876","2"
"No","2011","Couple + C. LE 16 ","Female","1525","0.937227193888254","0.925434049370024","0.949020338406483","2"
"Yes","2011","1-pers.-HH","Male","275","0.179481626951317","0.159917294776523","0.199045959126111","1"
"Yes","2011","1-pers.-HH","Female","723","0.340183887762629","0.319901420662783","0.360466354862474","1"
"Yes","2011","(Married) couple without C. ","Male","957","0.221558167471046","0.208766381979577","0.234349952962515","1"
"Yes","2011","(Married) couple without C. ","Female","1200","0.29644742880757","0.282461534617824","0.310433322997317","1"
"Yes","2011","Single parent ","Male","26","","","","1"
"Yes","2011","Single parent ","Female","125","0.156554327633701","0.131995298804842","0.181113356462559","1"
"Yes","2011","Couple + C. LE 16 ","Male","111","0.0746406148974044","0.0613052009671245","0.0879760288276843","1"
"Yes","2011","Couple + C. LE 16 ","Female","100","0.0627728061117463","0.0509796615935167","0.0745659506299758","1"
"Yes","2011","Couple + C. GT 16 ","Male","186","0.0945753486129637","0.080599049708383","0.108551647517544","1"
"Yes","2011","Couple + C. GT 16 ","Female","230","0.153972769577435","0.135810528656942","0.172135010497929","1"
"Yes","2011","Couple + C. LE and GT 16","Male","63","0.0789430708077923","0.0578534624776154","0.100032679137969","1"
"Yes","2011","Couple + C. LE and GT 16","Female","42","0.080880336452885","0.0591723629768192","0.102588309928951","1"
"No","2012","Couple + C. GT 16 ","Female","","","","","2"
"No","2012","Couple + C. GT 16 ","Male","","","","","2"
"No","2012","Couple + C. LE and GT 16","Male","","","","","2"
"No","2012","Couple + C. LE and GT 16","Female","","","","","2"
"No","2012","(Married) couple without C. ","Female","","","","","2"
"No","2012","1-pers.-HH","Female","","","","","2"
"No","2012","(Married) couple without C. ","Male","","","","","2"
"No","2012","1-pers.-HH","Male","","","","","2"
"No","2012","Single parent ","Male","","","","","2"
"No","2012","Single parent ","Female","","","","","2"
"No","2012","Couple + C. LE 16 ","Male","","","","","2"
"No","2012","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2012","1-pers.-HH","Male","","","","","1"
"Yes","2012","1-pers.-HH","Female","","","","","1"
"Yes","2012","(Married) couple without C. ","Male","","","","","1"
"Yes","2012","(Married) couple without C. ","Female","","","","","1"
"Yes","2012","Single parent ","Male","","","","","1"
"Yes","2012","Single parent ","Female","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Female","","","","","1"
"No","2013","Couple + C. LE and GT 16","Female","456","0.911185318748347","0.886175206883974","0.93619543061272","2"
"No","2013","Couple + C. GT 16 ","Male","1219","0.884016279379475","0.867170853020986","0.900861705737964","2"
"No","2013","Couple + C. GT 16 ","Female","1047","0.826571793987331","0.805549058481471","0.847594529493191","2"
"No","2013","Couple + C. LE and GT 16","Male","404","0.893119924931519","0.864414012891453","0.921825836971584","2"
"No","2013","1-pers.-HH","Male","1175","0.82406848975717","0.804456697709944","0.843680281804395","2"
"No","2013","1-pers.-HH","Female","1319","0.646556621480523","0.625735755722248","0.667377487238797","2"
"No","2013","(Married) couple without C. ","Female","2689","0.697741679983657","0.683244872712198","0.712238487255116","2"
"No","2013","(Married) couple without C. ","Male","2901","0.771517470251442","0.758168256893623","0.784866683609261","2"
"No","2013","Single parent ","Male","288","0.939021043061714","0.912553664748867","0.96548842137456","2"
"No","2013","Single parent ","Female","677","0.812380268877327","0.785360611052223","0.839399926702431","2"
