"ple0021","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","1-pers.-HH","528","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","1082","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","58","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","55","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","162","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","43","1","1","1"
"Yes","2011","secondary school degree","1-pers.-HH","230","1","1","1"
"Yes","2011","secondary school degree","(Married) couple without C. ","555","1","1","1"
"Yes","2011","secondary school degree","Single parent ","41","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE 16 ","81","1","1","1"
"Yes","2011","secondary school degree","Couple + C. GT 16 ","131","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","29","","",""
"Yes","2011","college entrance qualification","1-pers.-HH","164","1","1","1"
"Yes","2011","college entrance qualification","(Married) couple without C. ","368","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","33","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","66","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. GT 16 ","88","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE and GT 16","18","","",""
"Yes","2011","Other degree","1-pers.-HH","40","1","1","1"
"Yes","2011","Other degree","(Married) couple without C. ","118","1","1","1"
"Yes","2011","Other degree","Single parent ","11","","",""
"Yes","2011","Other degree","Couple + C. LE 16 ","8","","",""
"Yes","2011","Other degree","Couple + C. GT 16 ","27","","",""
"Yes","2011","Other degree","Couple + C. LE and GT 16","11","","",""
"Yes","2011","no degree/no degree yet","1-pers.-HH","25","","",""
"Yes","2011","no degree/no degree yet","(Married) couple without C. ","26","","",""
"Yes","2011","no degree/no degree yet","Single parent ","7","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2011","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
