"ple0021","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","in school","","","",""
"Yes","2011","lower secondary degree","inadequately","","","",""
"Yes","2011","lower secondary degree","general elemantary","468","1","1","1"
"Yes","2011","lower secondary degree","middle vocational","1347","1","1","1"
"Yes","2011","lower secondary degree","vocational + Abi","2","","",""
"Yes","2011","lower secondary degree","higher vocational","100","1","1","1"
"Yes","2011","lower secondary degree","higher education","59","1","1","1"
"Yes","2011","secondary school degree","in school","","","",""
"Yes","2011","secondary school degree","inadequately","","","",""
"Yes","2011","secondary school degree","general elemantary","66","1","1","1"
"Yes","2011","secondary school degree","middle vocational","753","1","1","1"
"Yes","2011","secondary school degree","vocational + Abi","8","","",""
"Yes","2011","secondary school degree","higher vocational","128","1","1","1"
"Yes","2011","secondary school degree","higher education","131","1","1","1"
"Yes","2011","college entrance qualification","in school","","","",""
"Yes","2011","college entrance qualification","inadequately","","","",""
"Yes","2011","college entrance qualification","general elemantary","","","",""
"Yes","2011","college entrance qualification","middle vocational","35","1","1","1"
"Yes","2011","college entrance qualification","vocational + Abi","127","1","1","1"
"Yes","2011","college entrance qualification","higher vocational","64","1","1","1"
"Yes","2011","college entrance qualification","higher education","519","1","1","1"
"Yes","2011","Other degree","in school","","","",""
"Yes","2011","Other degree","inadequately","4","","",""
"Yes","2011","Other degree","general elemantary","57","1","1","1"
"Yes","2011","Other degree","middle vocational","89","1","1","1"
"Yes","2011","Other degree","vocational + Abi","32","1","1","1"
"Yes","2011","Other degree","higher vocational","16","","",""
"Yes","2011","Other degree","higher education","30","1","1","1"
"Yes","2011","no degree/no degree yet","in school","3","","",""
"Yes","2011","no degree/no degree yet","inadequately","53","1","1","1"
"Yes","2011","no degree/no degree yet","general elemantary","","","",""
"Yes","2011","no degree/no degree yet","middle vocational","13","","",""
"Yes","2011","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2011","no degree/no degree yet","higher vocational","1","","",""
"Yes","2011","no degree/no degree yet","higher education","","","",""
"Yes","2012","lower secondary degree","in school","","","",""
"Yes","2012","lower secondary degree","inadequately","","","",""
"Yes","2012","lower secondary degree","general elemantary","","","",""
"Yes","2012","lower secondary degree","middle vocational","","","",""
"Yes","2012","lower secondary degree","vocational + Abi","","","",""
"Yes","2012","lower secondary degree","higher vocational","","","",""
"Yes","2012","lower secondary degree","higher education","","","",""
"Yes","2012","secondary school degree","in school","","","",""
"Yes","2012","secondary school degree","inadequately","","","",""
"Yes","2012","secondary school degree","general elemantary","","","",""
"Yes","2012","secondary school degree","middle vocational","","","",""
"Yes","2012","secondary school degree","vocational + Abi","","","",""
"Yes","2012","secondary school degree","higher vocational","","","",""
"Yes","2012","secondary school degree","higher education","","","",""
"Yes","2012","college entrance qualification","in school","","","",""
"Yes","2012","college entrance qualification","inadequately","","","",""
"Yes","2012","college entrance qualification","general elemantary","","","",""
"Yes","2012","college entrance qualification","middle vocational","","","",""
"Yes","2012","college entrance qualification","vocational + Abi","","","",""
"Yes","2012","college entrance qualification","higher vocational","","","",""
"Yes","2012","college entrance qualification","higher education","","","",""
"Yes","2012","Other degree","in school","","","",""
"Yes","2012","Other degree","inadequately","","","",""
"Yes","2012","Other degree","general elemantary","","","",""
"Yes","2012","Other degree","middle vocational","","","",""
"Yes","2012","Other degree","vocational + Abi","","","",""
"Yes","2012","Other degree","higher vocational","","","",""
