"ple0021","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Full Time","in school","","","",""
"Yes","2011","Full Time","inadequately","5","","",""
"Yes","2011","Full Time","general elemantary","47","0.107734313654421","0.0797043017283472","0.135764325580494"
"Yes","2011","Full Time","middle vocational","418","0.110031490863353","0.0999045273300741","0.120158454396633"
"Yes","2011","Full Time","vocational + Abi","52","0.107088924486647","0.0814776930356003","0.132700155937694"
"Yes","2011","Full Time","higher vocational","81","0.13816081089423","0.112109852899242","0.164211768889217"
"Yes","2011","Full Time","higher education","223","0.0867992381293297","0.0752857032064384","0.098312773052221"
"Yes","2011","Part Time","in school","","","",""
"Yes","2011","Part Time","inadequately","9","","",""
"Yes","2011","Part Time","general elemantary","77","0.19446457849585","0.157525048043394","0.231404108948307"
"Yes","2011","Part Time","middle vocational","404","0.16479045484147","0.150576662036455","0.179004247646485"
"Yes","2011","Part Time","vocational + Abi","36","0.140520831158481","0.105346933980779","0.175694728336182"
"Yes","2011","Part Time","higher vocational","55","0.156067118690361","0.115337735635148","0.196796501745574"
"Yes","2011","Part Time","higher education","119","0.114215217362952","0.0941469200190669","0.134283514706838"
"Yes","2011","Not Working","in school","3","","",""
"Yes","2011","Not Working","inadequately","43","0.365162946574242","0.285121454485308","0.445204438663176"
"Yes","2011","Not Working","general elemantary","467","0.389879542179235","0.363129426783785","0.416629657574685"
"Yes","2011","Not Working","middle vocational","1424","0.3544618819556","0.340102487029061","0.368821276882139"
"Yes","2011","Not Working","vocational + Abi","81","0.339379109684021","0.283314150013037","0.395444069355005"
"Yes","2011","Not Working","higher vocational","173","0.358586322991428","0.315457534895772","0.401715111087084"
"Yes","2011","Not Working","higher education","400","0.316875504139338","0.291945962271546","0.34180504600713"
"No","2011","Full Time","in school","5","","",""
"No","2011","Full Time","inadequately","38","0.864559801648641","0.762281107805581","0.966838495491701"
"No","2011","Full Time","general elemantary","423","0.892265686345579","0.864235674419506","0.920295698271653"
"No","2011","Full Time","middle vocational","3250","0.889968509136647","0.879841545603367","0.900095472669926"
"No","2011","Full Time","vocational + Abi","508","0.892911075513353","0.867299844062306","0.9185223069644"
"No","2011","Full Time","higher vocational","593","0.86183918910577","0.835788231110782","0.887890147100758"
"No","2011","Full Time","higher education","2074","0.91320076187067","0.901687226947779","0.924714296793562"
"No","2011","Part Time","in school","59","1","1","1"
"No","2011","Part Time","inadequately","42","0.830310769159434","0.727293394265813","0.933328144053056"
"No","2011","Part Time","general elemantary","364","0.80553542150415","0.768595891051693","0.842474951956606"
"No","2011","Part Time","middle vocational","2213","0.83520954515853","0.820995752353515","0.849423337963545"
"No","2011","Part Time","vocational + Abi","339","0.859479168841519","0.824305271663818","0.894653066019221"
"No","2011","Part Time","higher vocational","250","0.843932881309639","0.803203498254426","0.884662264364852"
"No","2011","Part Time","higher education","846","0.885784782637048","0.865716485293162","0.905853079980933"
"No","2011","Not Working","in school","246","0.990899514275489","0.979104580369815","1.00269444818116"
"No","2011","Not Working","inadequately","96","0.634837053425758","0.554795561336824","0.714878545514692"
"No","2011","Not Working","general elemantary","810","0.610120457820765","0.583370342425315","0.636870573216215"
"No","2011","Not Working","middle vocational","2839","0.6455381180444","0.631178723117861","0.659897512970939"
"No","2011","Not Working","vocational + Abi","193","0.660620890315979","0.604555930644995","0.716685849986963"
"No","2011","Not Working","higher vocational","302","0.641413677008572","0.598284888912916","0.684542465104228"
"No","2011","Not Working","higher education","938","0.683124495860662","0.65819495399287","0.708054037728454"
"Yes","2012","Full Time","in school","","","",""
"Yes","2012","Full Time","inadequately","","","",""
