"ple0021","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","Male","1486","0.169777900577577","0.161826429457021","0.177729371698133"
"Yes","2011","no migration background","Female","2215","0.263177173404389","0.254311365939689","0.272042980869089"
"Yes","2011","direct migration background","Male","154","0.152064155800583","0.128525901182421","0.175602410418744"
"Yes","2011","direct migration background","Female","233","0.223986955791413","0.199635508937229","0.248338402645597"
"Yes","2011","indirect migration background","Male","14","","",""
"Yes","2011","indirect migration background","Female","31","0.0734470223233327","0.0484388372392337","0.0984552074074316"
"No","2011","no migration background","Male","7078","0.830222099422423","0.822270628301867","0.838173570542979"
"No","2011","no migration background","Female","7262","0.736822826595611","0.727957019130911","0.745688634060311"
"No","2011","direct migration background","Male","740","0.847935844199417","0.824397589581256","0.871474098817579"
"No","2011","direct migration background","Female","893","0.776013044208587","0.751661597354403","0.800364491062771"
"No","2011","indirect migration background","Male","367","0.955595685543388","0.934911649872051","0.976279721214726"
"No","2011","indirect migration background","Female","387","0.926552977676667","0.901544792592568","0.951561162760766"
"Yes","2012","no migration background","Male","","","",""
"Yes","2012","no migration background","Female","","","",""
"Yes","2012","direct migration background","Male","","","",""
"Yes","2012","direct migration background","Female","","","",""
"Yes","2012","indirect migration background","Male","","","",""
"Yes","2012","indirect migration background","Female","","","",""
"No","2012","no migration background","Male","","","",""
"No","2012","no migration background","Female","","","",""
"No","2012","direct migration background","Male","","","",""
"No","2012","direct migration background","Female","","","",""
"No","2012","indirect migration background","Male","","","",""
"No","2012","indirect migration background","Female","","","",""
"Yes","2013","no migration background","Male","1394","0.175956790719497","0.167503108879408","0.184410472559585"
"Yes","2013","no migration background","Female","2147","0.272334644951512","0.263015213320379","0.281654076582645"
"Yes","2013","direct migration background","Male","129","0.194665977801215","0.166041506586769","0.223290449015661"
"Yes","2013","direct migration background","Female","230","0.285072372868405","0.256529676177546","0.313615069559265"
"Yes","2013","indirect migration background","Male","21","","",""
"Yes","2013","indirect migration background","Female","22","","",""
"No","2013","no migration background","Male","6400","0.824043209280503","0.815589527440415","0.832496891120592"
"No","2013","no migration background","Female","6618","0.727665355048488","0.718345923417355","0.736984786679621"
