"ple0021","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Full Time","no migration background","6090","0.891287451336199","0.883906320613224","0.898668582059175","2"
"No","2011","Full Time","indirect migration background","315","0.956284077326634","0.934290679196503","0.978277475456764","2"
"No","2011","Part Time","no migration background","3522","0.83807621077282","0.826860280430598","0.849292141115042","2"
"No","2011","Part Time","direct migration background","453","0.871487942272851","0.842696259924504","0.900279624621199","2"
"No","2011","Not Working","no migration background","4728","0.643980449033515","0.632815280749101","0.65514561731793","2"
"No","2011","Not Working","direct migration background","601","0.686758487881501","0.655669491136342","0.71784748462666","2"
"No","2011","Not Working","indirect migration background","213","0.921406703983423","0.886322445133474","0.956490962833372","2"
"No","2011","Full Time","direct migration background","579","0.900690298072937","0.877627318541429","0.923753277604444","2"
"No","2011","Part Time","indirect migration background","226","0.93843546430884","0.90808907116822","0.968781857449459","2"
"Yes","2011","Full Time","no migration background","742","0.108712548663801","0.101331417940826","0.116093679386776","1"
"Yes","2011","Full Time","direct migration background","67","0.0993097019270635","0.0762467223955563","0.122372681458571","1"
"Yes","2011","Full Time","indirect migration background","17","","","","1"
"Yes","2011","Part Time","no migration background","622","0.16192378922718","0.150707858884958","0.173139719569402","1"
"Yes","2011","Part Time","direct migration background","66","0.128512057727149","0.0997203753788014","0.157303740075496","1"
"Yes","2011","Part Time","indirect migration background","15","","","","1"
"Yes","2011","Not Working","no migration background","2337","0.356019550966484","0.34485438268207","0.367184719250899","1"
"Yes","2011","Not Working","direct migration background","254","0.313241512118499","0.28215251537334","0.344330508863658","1"
"Yes","2011","Not Working","indirect migration background","13","","","","1"
"No","2012","Full Time","no migration background","","","","","2"
"No","2012","Full Time","direct migration background","","","","","2"
"No","2012","Full Time","indirect migration background","","","","","2"
"No","2012","Part Time","no migration background","","","","","2"
"No","2012","Part Time","direct migration background","","","","","2"
"No","2012","Not Working","no migration background","","","","","2"
"No","2012","Not Working","direct migration background","","","","","2"
"No","2012","Not Working","indirect migration background","","","","","2"
"No","2012","Part Time","indirect migration background","","","","","2"
"Yes","2012","Full Time","no migration background","","","","","1"
"Yes","2012","Full Time","direct migration background","","","","","1"
"Yes","2012","Full Time","indirect migration background","","","","","1"
"Yes","2012","Part Time","no migration background","","","","","1"
"Yes","2012","Part Time","direct migration background","","","","","1"
"Yes","2012","Part Time","indirect migration background","","","","","1"
"Yes","2012","Not Working","no migration background","","","","","1"
"Yes","2012","Not Working","direct migration background","","","","","1"
"Yes","2012","Not Working","indirect migration background","","","","","1"
"No","2013","Full Time","no migration background","5371","0.881887095052771","0.873795920182368","0.889978269923174","2"
"No","2013","Full Time","indirect migration background","302","0.942317648312073","0.916852846723048","0.967782449901097","2"
"No","2013","Part Time","no migration background","3321","0.834035188173152","0.822385452510911","0.845684923835393","2"
"No","2013","Part Time","direct migration background","376","0.822399794897543","0.787089197734146","0.85771039206094","2"
"No","2013","Full Time","direct migration background","488","0.838265245638261","0.807850352102131","0.868680139174392","2"
"No","2013","Part Time","indirect migration background","217","0.941574330234663","0.911262418486785","0.971886241982541","2"
"No","2013","Not Working","no migration background","4326","0.640589141205851","0.628950289356605","0.652227993055096","2"
"No","2013","Not Working","direct migration background","473","0.653297348294283","0.617605275625175","0.688989420963391","2"
"No","2013","Not Working","indirect migration background","154","0.928687576393093","0.889301421623787","0.968073731162399","2"
"Yes","2013","Full Time","no migration background","741","0.118112904947229","0.110021730076826","0.126204079817632","1"
"Yes","2013","Full Time","direct migration background","75","0.161734754361739","0.131319860825608","0.192149647897869","1"
"Yes","2013","Full Time","indirect migration background","20","","","","1"
"Yes","2013","Part Time","no migration background","597","0.165964811826848","0.154315076164607","0.177614547489089","1"
"Yes","2013","Part Time","direct migration background","74","0.177600205102457","0.14228960793906","0.212910802265854","1"
"Yes","2013","Part Time","indirect migration background","13","","","","1"
"Yes","2013","Not Working","no migration background","2203","0.359410858794149","0.347772006944904","0.371049710643395","1"
"Yes","2013","Not Working","direct migration background","210","0.346702651705717","0.311010579036609","0.382394724374825","1"
"Yes","2013","Not Working","indirect migration background","10","","","","1"
"No","2014","Full Time","no migration background","","","","","2"
"No","2014","Full Time","direct migration background","","","","","2"
"No","2014","Full Time","indirect migration background","","","","","2"
"No","2014","Part Time","no migration background","","","","","2"
"No","2014","Part Time","direct migration background","","","","","2"
"No","2014","Part Time","indirect migration background","","","","","2"
"No","2014","Not Working","no migration background","","","","","2"
"No","2014","Not Working","direct migration background","","","","","2"
"No","2014","Not Working","indirect migration background","","","","","2"
"Yes","2014","Full Time","no migration background","","","","","1"
"Yes","2014","Full Time","direct migration background","","","","","1"
"Yes","2014","Full Time","indirect migration background","","","","","1"
"Yes","2014","Part Time","no migration background","","","","","1"
"Yes","2014","Part Time","direct migration background","","","","","1"
"Yes","2014","Not Working","indirect migration background","","","","","1"
"Yes","2014","Part Time","indirect migration background","","","","","1"
"Yes","2014","Not Working","no migration background","","","","","1"
"Yes","2014","Not Working","direct migration background","","","","","1"
"No","2015","Full Time","indirect migration background","630","0.964286929247929","0.950096937485882","0.978476921009976","2"
"No","2015","Part Time","no migration background","4469","0.833605719608122","0.823514032816332","0.843697406399912","2"
"No","2015","Full Time","direct migration background","1495","0.914289904682753","0.900662456640505","0.927917352725","2"
"No","2015","Full Time","no migration background","6457","0.89197141280917","0.884824084326562","0.899118741291777","2"
"No","2015","Part Time","direct migration background","1206","0.837523123478064","0.818017990807165","0.857028256148964","2"
"No","2015","Part Time","indirect migration background","507","0.921981867046743","0.899212893481797","0.944750840611689","2"
"No","2015","Not Working","no migration background","4514","0.633508529356465","0.622003419846376","0.645013638866554","2"
"No","2015","Not Working","direct migration background","1030","0.730816505363049","0.706943630799615","0.754689379926482","2"
"No","2015","Not Working","indirect migration background","412","0.92837391837799","0.904361091488046","0.952386745267934","2"
"Yes","2015","Full Time","no migration background","789","0.10802858719083","0.100881258708223","0.115175915673438","1"
"Yes","2015","Full Time","direct migration background","126","0.0857100953172475","0.0720826472749996","0.0993375433594954","1"
"Yes","2015","Full Time","indirect migration background","27","","","","1"
"Yes","2015","Part Time","no migration background","763","0.166394280391878","0.156302593600088","0.176485967183669","1"
"Yes","2015","Part Time","direct migration background","168","0.162476876521936","0.142971743851036","0.181982009192835","1"
"Yes","2015","Not Working","indirect migration background","31","0.07162608162201","0.0476132547320663","0.0956389085119538","1"
"Yes","2015","Not Working","direct migration background","296","0.269183494636951","0.245310620073518","0.293056369200385","1"
"Yes","2015","Part Time","indirect migration background","26","","","","1"
"Yes","2015","Not Working","no migration background","2224","0.366491470643535","0.354986361133446","0.377996580153624","1"
"No","2016","Full Time","direct migration background","","","","","2"
"No","2016","Full Time","indirect migration background","","","","","2"
"No","2016","Part Time","no migration background","","","","","2"
"No","2016","Full Time","no migration background","","","","","2"
"No","2016","Part Time","direct migration background","","","","","2"
"No","2016","Part Time","indirect migration background","","","","","2"
"No","2016","Not Working","no migration background","","","","","2"
"No","2016","Not Working","direct migration background","","","","","2"
"No","2016","Not Working","indirect migration background","","","","","2"
"Yes","2016","Full Time","no migration background","","","","","1"
"Yes","2016","Full Time","direct migration background","","","","","1"
"Yes","2016","Full Time","indirect migration background","","","","","1"
"Yes","2016","Part Time","no migration background","","","","","1"
"Yes","2016","Part Time","direct migration background","","","","","1"
"Yes","2016","Part Time","indirect migration background","","","","","1"
"Yes","2016","Not Working","no migration background","","","","","1"
"Yes","2016","Not Working","direct migration background","","","","","1"
"Yes","2016","Not Working","indirect migration background","","","","","1"
"No","2017","Full Time","no migration background","7000","0.876878333179883","0.869673253413033","0.884083412946733","2"
"No","2017","Full Time","direct migration background","1628","0.909933027106798","0.896581214174603","0.923284840038993","2"
"No","2017","Full Time","indirect migration background","606","0.949766925619815","0.933026649498909","0.96650720174072","2"
"No","2017","Part Time","no migration background","4710","0.817456109553795","0.807337782094582","0.827574437013008","2"
"No","2017","Part Time","direct migration background","1284","0.809845950361328","0.78978537335823","0.829906527364426","2"
"No","2017","Part Time","indirect migration background","569","0.926221398727465","0.905493747147108","0.946949050307823","2"
"No","2017","Not Working","no migration background","4544","0.630375549383319","0.618861929162575","0.641889169604063","2"
"No","2017","Not Working","direct migration background","1112","0.691258906194154","0.667331579949345","0.715186232438962","2"
"No","2017","Not Working","indirect migration background","424","0.94452956734396","0.923381027415581","0.965678107272339","2"
"Yes","2017","Full Time","no migration background","989","0.123121666820117","0.115916587053267","0.130326746586967","1"
"Yes","2017","Full Time","direct migration background","138","0.0900669728932021","0.0767151599610073","0.103418785825397","1"
"Yes","2017","Full Time","indirect migration background","48","0.0502330743801853","0.0334927982592798","0.0669733505010907","1"
"Yes","2017","Part Time","no migration background","889","0.182543890446205","0.172425562986992","0.192662217905418","1"
"Yes","2017","Not Working","direct migration background","320","0.308741093805846","0.284813767561038","0.332668420050655","1"
"Yes","2017","Part Time","direct migration background","186","0.190154049638672","0.170093472635574","0.21021462664177","1"
"Yes","2017","Part Time","indirect migration background","42","0.0737786012725345","0.0530509496921775","0.0945062528528915","1"
"Yes","2017","Not Working","no migration background","2208","0.369624450616681","0.358110830395937","0.381138070837425","1"
"Yes","2017","Not Working","indirect migration background","26","","","","1"
"No","2018","Full Time","no migration background","","","","","2"
"No","2018","Full Time","direct migration background","","","","","2"
"No","2018","Full Time","indirect migration background","","","","","2"
"No","2018","Part Time","no migration background","","","","","2"
"No","2018","Part Time","direct migration background","","","","","2"
"No","2018","Part Time","indirect migration background","","","","","2"
"No","2018","Not Working","no migration background","","","","","2"
"No","2018","Not Working","direct migration background","","","","","2"
"No","2018","Not Working","indirect migration background","","","","","2"
"Yes","2018","Part Time","no migration background","","","","","1"
"Yes","2018","Full Time","no migration background","","","","","1"
"Yes","2018","Full Time","direct migration background","","","","","1"
"Yes","2018","Full Time","indirect migration background","","","","","1"
"Yes","2018","Part Time","direct migration background","","","","","1"
"Yes","2018","Part Time","indirect migration background","","","","","1"
"Yes","2018","Not Working","no migration background","","","","","1"
"Yes","2018","Not Working","direct migration background","","","","","1"
"Yes","2018","Not Working","indirect migration background","","","","","1"
"No","2019","Full Time","no migration background","7190","0.86706531129938","0.8597481874902","0.87438243510856","2"
"No","2019","Full Time","direct migration background","1350","0.853641089055771","0.835929822640027","0.871352355471514","2"
