"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","4.5","5","265","2","3","6","7","4.3","4.7","5","5"
"2005","college entrance qualification","indirect migration background","4.42","5","197","2","4","5","6","4.2","4.64","4","5"
"2005","college entrance qualification","no migration background","4.38","4","4726","2","3","6","7","4.33","4.43","4","4"
"2005","lower secondary degree","direct migration background","5.08","5","597","2","4","6","7","4.95","5.21","5","5"
"2005","lower secondary degree","indirect migration background","4.66","5","253","2","3","6","7","4.43","4.89","4","5"
"2005","lower secondary degree","no migration background","4.93","5","6232","2","4","6","7","4.89","4.97","5","5"
"2005","no degree/no degree yet","direct migration background","4.68","5","220","2","3","6","7","4.44","4.92","5","5"
"2005","no degree/no degree yet","indirect migration background","4.21","4","98","1","2","6","7","3.84","4.58","3","5"
"2005","no degree/no degree yet","no migration background","4.34","4","583","2","3","6","7","4.19","4.49","4","4"
"2005","Other degree","direct migration background","5.09","5","989","3","4","6","7","4.99","5.19","5","5"
"2005","Other degree","indirect migration background","","","","","","","","","","",""
"2005","Other degree","no migration background","4.86","5","109","2","3","7","7","4.51","5.21","5","6"
"2005","secondary school degree","direct migration background","4.86","5","240","3","4","6","7","4.65","5.07","5","5"
"2005","secondary school degree","indirect migration background","4.71","5","202","2","3","6","7","4.48","4.94","4","5"
"2005","secondary school degree","no migration background","4.8","5","5571","2","4","6","7","4.76","4.84","5","5"
"2006","college entrance qualification","direct migration background","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","","","",""
"2007","Other degree","no migration background","","","","","","","","","","",""
"2007","secondary school degree","direct migration background","","","","","","","","","","",""
"2007","secondary school degree","indirect migration background","","","","","","","","","","",""
"2007","secondary school degree","no migration background","","","","","","","","","","",""
"2008","college entrance qualification","direct migration background","","","","","","","","","","",""
"2008","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2008","college entrance qualification","no migration background","","","","","","","","","","",""
"2008","lower secondary degree","direct migration background","","","","","","","","","","",""
"2008","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2008","lower secondary degree","no migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2008","Other degree","direct migration background","","","","","","","","","","",""
"2008","Other degree","indirect migration background","","","","","","","","","","",""
"2008","Other degree","no migration background","","","","","","","","","","",""
"2008","secondary school degree","direct migration background","","","","","","","","","","",""
"2008","secondary school degree","indirect migration background","","","","","","","","","","",""
"2008","secondary school degree","no migration background","","","","","","","","","","",""
"2009","college entrance qualification","direct migration background","4.05","4","224","2","3","5","6","3.82","4.28","4","5"
"2009","college entrance qualification","indirect migration background","4.11","4","182","2","3","5","6","3.87","4.35","4","5"
"2009","college entrance qualification","no migration background","4.07","4","4475","2","3","5","6","4.02","4.12","4","4"
"2009","lower secondary degree","direct migration background","4.69","5","410","2","4","6","7","4.53","4.85","5","5"
"2009","lower secondary degree","indirect migration background","4.35","4","207","2","3","6","7","4.11","4.59","4","5"
"2009","lower secondary degree","no migration background","4.54","5","5309","2","3","6","7","4.49","4.59","5","5"
"2009","no degree/no degree yet","direct migration background","5.02","5","112","3","4","7","7","4.69","5.35","5","6"
"2009","no degree/no degree yet","indirect migration background","3.64","4","56","1","2","5","6","3.14","4.14","3","5"
"2009","no degree/no degree yet","no migration background","4.17","4","317","2","3","6","7","3.98","4.36","4","4"
"2009","Other degree","direct migration background","4.68","5","682","2","4","6","7","4.56","4.8","5","5"
"2009","Other degree","indirect migration background","","","","","","","","","","",""
"2009","Other degree","no migration background","4.54","4","109","2","3","6","7","4.21","4.87","4","5"
"2009","secondary school degree","direct migration background","4.56","4","181","2","3","6","7","4.32","4.8","4","5"
"2009","secondary school degree","indirect migration background","4.44","5","174","2","3","6","6","4.19","4.69","4","5"
"2009","secondary school degree","no migration background","4.41","4","5051","2","3","6","7","4.36","4.46","4","4"
"2010","college entrance qualification","direct migration background","","","","","","","","","","",""
"2010","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2010","college entrance qualification","no migration background","","","","","","","","","","",""
"2010","lower secondary degree","direct migration background","","","","","","","","","","",""
"2010","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2010","lower secondary degree","no migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2010","Other degree","direct migration background","","","","","","","","","","",""
"2010","Other degree","indirect migration background","","","","","","","","","","",""
"2010","Other degree","no migration background","","","","","","","","","","",""
"2010","secondary school degree","direct migration background","","","","","","","","","","",""
"2010","secondary school degree","indirect migration background","","","","","","","","","","",""
"2010","secondary school degree","no migration background","","","","","","","","","","",""
"2011","college entrance qualification","direct migration background","","","","","","","","","","",""
"2011","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2011","college entrance qualification","no migration background","","","","","","","","","","",""
"2011","lower secondary degree","direct migration background","","","","","","","","","","",""
"2011","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2011","lower secondary degree","no migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2011","Other degree","direct migration background","","","","","","","","","","",""
"2011","Other degree","indirect migration background","","","","","","","","","","",""
"2011","Other degree","no migration background","","","","","","","","","","",""
"2011","secondary school degree","direct migration background","","","","","","","","","","",""
"2011","secondary school degree","indirect migration background","","","","","","","","","","",""
"2011","secondary school degree","no migration background","","","","","","","","","","",""
"2012","college entrance qualification","direct migration background","4.09","4","105","2","2","6","6","3.73","4.45","4","5"
"2012","college entrance qualification","indirect migration background","4.82","5","139","2","3","6","7","4.53","5.11","4","5"
"2012","college entrance qualification","no migration background","4.27","4","1904","2","3","6","6","4.2","4.34","4","4"
"2012","lower secondary degree","direct migration background","5.3","6","153","2","4","7","7","5.04","5.56","5","6"
"2012","lower secondary degree","indirect migration background","5.26","6","111","3","5","7","7","4.96","5.56","5","6"
"2012","lower secondary degree","no migration background","4.99","5","1145","3","4","6","7","4.89","5.09","5","5"
"2012","no degree/no degree yet","direct migration background","4.98","5","81","2","4","7","7","4.59","5.37","5","6"
"2012","no degree/no degree yet","indirect migration background","4.75","5","47","2","3","7","7","4.22","5.28","4","6"
"2012","no degree/no degree yet","no migration background","4.44","5","224","2","3","6","7","4.19","4.69","4","5"
"2012","Other degree","direct migration background","5.11","5","617","3","4","7","7","4.98","5.24","5","5"
"2012","Other degree","indirect migration background","","","","","","","","","","",""
"2012","Other degree","no migration background","5.44","6","43","2","4","7","7","4.86","6.02","5","7"
"2012","secondary school degree","direct migration background","5.24","6","110","3","4","6","7","4.93","5.55","5","6"
"2012","secondary school degree","indirect migration background","5.04","5","144","2","4","7","7","4.75","5.33","5","6"
"2012","secondary school degree","no migration background","4.73","5","2134","2","4","6","7","4.66","4.8","5","5"
"2013","college entrance qualification","direct migration background","3.83","4","218","2","3","5","6","3.6","4.06","4","4"
"2013","college entrance qualification","indirect migration background","3.69","4","228","2","2","5","6","3.48","3.9","4","4"
"2013","college entrance qualification","no migration background","3.86","4","4943","2","3","5","6","3.82","3.9","4","4"
"2013","lower secondary degree","direct migration background","4.69","5","303","2","4","6","7","4.49","4.89","5","5"
"2013","lower secondary degree","indirect migration background","4.41","4","179","2","3","6","7","4.17","4.65","4","5"
"2013","lower secondary degree","no migration background","4.45","5","5343","2","3","6","7","4.4","4.5","5","5"
"2013","no degree/no degree yet","direct migration background","4.74","5","96","1","3","7","7","4.38","5.1","5","6"
"2013","no degree/no degree yet","indirect migration background","4.24","4","63","2","3","6","6","3.78","4.7","4","5"
"2013","no degree/no degree yet","no migration background","4.14","4","325","2","2","6","7","3.95","4.33","4","4"
"2013","Other degree","direct migration background","4.71","5","845","2","4","6","7","4.59","4.83","5","5"
"2013","Other degree","indirect migration background","","","","","","","","","","",""
"2013","Other degree","no migration background","4.57","5","163","2","3","6","7","4.28","4.86","4","5"
"2013","secondary school degree","direct migration background","4.51","4","170","3","3","6","7","4.27","4.75","4","5"
"2013","secondary school degree","indirect migration background","4.4","4","167","2","3","6","7","4.15","4.65","4","5"
"2013","secondary school degree","no migration background","4.23","4","5292","2","3","6","7","4.19","4.27","4","4"
"2014","college entrance qualification","direct migration background","","","","","","","","","","",""
"2014","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2014","college entrance qualification","no migration background","","","","","","","","","","",""
"2014","lower secondary degree","direct migration background","","","","","","","","","","",""
"2014","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2014","lower secondary degree","no migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2014","Other degree","direct migration background","","","","","","","","","","",""
"2014","Other degree","indirect migration background","","","","","","","","","","",""
"2014","Other degree","no migration background","","","","","","","","","","",""
