"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","4.55","5","5312","2","3","6","7","4.5","4.6","4","5"
"2005","35-65 y.","4.83","5","11587","2","4","6","7","4.8","4.86","5","5"
"2005","66 and older","4.86","5","3786","2","4","6","7","4.81","4.91","5","5"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","4.21","4","3991","2","3","6","6","4.16","4.26","4","4"
"2009","35-65 y.","4.43","4","9856","2","3","6","7","4.4","4.46","4","4"
"2009","66 and older","4.45","5","4161","2","3","6","7","4.4","4.5","4","5"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","4.78","5","2201","2","4","6","7","4.71","4.85","5","5"
"2012","35-65 y.","4.71","5","4905","2","4","6","7","4.66","4.76","5","5"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","4.04","4","3694","2","3","5","6","3.99","4.09","4","4"
"2013","35-65 y.","4.22","4","10224","2","3","6","7","4.19","4.25","4","4"
"2013","66 and older","4.38","5","4945","2","3","6","7","4.33","4.43","4","5"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","4.48","5","7571","2","3","6","7","4.44","4.52","5","5"
"2017","35-65 y.","4.33","4","16691","2","3","6","7","4.3","4.36","4","5"
"2017","66 and older","4.36","5","5026","2","3","6","7","4.31","4.41","4","5"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","4.03","4","5429","2","3","5","6","3.98","4.08","4","4"
"2019","35-65 y.","3.95","4","15135","2","2","5","6","3.92","3.98","4","4"
"2019","66 and older","3.97","4","5209","2","2","5","6","3.92","4.02","4","4"
