"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","Female","4.61","5","2476","4.55","4.67","2","3","6","7"
"2005","college entrance qualification","Male","4.19","4","2712","4.13","4.25","2","3","5","6"
"2005","lower secondary degree","Female","5.18","5","3633","5.13","5.23","3","4","7","7"
"2005","lower secondary degree","Male","4.67","5","3449","4.61","4.73","2","4","6","7"
"2005","no degree/no degree yet","Female","4.8","5","481","4.64","4.96","2","4","6","7"
"2005","no degree/no degree yet","Male","4.03","4","420","3.86","4.2","2","2","6","7"
"2005","Other degree","Female","5.47","6","584","5.35","5.59","4","5","7","7"
"2005","Other degree","Male","4.64","5","532","4.49","4.79","2","4","6","7"
"2005","secondary school degree","Female","5.03","5","3445","4.98","5.08","3","4","6","7"
"2005","secondary school degree","Male","4.53","5","2568","4.47","4.59","2","3","6","7"
"2006","college entrance qualification","Female","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","",""
"2009","college entrance qualification","Female","4.35","4","2365","4.28","4.42","2","3","6","7"
"2009","college entrance qualification","Male","3.83","4","2516","3.77","3.89","2","3","5","6"
"2009","lower secondary degree","Female","4.79","5","3017","4.73","4.85","2","4","6","7"
"2009","lower secondary degree","Male","4.28","4","2909","4.22","4.34","2","3","6","6"
"2009","no degree/no degree yet","Female","4.82","5","237","4.6","5.04","2","4","6","7"
"2009","no degree/no degree yet","Male","3.89","4","248","3.66","4.12","2","2","5","7"
"2009","Other degree","Female","4.88","5","435","4.73","5.03","2","4","6","7"
"2009","Other degree","Male","4.4","5","368","4.23","4.57","2","3","6","7"
"2009","secondary school degree","Female","4.68","5","3117","4.62","4.74","2","3","6","7"
"2009","secondary school degree","Male","4.09","4","2289","4.02","4.16","2","3","5","6"
"2010","college entrance qualification","Female","","","","","","","","",""
"2010","college entrance qualification","Male","","","","","","","","",""
"2010","lower secondary degree","Female","","","","","","","","",""
"2010","lower secondary degree","Male","","","","","","","","",""
"2010","no degree/no degree yet","Female","","","","","","","","",""
"2010","no degree/no degree yet","Male","","","","","","","","",""
"2010","Other degree","Female","","","","","","","","",""
"2010","Other degree","Male","","","","","","","","",""
"2010","secondary school degree","Female","","","","","","","","",""
"2010","secondary school degree","Male","","","","","","","","",""
"2011","college entrance qualification","Female","","","","","","","","",""
"2011","college entrance qualification","Male","","","","","","","","",""
"2011","lower secondary degree","Female","","","","","","","","",""
"2011","lower secondary degree","Male","","","","","","","","",""
"2011","no degree/no degree yet","Female","","","","","","","","",""
"2011","no degree/no degree yet","Male","","","","","","","","",""
"2011","Other degree","Female","","","","","","","","",""
"2011","Other degree","Male","","","","","","","","",""
"2011","secondary school degree","Female","","","","","","","","",""
"2011","secondary school degree","Male","","","","","","","","",""
"2012","college entrance qualification","Female","4.61","5","1292","4.52","4.7","2","3","6","7"
"2012","college entrance qualification","Male","3.86","4","856","3.75","3.97","2","3","5","6"
"2012","lower secondary degree","Female","5.48","6","724","5.37","5.59","3","5","7","7"
"2012","lower secondary degree","Male","4.64","5","685","4.51","4.77","2","4","6","7"
"2012","no degree/no degree yet","Female","4.94","5","192","4.69","5.19","2","4","7","7"
"2012","no degree/no degree yet","Male","4.35","4","160","4.06","4.64","2","3","6","7"
"2012","Other degree","Female","5.42","6","370","5.26","5.58","3","5","7","7"
"2012","Other degree","Male","4.81","5","309","4.62","5","2","4","6","7"
"2012","secondary school degree","Female","5.05","5","1578","4.97","5.13","3","4","6","7"
"2012","secondary school degree","Male","4.34","4","810","4.23","4.45","2","3","6","6"
"2013","college entrance qualification","Female","4.12","4","2665","4.06","4.18","2","3","5","6"
"2013","college entrance qualification","Male","3.61","3","2724","3.55","3.67","2","2","5","6"
"2013","lower secondary degree","Female","4.75","5","2989","4.69","4.81","2","4","6","7"
"2013","lower secondary degree","Male","4.15","4","2836","4.09","4.21","2","3","5","6"
"2013","no degree/no degree yet","Female","4.81","5","253","4.59","5.03","2","4","6","7"
"2013","no degree/no degree yet","Male","3.71","4","231","3.49","3.93","1","2","5","6"
"2013","Other degree","Female","4.94","5","583","4.8","5.08","2","4","6","7"
"2013","Other degree","Male","4.37","4","434","4.21","4.53","2","3","6","7"
"2013","secondary school degree","Female","4.51","5","3270","4.45","4.57","2","3","6","7"
"2013","secondary school degree","Male","3.93","4","2359","3.86","4","2","3","5","6"
"2014","college entrance qualification","Female","","","","","","","","",""
"2014","college entrance qualification","Male","","","","","","","","",""
"2014","lower secondary degree","Female","","","","","","","","",""
"2014","lower secondary degree","Male","","","","","","","","",""
"2014","no degree/no degree yet","Female","","","","","","","","",""
"2014","no degree/no degree yet","Male","","","","","","","","",""
"2014","Other degree","Female","","","","","","","","",""
"2014","Other degree","Male","","","","","","","","",""
"2014","secondary school degree","Female","","","","","","","","",""
"2014","secondary school degree","Male","","","","","","","","",""
"2015","college entrance qualification","Female","","","","","","","","",""
"2015","college entrance qualification","Male","","","","","","","","",""
"2015","lower secondary degree","Female","","","","","","","","",""
"2015","lower secondary degree","Male","","","","","","","","",""
"2015","no degree/no degree yet","Female","","","","","","","","",""
"2015","no degree/no degree yet","Male","","","","","","","","",""
"2015","Other degree","Female","","","","","","","","",""
"2015","Other degree","Male","","","","","","","","",""
"2015","secondary school degree","Female","","","","","","","","",""
"2015","secondary school degree","Male","","","","","","","","",""
"2016","college entrance qualification","Female","","","","","","","","",""
"2016","college entrance qualification","Male","","","","","","","","",""
"2016","lower secondary degree","Female","","","","","","","","",""
"2016","lower secondary degree","Male","","","","","","","","",""
"2016","no degree/no degree yet","Female","","","","","","","","",""
"2016","no degree/no degree yet","Male","","","","","","","","",""
"2016","Other degree","Female","","","","","","","","",""
"2016","Other degree","Male","","","","","","","","",""
"2016","secondary school degree","Female","","","","","","","","",""
"2016","secondary school degree","Male","","","","","","","","",""
"2017","college entrance qualification","Female","4.35","4","4128","4.3","4.4","2","3","6","6"
"2017","college entrance qualification","Male","3.77","4","3821","3.72","3.82","2","2","5","6"
"2017","lower secondary degree","Female","4.79","5","3035","4.73","4.85","2","4","6","7"
"2017","lower secondary degree","Male","4.19","4","3067","4.13","4.25","2","3","6","6"
"2017","no degree/no degree yet","Female","5.39","6","882","5.27","5.51","3","4","7","7"
"2017","no degree/no degree yet","Male","4.34","4","975","4.22","4.46","2","3","6","7"
"2017","Other degree","Female","4.88","5","2218","4.81","4.95","2","4","6","7"
"2017","Other degree","Male","4.41","5","2346","4.33","4.49","2","3","6","7"
"2017","secondary school degree","Female","4.72","5","4476","4.67","4.77","2","4","6","7"
"2017","secondary school degree","Male","4.08","4","3134","4.02","4.14","2","3","5","6"
"2018","college entrance qualification","Female","","","","","","","","",""
"2018","college entrance qualification","Male","","","","","","","","",""
"2018","lower secondary degree","Female","","","","","","","","",""
"2018","lower secondary degree","Male","","","","","","","","",""
"2018","no degree/no degree yet","Female","","","","","","","","",""
"2018","no degree/no degree yet","Male","","","","","","","","",""
"2018","Other degree","Female","","","","","","","","",""
"2018","Other degree","Male","","","","","","","","",""
"2018","secondary school degree","Female","","","","","","","","",""
"2018","secondary school degree","Male","","","","","","","","",""
"2019","college entrance qualification","Female","3.93","4","4268","3.88","3.98","2","2","5","6"
"2019","college entrance qualification","Male","3.38","3","4269","3.33","3.43","1","2","5","6"
"2019","lower secondary degree","Female","4.45","5","2563","4.38","4.52","2","3","6","7"
"2019","lower secondary degree","Male","3.81","4","2736","3.74","3.88","1","2","5","6"
"2019","no degree/no degree yet","Female","4.99","5","406","4.81","5.17","2","4","7","7"
"2019","no degree/no degree yet","Male","4.03","4","373","3.84","4.22","1","2","6","7"
"2019","Other degree","Female","4.58","5","1396","4.49","4.67","2","3","6","7"
"2019","Other degree","Male","4.01","4","1154","3.91","4.11","2","2","5","6"
"2019","secondary school degree","Female","4.29","4","4237","4.24","4.34","2","3","6","7"
"2019","secondary school degree","Male","3.62","4","3182","3.56","3.68","2","2","5","6"
