"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","4.39","4","5188","2","3","6","7","4.35","4.43","4","4"
"2005","lower secondary degree","4.94","5","7082","2","4","6","7","4.9","4.98","5","5"
"2005","no degree/no degree yet","4.43","5","901","2","3","6","7","4.31","4.55","4","5"
"2005","Other degree","5.07","5","1116","3","4","6","7","4.97","5.17","5","5"
"2005","secondary school degree","4.8","5","6013","2","4","6","7","4.76","4.84","5","5"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","4.07","4","4881","2","3","5","6","4.02","4.12","4","4"
"2009","lower secondary degree","4.54","5","5926","2","3","6","7","4.5","4.58","5","5"
"2009","no degree/no degree yet","4.35","4","485","2","3","6","7","4.19","4.51","4","4"
"2009","Other degree","4.66","5","803","2","4","6","7","4.55","4.77","5","5"
"2009","secondary school degree","4.42","4","5406","2","3","6","7","4.38","4.46","4","4"
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","4.3","4","2148","2","3","6","6","4.23","4.37","4","5"
"2012","lower secondary degree","5.05","5","1409","3","4","6","7","4.96","5.14","5","5"
"2012","no degree/no degree yet","4.65","5","352","2","3","6","7","4.46","4.84","5","5"
"2012","Other degree","5.13","5","679","3","4","7","7","5.01","5.25","5","6"
"2012","secondary school degree","4.79","5","2388","2","4","6","7","4.72","4.86","5","5"
"2013","college entrance qualification","3.85","4","5389","2","3","5","6","3.81","3.89","4","4"
"2013","lower secondary degree","4.46","5","5825","2","3","6","7","4.42","4.5","5","5"
"2013","no degree/no degree yet","4.29","4","484","2","3","6","7","4.13","4.45","4","5"
"2013","Other degree","4.67","5","1017","2","4","6","7","4.56","4.78","5","5"
"2013","secondary school degree","4.24","4","5629","2","3","6","7","4.2","4.28","4","4"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","4.05","4","7949","2","3","5","6","4.01","4.09","4","4"
"2017","lower secondary degree","4.49","5","6102","2","3","6","7","4.45","4.53","5","5"
"2017","no degree/no degree yet","4.89","5","1857","2","4","6","7","4.8","4.98","5","5"
"2017","Other degree","4.65","5","4564","2","3","6","7","4.6","4.7","5","5"
"2017","secondary school degree","4.43","5","7610","2","3","6","7","4.39","4.47","4","5"
"2018","college entrance qualification","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","",""
"2019","college entrance qualification","3.65","4","8543","2","2","5","6","3.61","3.69","4","4"
"2019","lower secondary degree","4.12","4","5300","2","3","6","7","4.07","4.17","4","4"
"2019","no degree/no degree yet","4.55","5","779","2","3","6","7","4.42","4.68","4","5"
"2019","Other degree","4.31","4","2550","2","3","6","7","4.24","4.38","4","5"
"2019","secondary school degree","3.99","4","7420","2","3","5","6","3.95","4.03","4","4"
