"ple0008","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","Urban Area","975","0.276825986477362","0.261555685418558","0.292096287536165"
"Very good","1992","16-34 y.","Rural Area","474","0.277588732262884","0.255869314892141","0.299308149633627"
"Very good","1992","35-65 y.","Urban Area","421","0.0962456729250229","0.0876798837849041","0.104811462065142"
"Very good","1992","35-65 y.","Rural Area","197","0.0819182617899207","0.0706886023653537","0.0931479212144877"
"Very good","1992","66 and older","Urban Area","21","","",""
"Very good","1992","66 and older","Rural Area","11","","",""
"Good","1992","16-34 y.","Urban Area","1644","0.502127945235227","0.485063631132755","0.519192259337698"
"Good","1992","16-34 y.","Rural Area","813","0.503677098572906","0.479427013951091","0.52792718319472"
"Good","1992","35-65 y.","Urban Area","1797","0.38555909916059","0.371422754835365","0.399695443485815"
"Good","1992","35-65 y.","Rural Area","968","0.399769694470727","0.379711148870887","0.419828240070568"
"Good","1992","66 and older","Urban Area","192","0.196936073372966","0.171831822268414","0.222040324477518"
"Good","1992","66 and older","Rural Area","80","0.149967749270643","0.118827718278435","0.181107780262852"
"Satisfactory","1992","16-34 y.","Urban Area","523","0.175648120375376","0.162661359768221","0.188634880982531"
"Satisfactory","1992","16-34 y.","Rural Area","270","0.167118254124976","0.149023252954323","0.185213255295628"
"Satisfactory","1992","35-65 y.","Urban Area","1497","0.337975054477126","0.324236815130274","0.351713293823979"
"Satisfactory","1992","35-65 y.","Rural Area","798","0.366257656976693","0.346529556760842","0.385985757192545"
"Satisfactory","1992","66 and older","Urban Area","419","0.412522530497686","0.381446251028996","0.443598809966375"
"Satisfactory","1992","66 and older","Rural Area","214","0.401106991095249","0.358359843621154","0.443854138569345"
"Less good","1992","16-34 y.","Urban Area","128","0.0374482292428086","0.0309685955146047","0.0439278629710124"
"Less good","1992","16-34 y.","Rural Area","59","0.0383937297322582","0.0290744189777559","0.0477130404867606"
"Less good","1992","35-65 y.","Urban Area","662","0.139855604927677","0.129782178989336","0.149929030866019"
"Less good","1992","35-65 y.","Rural Area","236","0.106344780389603","0.0937213138287874","0.11896824695042"
"Less good","1992","66 and older","Urban Area","214","0.240356095230932","0.213382292763095","0.267329897698769"
"Less good","1992","66 and older","Rural Area","135","0.290429682940973","0.25083648125784","0.330022884624105"
"Poor","1992","16-34 y.","Urban Area","28","","",""
"Poor","1992","16-34 y.","Rural Area","17","","",""
"Poor","1992","35-65 y.","Urban Area","177","0.0403645685095836","0.0346484019844643","0.0460807350347028"
"Poor","1992","35-65 y.","Rural Area","92","0.0457096063730557","0.0371573726109751","0.0542618401351363"
"Poor","1992","66 and older","Urban Area","118","0.132574487258258","0.111167495203541","0.153981479312975"
"Poor","1992","66 and older","Rural Area","65","0.131440286078569","0.1019712119867","0.160909360170439"
"Very good","1993","16-34 y.","Urban Area","","","",""
"Very good","1993","16-34 y.","Rural Area","","","",""
"Very good","1993","35-65 y.","Urban Area","","","",""
"Very good","1993","35-65 y.","Rural Area","","","",""
"Very good","1993","66 and older","Urban Area","","","",""
"Very good","1993","66 and older","Rural Area","","","",""
"Good","1993","16-34 y.","Urban Area","","","",""
"Good","1993","16-34 y.","Rural Area","","","",""
"Good","1993","35-65 y.","Urban Area","","","",""
"Good","1993","35-65 y.","Rural Area","","","",""
"Good","1993","66 and older","Urban Area","","","",""
"Good","1993","66 and older","Rural Area","","","",""
"Satisfactory","1993","16-34 y.","Urban Area","","","",""
"Satisfactory","1993","16-34 y.","Rural Area","","","",""
"Satisfactory","1993","35-65 y.","Urban Area","","","",""
"Satisfactory","1993","35-65 y.","Rural Area","","","",""
"Satisfactory","1993","66 and older","Urban Area","","","",""
"Satisfactory","1993","66 and older","Rural Area","","","",""
"Less good","1993","16-34 y.","Urban Area","","","",""
"Less good","1993","16-34 y.","Rural Area","","","",""
"Less good","1993","35-65 y.","Urban Area","","","",""
"Less good","1993","35-65 y.","Rural Area","","","",""
"Less good","1993","66 and older","Urban Area","","","",""
"Less good","1993","66 and older","Rural Area","","","",""
"Poor","1993","16-34 y.","Urban Area","","","",""
"Poor","1993","16-34 y.","Rural Area","","","",""
"Poor","1993","35-65 y.","Urban Area","","","",""
"Poor","1993","35-65 y.","Rural Area","","","",""
"Poor","1993","66 and older","Urban Area","","","",""
"Poor","1993","66 and older","Rural Area","","","",""
"Very good","1994","16-34 y.","Urban Area","647","0.178595645621764","0.165431679498939","0.191759611744589"
"Very good","1994","16-34 y.","Rural Area","315","0.213261764190523","0.192935506861907","0.233588021519138"
"Very good","1994","35-65 y.","Urban Area","250","0.05586481907446","0.0490408061908102","0.0626888319581099"
"Very good","1994","35-65 y.","Rural Area","109","0.0432335992130251","0.0348130422780134","0.0516541561480369"
"Very good","1994","66 and older","Urban Area","16","","",""
"Very good","1994","66 and older","Rural Area","7","","",""
"Good","1994","16-34 y.","Urban Area","1690","0.52167011055594","0.504501523323439","0.538838697788442"
"Good","1994","16-34 y.","Rural Area","796","0.496169053030036","0.47135812275508","0.520979983304993"
"Good","1994","35-65 y.","Urban Area","1592","0.36476816058691","0.350465127611254","0.379071193562566"
"Good","1994","35-65 y.","Rural Area","873","0.371087927992292","0.351086521255137","0.391089334729446"
"Good","1994","66 and older","Urban Area","187","0.174824695817353","0.151330762258702","0.198318629376003"
"Good","1994","66 and older","Rural Area","97","0.171602514186262","0.138880184776394","0.204324843596131"
"Satisfactory","1994","16-34 y.","Urban Area","655","0.214225598146441","0.200124353642282","0.228326842650599"
"Satisfactory","1994","16-34 y.","Rural Area","351","0.227015993282576","0.206228636353387","0.247803350211765"
"Satisfactory","1994","35-65 y.","Urban Area","1573","0.366337001976391","0.352020954936903","0.380653049015878"
"Satisfactory","1994","35-65 y.","Rural Area","876","0.408352311246843","0.388001756241523","0.428702866252162"
"Satisfactory","1994","66 and older","Urban Area","419","0.411560846390894","0.381120538450612","0.442001154331175"
"Satisfactory","1994","66 and older","Rural Area","219","0.408748601727719","0.366083063034231","0.451414140421208"
"Less good","1994","16-34 y.","Urban Area","225","0.0756558795311261","0.0665669862027152","0.0847447728595369"
"Less good","1994","16-34 y.","Rural Area","87","0.0579334691621284","0.0463405889862489","0.0695263493380079"
"Less good","1994","35-65 y.","Urban Area","768","0.174295388930111","0.163023184583831","0.18556759327639"
"Less good","1994","35-65 y.","Rural Area","301","0.135854889067754","0.121668948454251","0.150040829681257"
"Less good","1994","66 and older","Urban Area","265","0.266052888260275","0.238719239683422","0.293386536837129"
"Less good","1994","66 and older","Rural Area","122","0.27554931225907","0.236772948288187","0.314325676229953"
"Poor","1994","16-34 y.","Urban Area","35","0.00985276614472895","0.00645806302660058","0.0132474692628573"
"Poor","1994","16-34 y.","Rural Area","11","","",""
"Poor","1994","35-65 y.","Urban Area","168","0.038734629432129","0.0330010623149912","0.0444681965492667"
"Poor","1994","35-65 y.","Rural Area","82","0.0414712724800868","0.0332165322664656","0.0497260126937079"
"Poor","1994","66 and older","Urban Area","117","0.129841843763098","0.109050255357157","0.150633432169038"
"Poor","1994","66 and older","Rural Area","65","0.130606113478865","0.101361017769759","0.159851209187971"
"Very good","1995","16-34 y.","Urban Area","633","0.172879822337263","0.160026697438013","0.185732947236513"
"Very good","1995","16-34 y.","Rural Area","284","0.173026704161319","0.154612248131009","0.191441160191629"
"Very good","1995","35-65 y.","Urban Area","240","0.0485589902122354","0.0422739850517407","0.0548439953727301"
"Very good","1995","35-65 y.","Rural Area","119","0.0475144849643317","0.0389004992004574","0.056128470728206"
"Very good","1995","66 and older","Urban Area","26","","",""
"Very good","1995","66 and older","Rural Area","10","","",""
"Good","1995","16-34 y.","Urban Area","1738","0.529606707362905","0.512641484668239","0.546571930057571"
"Good","1995","16-34 y.","Rural Area","877","0.543875366351268","0.519628923015128","0.568121809687409"
"Good","1995","35-65 y.","Urban Area","1708","0.379269318875802","0.365081836221318","0.393456801530287"
"Good","1995","35-65 y.","Rural Area","868","0.353466860233897","0.334110143566179","0.372823576901614"
"Good","1995","66 and older","Urban Area","186","0.166152566353117","0.14357408816197","0.188731044544264"
"Good","1995","66 and older","Rural Area","106","0.202608392006949","0.167482396313927","0.237734387699971"
"Satisfactory","1995","16-34 y.","Urban Area","714","0.226635952669926","0.212405829527548","0.240866075812303"
"Satisfactory","1995","16-34 y.","Rural Area","356","0.212064982348314","0.192165752659969","0.23196421203666"
"Satisfactory","1995","35-65 y.","Urban Area","1621","0.375301302229008","0.361143194331868","0.389459410126149"
"Satisfactory","1995","35-65 y.","Rural Area","922","0.395651873198865","0.375852011807568","0.415451734590162"
"Satisfactory","1995","66 and older","Urban Area","417","0.394359897001801","0.364714892115555","0.424004901888046"
"Satisfactory","1995","66 and older","Rural Area","216","0.42418045688384","0.380990514313832","0.467370399453849"
"Less good","1995","16-34 y.","Urban Area","201","0.0598081649342138","0.0517480591345408","0.0678682707338868"
"Less good","1995","16-34 y.","Rural Area","94","0.0660238010131052","0.0539352360221887","0.0781123660040217"
"Less good","1995","35-65 y.","Urban Area","744","0.157679238877443","0.147022952291191","0.168335525463694"
"Less good","1995","35-65 y.","Rural Area","359","0.171056330218109","0.155808992078937","0.186303668357281"
"Less good","1995","66 and older","Urban Area","290","0.284964377568101","0.257582894462605","0.312345860673597"
"Less good","1995","66 and older","Rural Area","115","0.236976522125647","0.199815666089805","0.274137378161489"
"Poor","1995","16-34 y.","Urban Area","39","0.0110693526956926","0.00751306983369824","0.014625635557687"
"Poor","1995","16-34 y.","Rural Area","10","","",""
"Poor","1995","35-65 y.","Urban Area","180","0.0391911498055112","0.0335171099543921","0.0448651896566304"
"Poor","1995","35-65 y.","Rural Area","75","0.0323104513847975","0.0251506415984238","0.0394702611711712"
"Poor","1995","66 and older","Urban Area","125","0.128851918139131","0.108528849776189","0.149174986502073"
"Poor","1995","66 and older","Rural Area","56","0.109646041011919","0.0823410572134786","0.136951024810358"
"Very good","1996","16-34 y.","Urban Area","622","0.177031748275341","0.163819295384104","0.190244201166579"
"Very good","1996","16-34 y.","Rural Area","255","0.155047931398104","0.137121194809013","0.172974667987195"
"Very good","1996","35-65 y.","Urban Area","259","0.0585061090849949","0.0515689888841842","0.0654432292858056"
"Very good","1996","35-65 y.","Rural Area","123","0.0548177635517171","0.0456225187900602","0.064013008313374"
"Very good","1996","66 and older","Urban Area","24","","",""
"Very good","1996","66 and older","Rural Area","9","","",""
"Good","1996","16-34 y.","Urban Area","1667","0.530588803195874","0.513313642545429","0.547863963846319"
"Good","1996","16-34 y.","Rural Area","857","0.559456291490767","0.534867918361379","0.584044664620155"
"Good","1996","35-65 y.","Urban Area","1606","0.360082415758603","0.345894034919019","0.374270796598187"
"Good","1996","35-65 y.","Rural Area","862","0.354639237906379","0.335313346598149","0.373965129214608"
"Good","1996","66 and older","Urban Area","179","0.157206390222616","0.135365939529584","0.179046840915649"
"Good","1996","66 and older","Rural Area","89","0.176444136989003","0.143229999413327","0.209658274564679"
"Satisfactory","1996","16-34 y.","Urban Area","694","0.219819659368749","0.20548467913109","0.234154639606407"
"Satisfactory","1996","16-34 y.","Rural Area","357","0.228643805758277","0.207843993355015","0.249443618161538"
"Satisfactory","1996","35-65 y.","Urban Area","1662","0.385757840798207","0.371369952747433","0.40014572884898"
