"ple0008","year","education","n","percent","lower_confidence","upper_confidence"
"Very good","1992","lower secondary degree","684","0.0948368233236087","0.0873365494485572","0.10233709719866"
"Very good","1992","secondary school degree","703","0.16516747912942","0.153057701460474","0.177277256798366"
"Very good","1992","college entrance qualification","382","0.197257520437389","0.178576340435297","0.215938700439482"
"Very good","1992","Other degree","123","0.133644439000463","0.112680090787486","0.15460878721344"
"Very good","1992","no degree/no degree yet","160","0.241136513502499","0.212563250915272","0.269709776089726"
"Good","1992","lower secondary degree","2097","0.327009857819517","0.315000771740558","0.339018943898476"
"Good","1992","secondary school degree","1804","0.466005399339075","0.449737250864743","0.482273547813407"
"Good","1992","college entrance qualification","843","0.475735997592484","0.452290609605339","0.499181385579629"
"Good","1992","Other degree","405","0.383675274181471","0.353715086029792","0.41363546233315"
"Good","1992","no degree/no degree yet","291","0.348942181738174","0.317105116260668","0.38077924721568"
"Satisfactory","1992","lower secondary degree","1997","0.357459769107434","0.34519134073376","0.369728197481108"
"Satisfactory","1992","secondary school degree","818","0.262568420446421","0.248218274043088","0.276918566849753"
"Satisfactory","1992","college entrance qualification","370","0.22175261856472","0.202250014230117","0.241255222899323"
"Satisfactory","1992","Other degree","282","0.276109835229301","0.248565321407697","0.303654349050905"
"Satisfactory","1992","no degree/no degree yet","218","0.210383391537933","0.183158862312368","0.237607920763498"
"Less good","1992","lower secondary degree","792","0.156232043803377","0.146937635328611","0.165526452278143"
"Less good","1992","secondary school degree","224","0.0823279114627458","0.0733641244127858","0.0912916985127059"
"Less good","1992","college entrance qualification","113","0.0759926848990465","0.0635526099587208","0.0884327598393722"
"Less good","1992","Other degree","145","0.141039969906788","0.119595495037195","0.16248444477638"
"Less good","1992","no degree/no degree yet","144","0.140036442058484","0.116856781429224","0.163216102687744"
"Poor","1992","lower secondary degree","292","0.0644615059460634","0.0581750447591624","0.0707479671329644"
"Poor","1992","secondary school degree","63","0.023930789622338","0.0189466173900398","0.0289149618546363"
"Poor","1992","college entrance qualification","35","0.0292611785063607","0.0213489922297388","0.0371733647829826"
"Poor","1992","Other degree","57","0.0655304816819782","0.0502842651074217","0.0807766982565347"
"Poor","1992","no degree/no degree yet","48","0.0595014711629101","0.0437002945455395","0.0753026477802807"
"Very good","1993","lower secondary degree","","","",""
"Very good","1993","secondary school degree","","","",""
"Very good","1993","college entrance qualification","","","",""
"Very good","1993","Other degree","","","",""
"Very good","1993","no degree/no degree yet","","","",""
"Good","1993","lower secondary degree","","","",""
"Good","1993","secondary school degree","","","",""
"Good","1993","college entrance qualification","","","",""
"Good","1993","Other degree","","","",""
"Good","1993","no degree/no degree yet","","","",""
"Satisfactory","1993","lower secondary degree","","","",""
"Satisfactory","1993","secondary school degree","","","",""
"Satisfactory","1993","college entrance qualification","","","",""
"Satisfactory","1993","Other degree","","","",""
"Satisfactory","1993","no degree/no degree yet","","","",""
"Less good","1993","lower secondary degree","","","",""
"Less good","1993","secondary school degree","","","",""
"Less good","1993","college entrance qualification","","","",""
"Less good","1993","Other degree","","","",""
"Less good","1993","no degree/no degree yet","","","",""
"Poor","1993","lower secondary degree","","","",""
"Poor","1993","secondary school degree","","","",""
"Poor","1993","college entrance qualification","","","",""
"Poor","1993","Other degree","","","",""
"Poor","1993","no degree/no degree yet","","","",""
"Very good","1994","lower secondary degree","418","0.0592363491964001","0.053007167400555","0.0654655309922452"
"Very good","1994","secondary school degree","423","0.103930706821745","0.0938450393590783","0.114016374284412"
"Very good","1994","college entrance qualification","230","0.112438241875994","0.0979248570442886","0.1269516267077"
"Very good","1994","Other degree","87","0.112494288556339","0.0918625174708497","0.133126059641828"
"Very good","1994","no degree/no degree yet","129","0.181450820796052","0.15524791615504","0.207653725437063"
"Good","1994","lower secondary degree","1884","0.309697033623616","0.297496326792706","0.321897740454525"
"Good","1994","secondary school degree","1612","0.43033989174431","0.413976413853122","0.446703369635498"
"Good","1994","college entrance qualification","911","0.483949545842862","0.460990252197125","0.5069088394886"
"Good","1994","Other degree","360","0.352807688795631","0.321606482088057","0.384008895503205"
