"ple0008","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","no migration background","East Germany","1749","0.420762908208065","0.405121863183583","0.436403953232548","2"
"Good","1992","no migration background","West Germany","2620","0.378553786885053","0.366820238317591","0.390287335452516","2"
"Good","1992","direct migration background","West Germany","956","0.383146110591787","0.363776817431947","0.402515403751628","2"
"Good","1992","direct migration background","East Germany","52","0.368882578587997","0.290347578827406","0.447417578348589","2"
"Good","1992","indirect migration background","West Germany","161","0.395800434383879","0.347756906277613","0.443843962490146","2"
"Good","1992","indirect migration background","East Germany","6","","","","2"
"Less good","1992","no migration background","East Germany","321","0.102889855093133","0.0932642504076579","0.112515459778607","4"
"Less good","1992","no migration background","West Germany","739","0.126942479291199","0.118888904024898","0.1349960545575","4"
"Less good","1992","direct migration background","West Germany","343","0.146061465345527","0.131990576229687","0.160132354461366","4"
"Less good","1992","direct migration background","East Germany","15","","","","4"
"Less good","1992","indirect migration background","West Germany","22","","","","4"
"Less good","1992","indirect migration background","East Germany","1","","","","4"
"Poor","1992","no migration background","West Germany","277","0.0519742935438001","0.0466043692971858","0.0573442177904144","5"
"Poor","1992","no migration background","East Germany","102","0.0363437898875392","0.0304146045129237","0.0422729752621547","5"
"Poor","1992","direct migration background","West Germany","109","0.0461764848853508","0.0378149721512357","0.054537997619466","5"
"Poor","1992","direct migration background","East Germany","8","","","","5"
"Poor","1992","indirect migration background","West Germany","5","","","","5"
"Poor","1992","indirect migration background","East Germany","","","","","5"
"Satisfactory","1992","no migration background","East Germany","1048","0.293570511440644","0.27914240011912","0.307998622762168","3"
"Satisfactory","1992","no migration background","West Germany","1961","0.313019383339545","0.301801222501007","0.324237544178083","3"
"Satisfactory","1992","direct migration background","West Germany","638","0.272996906619028","0.255247354434713","0.290746458803343","3"
"Satisfactory","1992","direct migration background","East Germany","55","0.345319921790668","0.267929097982278","0.422710745599058","3"
"Satisfactory","1992","indirect migration background","East Germany","","","","","3"
"Satisfactory","1992","indirect migration background","West Germany","43","0.12718228830298","0.0944496020588076","0.159914974547152","3"
"Very good","1992","no migration background","West Germany","967","0.129510056940403","0.121387412722832","0.137632701157974","1"
"Very good","1992","no migration background","East Germany","607","0.146432935370619","0.135231928370214","0.157633942371024","1"
"Very good","1992","direct migration background","West Germany","374","0.151619032558307","0.137329674225506","0.165908390891108","1"
"Very good","1992","direct migration background","East Germany","15","","","","1"
"Very good","1992","indirect migration background","West Germany","167","0.365735688674636","0.318417799454593","0.41305357789468","1"
"Very good","1992","indirect migration background","East Germany","3","","","","1"
"Good","1993","direct migration background","West Germany","","","","","2"
"Good","1993","no migration background","West Germany","","","","","2"
"Good","1993","no migration background","East Germany","","","","","2"
"Good","1993","direct migration background","East Germany","","","","","2"
"Good","1993","indirect migration background","West Germany","","","","","2"
"Good","1993","indirect migration background","East Germany","","","","","2"
"Less good","1993","no migration background","East Germany","","","","","4"
"Less good","1993","no migration background","West Germany","","","","","4"
"Less good","1993","direct migration background","West Germany","","","","","4"
"Less good","1993","direct migration background","East Germany","","","","","4"
"Less good","1993","indirect migration background","East Germany","","","","","4"
"Less good","1993","indirect migration background","West Germany","","","","","4"
"Poor","1993","no migration background","West Germany","","","","","5"
"Poor","1993","no migration background","East Germany","","","","","5"
"Poor","1993","direct migration background","West Germany","","","","","5"
"Poor","1993","direct migration background","East Germany","","","","","5"
"Poor","1993","indirect migration background","West Germany","","","","","5"
"Poor","1993","indirect migration background","East Germany","","","","","5"
"Satisfactory","1993","no migration background","East Germany","","","","","3"
"Satisfactory","1993","no migration background","West Germany","","","","","3"
"Satisfactory","1993","direct migration background","West Germany","","","","","3"
"Satisfactory","1993","direct migration background","East Germany","","","","","3"
