"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","16-34 y.","(Married) couple without C.","4.09","5","1022","2","3","5","5","5","4.02","4.16","1","5","5","5"
"2003","16-34 y.","1-pers.-HH","4.04","5","673","2","3","5","5","5","3.94","4.14","1","5","5","5"
"2003","16-34 y.","Couple + C. GT 16 ","4.14","5","1459","2","4","5","5","5","4.08","4.2","1","5","5","5"
"2003","16-34 y.","Couple + C. LE 16","3.99","4","1382","2","3","5","5","5","3.92","4.06","1","5","5","5"
"2003","16-34 y.","Couple + C. LE and GT 16","4.05","5","675","2","3","5","5","5","3.96","4.14","1","5","4","5"
"2003","16-34 y.","Single parent","4.05","5","468","2","3","5","5","5","3.94","4.16","1","5","4","5"
"2003","35-65 y.","(Married) couple without C.","4.33","5","4045","2","4","5","5","5","4.3","4.36","1","5","5","5"
"2003","35-65 y.","1-pers.-HH","4.32","5","1244","3","4","5","5","5","4.26","4.38","1","5","5","5"
"2003","35-65 y.","Couple + C. GT 16 ","4.13","5","2302","2","3","5","5","5","4.08","4.18","1","5","5","5"
"2003","35-65 y.","Couple + C. LE 16","4.01","5","2980","2","3","5","5","5","3.97","4.05","1","5","4","5"
"2003","35-65 y.","Couple + C. LE and GT 16","3.97","4","1156","2","3","5","5","5","3.9","4.04","1","5","4","5"
"2003","35-65 y.","Single parent","4.04","5","571","2","3","5","5","5","3.93","4.15","1","5","5","5"
"2003","66 and older","(Married) couple without C.","4.44","5","2212","3","4","5","5","5","4.4","4.48","1","5","5","5"
"2003","66 and older","1-pers.-HH","4.43","5","1064","3","4","5","5","5","4.37","4.49","1","5","5","5"
"2003","66 and older","Couple + C. GT 16 ","4.31","5","178","3","4","5","5","5","4.15","4.47","1","5","5","5"
"2003","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","66 and older","Single parent","4.51","5","73","3","4","5","5","5","4.32","4.7","2","5","5","5"
"2004","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2004","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2004","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2004","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2004","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2004","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
