"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","direct migration background","Female","4.26","5","1354","2","4","5","5","5","4.2","4.32","1","5","5","5"
"2003","direct migration background","Male","4.27","5","1263","2","4","5","5","5","4.21","4.33","1","5","5","5"
"2003","indirect migration background","Female","4.14","5","408","2","4","5","5","5","4.02","4.26","1","5","5","5"
"2003","indirect migration background","Male","4.12","5","372","2","4","5","5","5","4","4.24","1","5","5","5"
"2003","no migration background","Female","4.21","5","9725","2","4","5","5","5","4.19","4.23","1","5","5","5"
"2003","no migration background","Male","4.19","5","9023","2","4","5","5","5","4.17","4.21","1","5","5","5"
"2004","direct migration background","Female","","","","","","","","","","","","","",""
"2004","direct migration background","Male","","","","","","","","","","","","","",""
"2004","indirect migration background","Female","","","","","","","","","","","","","",""
"2004","indirect migration background","Male","","","","","","","","","","","","","",""
"2004","no migration background","Female","","","","","","","","","","","","","",""
"2004","no migration background","Male","","","","","","","","","","","","","",""
"2005","direct migration background","Female","","","","","","","","","","","","","",""
"2005","direct migration background","Male","","","","","","","","","","","","","",""
"2005","indirect migration background","Female","","","","","","","","","","","","","",""
"2005","indirect migration background","Male","","","","","","","","","","","","","",""
"2005","no migration background","Female","","","","","","","","","","","","","",""
"2005","no migration background","Male","","","","","","","","","","","","","",""
"2006","direct migration background","Female","","","","","","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","","","","","","",""
"2008","direct migration background","Female","4.19","5","1016","2","4","5","5","5","4.12","4.26","1","5","5","5"
"2008","direct migration background","Male","4.25","5","879","2","4","5","5","5","4.17","4.33","1","5","5","5"
"2008","indirect migration background","Female","4.09","5","398","2","3","5","5","5","3.96","4.22","1","5","5","5"
"2008","indirect migration background","Male","4.07","5","372","2","3","5","5","5","3.94","4.2","1","5","5","5"
"2008","no migration background","Female","4.15","5","8692","2","4","5","5","5","4.12","4.18","1","5","5","5"
"2008","no migration background","Male","4.13","5","7945","2","4","5","5","5","4.1","4.16","1","5","5","5"
"2009","direct migration background","Female","","","","","","","","","","","","","",""
"2009","direct migration background","Male","","","","","","","","","","","","","",""
"2009","indirect migration background","Female","","","","","","","","","","","","","",""
"2009","indirect migration background","Male","","","","","","","","","","","","","",""
"2009","no migration background","Female","","","","","","","","","","","","","",""
"2009","no migration background","Male","","","","","","","","","","","","","",""
"2010","direct migration background","Female","","","","","","","","","","","","","",""
"2010","direct migration background","Male","","","","","","","","","","","","","",""
