"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","college entrance qualification","East Germany","4.22","5","1121","2","4","5","5","5","4.15","4.29","1","5","5","5"
"2003","college entrance qualification","West Germany","3.98","5","4304","2","3","5","5","5","3.94","4.02","1","5","4","5"
"2003","lower secondary degree","East Germany","4.42","5","1545","3","4","5","5","5","4.37","4.47","1","5","5","5"
"2003","lower secondary degree","West Germany","4.3","5","6339","2","4","5","5","5","4.27","4.33","1","5","5","5"
"2003","no degree/no degree yet","East Germany","4.21","5","181","2","4","5","5","5","4.04","4.38","1","5","5","5"
"2003","no degree/no degree yet","West Germany","4.15","5","704","2","4","5","5","5","4.06","4.24","1","5","5","5"
"2003","Other degree","East Germany","4.6","5","46","3","5","5","5","5","4.27","4.93","1","5","5","5"
"2003","Other degree","West Germany","4.35","5","1196","2","4","5","5","5","4.29","4.41","1","5","5","5"
"2003","secondary school degree","East Germany","4.21","5","2390","2","4","5","5","5","4.17","4.25","1","5","5","5"
"2003","secondary school degree","West Germany","4.13","5","4048","2","4","5","5","5","4.09","4.17","1","5","5","5"
"2004","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"2004","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"2004","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"2004","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"2004","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"2004","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"2004","Other degree","East Germany","","","","","","","","","","","","","",""
"2004","Other degree","West Germany","","","","","","","","","","","","","",""
"2004","secondary school degree","East Germany","","","","","","","","","","","","","",""
"2004","secondary school degree","West Germany","","","","","","","","","","","","","",""
"2005","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"2005","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"2005","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"2005","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"2005","Other degree","East Germany","","","","","","","","","","","","","",""
"2005","Other degree","West Germany","","","","","","","","","","","","","",""
"2005","secondary school degree","East Germany","","","","","","","","","","","","","",""
"2005","secondary school degree","West Germany","","","","","","","","","","","","","",""
"2006","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"2006","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"2006","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"2006","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"2006","Other degree","East Germany","","","","","","","","","","","","","",""
"2006","Other degree","West Germany","","","","","","","","","","","","","",""
"2006","secondary school degree","East Germany","","","","","","","","","","","","","",""
"2006","secondary school degree","West Germany","","","","","","","","","","","","","",""
"2007","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"2007","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"2007","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"2007","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","West Germany","","","","","","","","","","","","","",""
"2007","Other degree","East Germany","","","","","","","","","","","","","",""
"2007","Other degree","West Germany","","","","","","","","","","","","","",""
"2007","secondary school degree","East Germany","","","","","","","","","","","","","",""
"2007","secondary school degree","West Germany","","","","","","","","","","","","","",""
"2008","college entrance qualification","East Germany","4.08","5","1119","2","3","5","5","5","4","4.16","1","5","4","5"
"2008","college entrance qualification","West Germany","4.03","5","4007","2","3","5","5","5","3.99","4.07","1","5","5","5"
"2008","lower secondary degree","East Germany","4.42","5","1273","3","4","5","5","5","4.36","4.48","1","5","5","5"
"2008","lower secondary degree","West Germany","4.2","5","5184","2","4","5","5","5","4.17","4.23","1","5","5","5"
"2008","no degree/no degree yet","East Germany","4","5","101","2","3","5","5","5","3.77","4.23","1","5","4","5"
"2008","no degree/no degree yet","West Germany","4.16","5","443","2","4","5","5","5","4.05","4.27","1","5","5","5"
"2008","Other degree","East Germany","4.24","5","52","3","3","5","5","5","3.9","4.58","1","5","5","5"
"2008","Other degree","West Germany","4.23","5","887","2","4","5","5","5","4.16","4.3","1","5","5","5"
"2008","secondary school degree","East Germany","4.24","5","2095","2","4","5","5","5","4.19","4.29","1","5","5","5"
"2008","secondary school degree","West Germany","4.06","5","3642","2","3","5","5","5","4.02","4.1","1","5","5","5"
"2009","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"2009","college entrance qualification","West Germany","","","","","","","","","","","","","",""
"2009","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"2009","lower secondary degree","West Germany","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
