"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","(0) in school","Female","3.97","5","312","2","3","5","5","5","3.83","4.11","1","5","4","5"
"2003","(0) in school","Male","4.06","5","298","2","3","5","5","5","3.92","4.2","1","5","5","5"
"2003","(1a) inadequately completed","Female","4.28","5","155","3","4","5","5","5","4.11","4.45","1","5","5","5"
"2003","(1a) inadequately completed","Male","4.43","5","118","3","4","5","5","5","4.22","4.64","1","5","5","5"
"2003","(1b) general elementary school","Female","4.43","5","1481","3","4","5","5","5","4.37","4.49","1","5","5","5"
"2003","(1b) general elementary school","Male","4.36","5","666","3","4","5","5","5","4.28","4.44","1","5","5","5"
"2003","(1c) basic vocational qualification","Female","4.32","5","2891","2","4","5","5","5","4.28","4.36","1","5","5","5"
"2003","(1c) basic vocational qualification","Male","4.28","5","3405","2","4","5","5","5","4.24","4.32","1","5","5","5"
"2003","(2a) intermediate vocational","Female","4.11","5","2940","2","3","5","5","5","4.07","4.15","1","5","5","5"
"2003","(2a) intermediate vocational","Male","4.21","5","2202","2","4","5","5","5","4.16","4.26","1","5","5","5"
"2003","(2b) intermediate general qualification","Female","4.1","5","366","2","4","5","5","5","3.97","4.23","1","5","5","5"
"2003","(2b) intermediate general qualification","Male","4.03","5","265","2","3","5","5","5","3.88","4.18","1","5","4","5"
"2003","(2c_gen) general maturity certificate","Female","4.11","5","452","2","3","5","5","5","3.99","4.23","1","5","5","5"
"2003","(2c_gen) general maturity certificate","Male","4","4","414","2","3","5","5","5","3.88","4.12","1","5","4","5"
"2003","(2c_voc) vocational maturity certificate","Female","4.03","5","865","2","3","5","5","5","3.94","4.12","1","5","5","5"
"2003","(2c_voc) vocational maturity certificate","Male","4.08","5","709","2","3","5","5","5","3.99","4.17","1","5","5","5"
"2003","(3a) lower tertiary education","Female","4.17","5","779","2","4","5","5","5","4.08","4.26","1","5","5","5"
"2003","(3a) lower tertiary education","Male","4.07","5","939","2","3","5","5","5","3.99","4.15","1","5","4","5"
"2003","(3b) higher tertiary education","Female","4","5","1114","2","3","5","5","5","3.92","4.08","1","5","4","5"
"2003","(3b) higher tertiary education","Male","4.12","5","1511","2","4","5","5","5","4.06","4.18","1","5","5","5"
"2004","(0) in school","Female","","","","","","","","","","","","","",""
"2004","(0) in school","Male","","","","","","","","","","","","","",""
"2004","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
