"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Full Time","general elemantary","4.31","5","642","3","4","5","5","5","4.22","4.4","1","5","5","5"
"2003","Full Time","higher education","4.04","5","2497","2","3","5","5","5","3.99","4.09","1","5","4","5"
"2003","Full Time","higher vocational","4.04","5","818","2","3","5","5","5","3.95","4.13","1","5","4","5"
"2003","Full Time","in school","","","","","","","","","","","","","",""
"2003","Full Time","inadequately","4.34","5","63","2","4","5","5","5","4.06","4.62","1","5","5","5"
"2003","Full Time","middle vocational","4.18","5","4244","2","4","5","5","5","4.15","4.21","1","5","5","5"
"2003","Full Time","vocational + Abi","4.02","5","548","2","3","5","5","5","3.92","4.12","1","5","4","5"
"2003","Not Working","general elemantary","4.42","5","1489","3","4","5","5","5","4.36","4.48","1","5","5","5"
"2003","Not Working","higher education","4.29","5","963","3","4","5","5","5","4.22","4.36","1","5","5","5"
"2003","Not Working","higher vocational","4.24","5","483","2","4","5","5","5","4.14","4.34","1","5","5","5"
"2003","Not Working","in school","4.02","5","494","2","3","5","5","5","3.91","4.13","1","5","4","5"
"2003","Not Working","inadequately","4.49","5","157","3","5","5","5","5","4.32","4.66","1","5","5","5"
"2003","Not Working","middle vocational","4.41","5","4170","3","4","5","5","5","4.38","4.44","1","5","5","5"
"2003","Not Working","vocational + Abi","4.06","5","291","2","3","5","5","5","3.91","4.21","1","5","5","5"
"2003","Part Time","general elemantary","4.15","5","611","2","3","5","5","5","4.05","4.25","1","5","5","5"
"2003","Part Time","higher education","3.92","4","883","2","3","5","5","5","3.83","4.01","1","5","4","5"
"2003","Part Time","higher vocational","3.76","4","383","2","3","5","5","5","3.63","3.89","1","5","4","5"
"2003","Part Time","in school","3.97","5","115","2","3","5","5","5","3.74","4.2","1","5","4","5"
"2003","Part Time","inadequately","4.25","5","42","3","4","5","5","5","3.86","4.64","1","5","5","5"
"2003","Part Time","middle vocational","4.08","5","2694","2","3","5","5","5","4.03","4.13","1","5","5","5"
"2003","Part Time","vocational + Abi","3.91","5","324","2","3","5","5","5","3.76","4.06","1","5","4","5"
"2004","Full Time","general elemantary","","","","","","","","","","","","","",""
"2004","Full Time","higher education","","","","","","","","","","","","","",""
"2004","Full Time","higher vocational","","","","","","","","","","","","","",""
"2004","Full Time","in school","","","","","","","","","","","","","",""
"2004","Full Time","inadequately","","","","","","","","","","","","","",""
"2004","Full Time","middle vocational","","","","","","","","","","","","","",""
"2004","Full Time","vocational + Abi","","","","","","","","","","","","","",""
"2004","Not Working","general elemantary","","","","","","","","","","","","","",""
"2004","Not Working","higher education","","","","","","","","","","","","","",""
"2004","Not Working","higher vocational","","","","","","","","","","","","","",""
