"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","general elemantary","East Germany","4.27","5","418","2","4","5","5","5","4.16","4.38","1","5","5","5"
"2003","general elemantary","West Germany","4.35","5","2324","2","4","5","5","5","4.3","4.4","1","5","5","5"
"2003","higher education","East Germany","4.25","5","1289","3","4","5","5","5","4.19","4.31","1","5","5","5"
"2003","higher education","West Germany","4.04","5","3054","2","3","5","5","5","4","4.08","1","5","4","5"
"2003","higher vocational","East Germany","4.16","5","452","2","3","5","5","5","4.05","4.27","1","5","5","5"
"2003","higher vocational","West Germany","4.03","5","1232","2","3","5","5","5","3.96","4.1","1","5","4","5"
"2003","in school","East Germany","4.1","5","159","2","4","5","5","5","3.91","4.29","1","5","4","5"
"2003","in school","West Germany","3.99","5","451","2","3","5","5","5","3.87","4.11","1","5","4","5"
"2003","inadequately","East Germany","","","","","","","","","","","","","",""
"2003","inadequately","West Germany","4.4","5","247","2","4","5","5","5","4.26","4.54","1","5","5","5"
"2003","middle vocational","East Germany","4.32","5","2810","3","4","5","5","5","4.28","4.36","1","5","5","5"
"2003","middle vocational","West Germany","4.23","5","8298","2","4","5","5","5","4.2","4.26","1","5","5","5"
"2003","vocational + Abi","East Germany","4.52","5","143","3","4","5","5","5","4.34","4.7","1","5","5","5"
"2003","vocational + Abi","West Germany","3.96","5","1020","2","3","5","5","5","3.88","4.04","1","5","4","5"
"2004","general elemantary","East Germany","","","","","","","","","","","","","",""
"2004","general elemantary","West Germany","","","","","","","","","","","","","",""
"2004","higher education","East Germany","","","","","","","","","","","","","",""
"2004","higher education","West Germany","","","","","","","","","","","","","",""
"2004","higher vocational","East Germany","","","","","","","","","","","","","",""
"2004","higher vocational","West Germany","","","","","","","","","","","","","",""
"2004","in school","East Germany","","","","","","","","","","","","","",""
"2004","in school","West Germany","","","","","","","","","","","","","",""
"2004","inadequately","East Germany","","","","","","","","","","","","","",""
"2004","inadequately","West Germany","","","","","","","","","","","","","",""
"2004","middle vocational","East Germany","","","","","","","","","","","","","",""
"2004","middle vocational","West Germany","","","","","","","","","","","","","",""
"2004","vocational + Abi","East Germany","","","","","","","","","","","","","",""
