"pli0089","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","7","","","","1"
"Daily","1990","35-65 y.","13","","","","1"
"Daily","1990","66 and older","","","","","1"
"Min 1x per month","1990","35-65 y.","398","0.0847626382201339","0.076862576102519","0.0926627003377487","3"
"Min 1x per month","1990","16-34 y.","445","0.127920471152372","0.117077522632043","0.1387634196727","3"
"Min 1x per month","1990","66 and older","27","","","","3"
"Min 1x per week","1990","16-34 y.","396","0.105656159534185","0.0956768844324979","0.115635434635873","2"
"Min 1x per week","1990","35-65 y.","276","0.057826119485213","0.0512056474135463","0.0644465915568798","2"
"Min 1x per week","1990","66 and older","12","","","","2"
"Never","1990","16-34 y.","1682","0.425668126489618","0.409616599620407","0.441719653358829","5"
"Never","1990","66 and older","920","0.888018445114579","0.868962764674677","0.90707412555448","5"
"Never","1990","35-65 y.","2934","0.585365599496824","0.571392020106165","0.599339178887482","5"
"Rarely","1990","16-34 y.","1115","0.339310008431381","0.323939206592308","0.354680810270454","4"
"Rarely","1990","66 and older","93","0.0793236275798875","0.0629932959808236","0.0956539591789513","4"
"Rarely","1990","35-65 y.","1154","0.268956379436666","0.256379468838189","0.281533290035143","4"
"Daily","1991","16-34 y.","","","","","1"
"Daily","1991","35-65 y.","","","","","1"
"Daily","1991","66 and older","","","","","1"
"Min 1x per month","1991","16-34 y.","","","","","3"
"Min 1x per month","1991","35-65 y.","","","","","3"
"Min 1x per month","1991","66 and older","","","","","3"
"Min 1x per week","1991","16-34 y.","","","","","2"
"Min 1x per week","1991","35-65 y.","","","","","2"
"Min 1x per week","1991","66 and older","","","","","2"
"Never","1991","16-34 y.","","","","","5"
"Never","1991","35-65 y.","","","","","5"
"Never","1991","66 and older","","","","","5"
"Rarely","1991","16-34 y.","","","","","4"
"Rarely","1991","35-65 y.","","","","","4"
"Rarely","1991","66 and older","","","","","4"
"Daily","1992","16-34 y.","","","","","1"
"Daily","1992","35-65 y.","","","","","1"
"Daily","1992","66 and older","","","","","1"
"Min 1x per month","1992","16-34 y.","","","","","3"
"Min 1x per month","1992","35-65 y.","","","","","3"
"Min 1x per month","1992","66 and older","","","","","3"
