"pli0089","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","in school","","","","","1"
"Daily","1990","Schleswig-Holstein","inadequately","","","","","1"
"Daily","1990","Schleswig-Holstein","general elemantary","","","","","1"
"Daily","1990","Schleswig-Holstein","middle vocational","","","","","1"
"Daily","1990","Schleswig-Holstein","vocational + Abi","","","","","1"
"Daily","1990","Schleswig-Holstein","higher vocational","","","","","1"
"Daily","1990","Schleswig-Holstein","higher education","","","","","1"
"Daily","1990","Hamburg","in school","","","","","1"
"Daily","1990","Hamburg","inadequately","","","","","1"
"Daily","1990","Hamburg","general elemantary","","","","","1"
"Daily","1990","Hamburg","middle vocational","","","","","1"
"Daily","1990","Hamburg","vocational + Abi","","","","","1"
"Daily","1990","Hamburg","higher vocational","","","","","1"
"Daily","1990","Hamburg","higher education","","","","","1"
"Daily","1990","Lower Saxony","in school","","","","","1"
"Daily","1990","Lower Saxony","inadequately","1","","","","1"
"Daily","1990","Lower Saxony","general elemantary","1","","","","1"
"Daily","1990","Lower Saxony","middle vocational","","","","","1"
"Daily","1990","Lower Saxony","vocational + Abi","","","","","1"
"Daily","1990","Lower Saxony","higher vocational","1","","","","1"
"Daily","1990","Lower Saxony","higher education","","","","","1"
"Daily","1990","Bremen","in school","","","","","1"
"Daily","1990","Bremen","inadequately","1","","","","1"
"Daily","1990","Bremen","general elemantary","","","","","1"
"Daily","1990","Bremen","middle vocational","","","","","1"
"Daily","1990","Bremen","vocational + Abi","","","","","1"
"Daily","1990","Bremen","higher vocational","","","","","1"
"Daily","1990","Bremen","higher education","","","","","1"
"Daily","1990","North Rhine-Westphalia","in school","","","","","1"
"Daily","1990","North Rhine-Westphalia","inadequately","","","","","1"
"Daily","1990","North Rhine-Westphalia","general elemantary","2","","","","1"
"Daily","1990","North Rhine-Westphalia","middle vocational","6","","","","1"
"Daily","1990","North Rhine-Westphalia","vocational + Abi","","","","","1"
"Daily","1990","North Rhine-Westphalia","higher vocational","","","","","1"
"Daily","1990","North Rhine-Westphalia","higher education","","","","","1"
"Daily","1990","Hesse","in school","","","","","1"
"Daily","1990","Hesse","inadequately","","","","","1"
"Daily","1990","Hesse","general elemantary","","","","","1"
"Daily","1990","Hesse","middle vocational","1","","","","1"
"Daily","1990","Hesse","vocational + Abi","","","","","1"
"Daily","1990","Hesse","higher vocational","","","","","1"
"Daily","1990","Hesse","higher education","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","in school","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","inadequately","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","general elemantary","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","middle vocational","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","higher vocational","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","higher education","","","","","1"
"Daily","1990","Baden-Württemberg","in school","","","","","1"
"Daily","1990","Baden-Württemberg","inadequately","","","","","1"
"Daily","1990","Baden-Württemberg","general elemantary","","","","","1"
"Daily","1990","Baden-Württemberg","middle vocational","1","","","","1"
"Daily","1990","Baden-Württemberg","vocational + Abi","","","","","1"
"Daily","1990","Baden-Württemberg","higher vocational","","","","","1"
"Daily","1990","Baden-Württemberg","higher education","","","","","1"
"Daily","1990","Bavaria","in school","","","","","1"
"Daily","1990","Bavaria","inadequately","1","","","","1"
"Daily","1990","Bavaria","general elemantary","2","","","","1"
"Daily","1990","Bavaria","middle vocational","2","","","","1"
"Daily","1990","Bavaria","vocational + Abi","","","","","1"
"Daily","1990","Bavaria","higher vocational","1","","","","1"
"Daily","1990","Bavaria","higher education","","","","","1"
"Daily","1990","Berlin","in school","","","","","1"
"Daily","1990","Berlin","inadequately","","","","","1"
"Daily","1990","Berlin","general elemantary","","","","","1"
"Daily","1990","Berlin","middle vocational","","","","","1"
"Daily","1990","Berlin","vocational + Abi","","","","","1"
"Daily","1990","Berlin","higher vocational","","","","","1"
"Daily","1990","Berlin","higher education","","","","","1"
"Daily","1990","Brandenburg","in school","","","","","1"
"Daily","1990","Brandenburg","inadequately","","","","","1"
"Daily","1990","Brandenburg","general elemantary","","","","","1"
"Daily","1990","Brandenburg","middle vocational","","","","","1"
"Daily","1990","Brandenburg","vocational + Abi","","","","","1"
"Daily","1990","Brandenburg","higher vocational","","","","","1"
