"pli0089","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","in school","","","","","1"
"Daily","1990","Not Employed","inadequately","","","","","1"
"Daily","1990","Not Employed","general elemantary","2","","","","1"
"Daily","1990","Not Employed","middle vocational","1","","","","1"
"Daily","1990","Not Employed","vocational + Abi","","","","","1"
"Daily","1990","Not Employed","higher vocational","","","","","1"
"Daily","1990","Not Employed","higher education","","","","","1"
"Daily","1990","Employed","in school","","","","","1"
"Daily","1990","Employed","inadequately","3","","","","1"
"Daily","1990","Employed","general elemantary","3","","","","1"
"Daily","1990","Employed","middle vocational","9","","","","1"
"Daily","1990","Employed","vocational + Abi","","","","","1"
"Daily","1990","Employed","higher vocational","2","","","","1"
"Daily","1990","Employed","higher education","","","","","1"
"Min 1x per month","1990","Not Employed","in school","16","","","","3"
"Min 1x per month","1990","Not Employed","inadequately","9","","","","3"
"Min 1x per month","1990","Not Employed","general elemantary","56","0.0363796530916169","0.0252388761381377","0.0475204300450962","3"
"Min 1x per month","1990","Not Employed","middle vocational","102","0.0671449786734216","0.0541231870870042","0.0801667702598391","3"
"Min 1x per month","1990","Not Employed","vocational + Abi","6","","","","3"
"Min 1x per month","1990","Not Employed","higher vocational","6","","","","3"
"Min 1x per month","1990","Not Employed","higher education","4","","","","3"
"Min 1x per month","1990","Employed","in school","4","","","","3"
"Min 1x per month","1990","Employed","inadequately","34","0.147077870181897","0.11089087361821","0.183264866745584","3"
"Min 1x per month","1990","Employed","general elemantary","138","0.100516461732472","0.084697842800956","0.116335080663988","3"
"Min 1x per month","1990","Employed","middle vocational","389","0.119517738526132","0.108142275914171","0.130893201138093","3"
"Min 1x per month","1990","Employed","vocational + Abi","23","","","","3"
"Min 1x per month","1990","Employed","higher vocational","39","0.125624502980335","0.0921248478459165","0.159124158114753","3"
"Min 1x per month","1990","Employed","higher education","33","0.061275781652408","0.0414998337950331","0.0810517295097828","3"
"Min 1x per week","1990","Not Employed","general elemantary","35","0.0245981066369169","0.0153813979905942","0.0338148152832396","2"
"Min 1x per week","1990","Not Employed","in school","25","","","","2"
"Min 1x per week","1990","Not Employed","inadequately","6","","","","2"
"Min 1x per week","1990","Not Employed","middle vocational","43","0.0279195773428599","0.0193479671743175","0.0364911875114023","2"
"Min 1x per week","1990","Not Employed","vocational + Abi","8","","","","2"
"Min 1x per week","1990","Not Employed","higher vocational","4","","","","2"
"Min 1x per week","1990","Not Employed","higher education","2","","","","2"
"Min 1x per week","1990","Employed","in school","3","","","","2"
"Min 1x per week","1990","Employed","inadequately","16","","","","2"
"Min 1x per week","1990","Employed","general elemantary","127","0.0767453921347462","0.0627417741558727","0.0907490101136197","2"
"Min 1x per week","1990","Employed","middle vocational","321","0.0983257987949594","0.0878845813107018","0.108767016279217","2"
"Min 1x per week","1990","Employed","vocational + Abi","20","","","","2"
"Min 1x per week","1990","Employed","higher vocational","25","","","","2"
"Min 1x per week","1990","Employed","higher education","32","0.0603481427183248","0.0407127627534742","0.0799835226831753","2"
"Never","1990","Not Employed","in school","39","0.189592195292389","0.126010266516724","0.253174124068054","5"
"Never","1990","Employed","general elemantary","803","0.570246259307995","0.544203055280766","0.596289463335223","5"
"Never","1990","Employed","middle vocational","1415","0.442755586807666","0.425337619747462","0.460173553867871","5"
"Never","1990","Employed","vocational + Abi","99","0.44176946795256","0.374604457704532","0.508934478200588","5"
"Never","1990","Employed","higher vocational","183","0.455669171644701","0.405329490782216","0.506008852507187","5"
"Never","1990","Employed","higher education","317","0.552862665928797","0.511865582143219","0.593859749714376","5"
"Never","1990","Not Employed","inadequately","231","0.837875788381513","0.793584222780785","0.882167353982241","5"
"Never","1990","Not Employed","general elemantary","834","0.805693000022803","0.782149976291048","0.829236023754559","5"
"Never","1990","Not Employed","middle vocational","999","0.731509695798651","0.708451185816182","0.754568205781119","5"
"Never","1990","Not Employed","vocational + Abi","54","0.659830114984332","0.559113150906532","0.760547079062132","5"
"Never","1990","Not Employed","higher vocational","100","0.753601655198721","0.68170670905814","0.825496601339302","5"
"Never","1990","Not Employed","higher education","104","0.808432163512","0.741042151740398","0.875822175283601","5"
"Never","1990","Employed","in school","3","","","","5"
"Never","1990","Employed","inadequately","263","0.663734674214699","0.615466321420149","0.712003027009249","5"
"Rarely","1990","Not Employed","in school","66","0.526909149037161","0.445922802479492","0.60789549559483","4"
"Rarely","1990","Not Employed","higher vocational","28","","","","4"
"Rarely","1990","Not Employed","higher education","21","","","","4"
"Rarely","1990","Not Employed","inadequately","20","","","","4"
"Rarely","1990","Not Employed","general elemantary","158","0.130934987451773","0.110863146339882","0.151006828563663","4"
"Rarely","1990","Not Employed","middle vocational","274","0.172613200212002","0.152950272192461","0.192276128231543","4"
"Rarely","1990","Not Employed","vocational + Abi","17","","","","4"
"Rarely","1990","Employed","in school","5","","","","4"
"Rarely","1990","Employed","inadequately","52","0.135779527664997","0.100780691443169","0.170778363886826","4"
"Rarely","1990","Employed","general elemantary","317","0.251541999526292","0.2287153416399","0.274368657412683","4"
"Rarely","1990","Employed","middle vocational","990","0.335807827941367","0.319246892557706","0.352368763325029","4"
"Rarely","1990","Employed","vocational + Abi","68","0.360425393017056","0.295488464882256","0.425362321151856","4"
"Rarely","1990","Employed","higher vocational","127","0.348635847402005","0.300468568176572","0.396803126627438","4"
"Rarely","1990","Employed","higher education","183","0.32551340970047","0.286877159561803","0.364149659839137","4"
"Daily","1991","Not Employed","in school","","","","","1"
"Daily","1991","Not Employed","inadequately","","","","","1"
"Daily","1991","Not Employed","general elemantary","","","","","1"
"Daily","1991","Not Employed","middle vocational","","","","","1"
"Daily","1991","Not Employed","vocational + Abi","","","","","1"
"Daily","1991","Not Employed","higher vocational","","","","","1"
"Daily","1991","Not Employed","higher education","","","","","1"
"Daily","1991","Employed","in school","","","","","1"
"Daily","1991","Employed","inadequately","","","","","1"
"Daily","1991","Employed","general elemantary","","","","","1"
"Daily","1991","Employed","middle vocational","","","","","1"
"Daily","1991","Employed","vocational + Abi","","","","","1"
"Daily","1991","Employed","higher vocational","","","","","1"
"Daily","1991","Employed","higher education","","","","","1"
"Min 1x per month","1991","Not Employed","in school","","","","","3"
"Min 1x per month","1991","Not Employed","inadequately","","","","","3"
"Min 1x per month","1991","Not Employed","general elemantary","","","","","3"
"Min 1x per month","1991","Not Employed","middle vocational","","","","","3"
"Min 1x per month","1991","Not Employed","vocational + Abi","","","","","3"
"Min 1x per month","1991","Not Employed","higher vocational","","","","","3"
"Min 1x per month","1991","Not Employed","higher education","","","","","3"
"Min 1x per month","1991","Employed","in school","","","","","3"
"Min 1x per month","1991","Employed","inadequately","","","","","3"
"Min 1x per month","1991","Employed","general elemantary","","","","","3"
"Min 1x per month","1991","Employed","middle vocational","","","","","3"
"Min 1x per month","1991","Employed","vocational + Abi","","","","","3"
"Min 1x per month","1991","Employed","higher vocational","","","","","3"
"Min 1x per month","1991","Employed","higher education","","","","","3"
"Min 1x per week","1991","Not Employed","in school","","","","","2"
"Min 1x per week","1991","Not Employed","inadequately","","","","","2"
"Min 1x per week","1991","Not Employed","general elemantary","","","","","2"
"Min 1x per week","1991","Not Employed","middle vocational","","","","","2"
"Min 1x per week","1991","Not Employed","vocational + Abi","","","","","2"
"Min 1x per week","1991","Not Employed","higher vocational","","","","","2"
"Min 1x per week","1991","Not Employed","higher education","","","","","2"
"Min 1x per week","1991","Employed","in school","","","","","2"
"Min 1x per week","1991","Employed","inadequately","","","","","2"
"Min 1x per week","1991","Employed","general elemantary","","","","","2"
"Min 1x per week","1991","Employed","middle vocational","","","","","2"
"Min 1x per week","1991","Employed","vocational + Abi","","","","","2"
"Min 1x per week","1991","Employed","higher vocational","","","","","2"
"Min 1x per week","1991","Employed","higher education","","","","","2"
"Never","1991","Not Employed","in school","","","","","5"
"Never","1991","Not Employed","inadequately","","","","","5"
"Never","1991","Not Employed","general elemantary","","","","","5"
"Never","1991","Not Employed","middle vocational","","","","","5"
"Never","1991","Not Employed","vocational + Abi","","","","","5"
"Never","1991","Not Employed","higher vocational","","","","","5"
"Never","1991","Not Employed","higher education","","","","","5"
"Never","1991","Employed","in school","","","","","5"
"Never","1991","Employed","inadequately","","","","","5"
"Never","1991","Employed","general elemantary","","","","","5"
"Never","1991","Employed","middle vocational","","","","","5"
"Never","1991","Employed","vocational + Abi","","","","","5"
"Never","1991","Employed","higher vocational","","","","","5"
"Never","1991","Employed","higher education","","","","","5"
"Rarely","1991","Not Employed","in school","","","","","4"
"Rarely","1991","Not Employed","inadequately","","","","","4"
"Rarely","1991","Not Employed","general elemantary","","","","","4"
"Rarely","1991","Not Employed","middle vocational","","","","","4"
"Rarely","1991","Not Employed","vocational + Abi","","","","","4"
"Rarely","1991","Not Employed","higher vocational","","","","","4"
"Rarely","1991","Not Employed","higher education","","","","","4"
"Rarely","1991","Employed","in school","","","","","4"
"Rarely","1991","Employed","inadequately","","","","","4"
"Rarely","1991","Employed","general elemantary","","","","","4"
"Rarely","1991","Employed","middle vocational","","","","","4"
"Rarely","1991","Employed","vocational + Abi","","","","","4"
"Rarely","1991","Employed","higher vocational","","","","","4"
"Rarely","1991","Employed","higher education","","","","","4"
"Daily","1992","Not Employed","in school","","","","","1"
"Daily","1992","Not Employed","inadequately","","","","","1"
"Daily","1992","Not Employed","general elemantary","","","","","1"
"Daily","1992","Not Employed","middle vocational","","","","","1"
"Daily","1992","Not Employed","vocational + Abi","","","","","1"
"Daily","1992","Not Employed","higher vocational","","","","","1"
"Daily","1992","Not Employed","higher education","","","","","1"
"Daily","1992","Employed","in school","","","","","1"
"Daily","1992","Employed","inadequately","","","","","1"
"Daily","1992","Employed","general elemantary","","","","","1"
"Daily","1992","Employed","middle vocational","","","","","1"
"Daily","1992","Employed","vocational + Abi","","","","","1"
"Daily","1992","Employed","higher vocational","","","","","1"
"Daily","1992","Employed","higher education","","","","","1"
"Min 1x per month","1992","Not Employed","in school","","","","","3"
"Min 1x per month","1992","Not Employed","inadequately","","","","","3"
"Min 1x per month","1992","Employed","vocational + Abi","","","","","3"
"Min 1x per month","1992","Employed","higher vocational","","","","","3"
"Min 1x per month","1992","Employed","higher education","","","","","3"
"Min 1x per month","1992","Not Employed","general elemantary","","","","","3"
"Min 1x per month","1992","Not Employed","middle vocational","","","","","3"
"Min 1x per month","1992","Not Employed","vocational + Abi","","","","","3"
"Min 1x per month","1992","Not Employed","higher vocational","","","","","3"
"Min 1x per month","1992","Not Employed","higher education","","","","","3"
"Min 1x per month","1992","Employed","in school","","","","","3"
"Min 1x per month","1992","Employed","inadequately","","","","","3"
"Min 1x per month","1992","Employed","general elemantary","","","","","3"
"Min 1x per month","1992","Employed","middle vocational","","","","","3"
"Min 1x per week","1992","Not Employed","in school","","","","","2"
"Min 1x per week","1992","Not Employed","inadequately","","","","","2"
"Min 1x per week","1992","Not Employed","general elemantary","","","","","2"
"Min 1x per week","1992","Not Employed","middle vocational","","","","","2"
"Min 1x per week","1992","Not Employed","vocational + Abi","","","","","2"
"Min 1x per week","1992","Not Employed","higher vocational","","","","","2"
"Min 1x per week","1992","Not Employed","higher education","","","","","2"
"Min 1x per week","1992","Employed","in school","","","","","2"
"Min 1x per week","1992","Employed","inadequately","","","","","2"
"Min 1x per week","1992","Employed","general elemantary","","","","","2"
"Min 1x per week","1992","Employed","middle vocational","","","","","2"
"Min 1x per week","1992","Employed","vocational + Abi","","","","","2"
"Min 1x per week","1992","Employed","higher vocational","","","","","2"
"Min 1x per week","1992","Employed","higher education","","","","","2"
"Never","1992","Employed","vocational + Abi","","","","","5"
"Never","1992","Employed","higher vocational","","","","","5"
"Never","1992","Employed","higher education","","","","","5"
"Never","1992","Not Employed","in school","","","","","5"
"Never","1992","Not Employed","inadequately","","","","","5"
"Never","1992","Not Employed","general elemantary","","","","","5"
"Never","1992","Not Employed","middle vocational","","","","","5"
"Never","1992","Not Employed","vocational + Abi","","","","","5"
"Never","1992","Not Employed","higher vocational","","","","","5"
"Never","1992","Not Employed","higher education","","","","","5"
"Never","1992","Employed","in school","","","","","5"
"Never","1992","Employed","inadequately","","","","","5"
"Never","1992","Employed","general elemantary","","","","","5"
"Never","1992","Employed","middle vocational","","","","","5"
"Rarely","1992","Employed","vocational + Abi","","","","","4"
"Rarely","1992","Employed","higher vocational","","","","","4"
"Rarely","1992","Employed","higher education","","","","","4"
"Rarely","1992","Not Employed","in school","","","","","4"
"Rarely","1992","Not Employed","inadequately","","","","","4"
"Rarely","1992","Not Employed","general elemantary","","","","","4"
"Rarely","1992","Not Employed","middle vocational","","","","","4"
"Rarely","1992","Not Employed","vocational + Abi","","","","","4"
"Rarely","1992","Not Employed","higher vocational","","","","","4"
"Rarely","1992","Not Employed","higher education","","","","","4"
"Rarely","1992","Employed","in school","","","","","4"
"Rarely","1992","Employed","inadequately","","","","","4"
"Rarely","1992","Employed","general elemantary","","","","","4"
"Rarely","1992","Employed","middle vocational","","","","","4"
"Daily","1993","Not Employed","in school","","","","","1"
"Daily","1993","Not Employed","inadequately","","","","","1"
"Daily","1993","Not Employed","general elemantary","","","","","1"
"Daily","1993","Not Employed","middle vocational","","","","","1"
"Daily","1993","Not Employed","vocational + Abi","","","","","1"
"Daily","1993","Not Employed","higher vocational","","","","","1"
"Daily","1993","Not Employed","higher education","","","","","1"
"Daily","1993","Employed","in school","","","","","1"
"Daily","1993","Employed","inadequately","","","","","1"
"Daily","1993","Employed","general elemantary","","","","","1"
"Daily","1993","Employed","middle vocational","","","","","1"
"Daily","1993","Employed","vocational + Abi","","","","","1"
"Daily","1993","Employed","higher vocational","","","","","1"
"Daily","1993","Employed","higher education","","","","","1"
"Min 1x per month","1993","Not Employed","in school","","","","","3"
"Min 1x per month","1993","Not Employed","inadequately","","","","","3"
"Min 1x per month","1993","Not Employed","general elemantary","","","","","3"
"Min 1x per month","1993","Not Employed","middle vocational","","","","","3"
"Min 1x per month","1993","Not Employed","vocational + Abi","","","","","3"
"Min 1x per month","1993","Not Employed","higher vocational","","","","","3"
"Min 1x per month","1993","Not Employed","higher education","","","","","3"
"Min 1x per month","1993","Employed","in school","","","","","3"
"Min 1x per month","1993","Employed","inadequately","","","","","3"
"Min 1x per month","1993","Employed","general elemantary","","","","","3"
"Min 1x per month","1993","Employed","middle vocational","","","","","3"
"Min 1x per month","1993","Employed","vocational + Abi","","","","","3"
"Min 1x per month","1993","Employed","higher vocational","","","","","3"
"Min 1x per month","1993","Employed","higher education","","","","","3"
"Min 1x per week","1993","Not Employed","in school","","","","","2"
"Min 1x per week","1993","Not Employed","inadequately","","","","","2"
"Min 1x per week","1993","Not Employed","general elemantary","","","","","2"
"Min 1x per week","1993","Not Employed","middle vocational","","","","","2"
"Min 1x per week","1993","Not Employed","vocational + Abi","","","","","2"
"Min 1x per week","1993","Not Employed","higher vocational","","","","","2"
