"pli0089","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1990","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1990","Hamburg","West Germany","","","","","1"
"Daily","1990","Hamburg","East Germany","","","","","1"
"Daily","1990","Lower Saxony","West Germany","3","","","","1"
"Daily","1990","Lower Saxony","East Germany","","","","","1"
"Daily","1990","Bremen","West Germany","1","","","","1"
"Daily","1990","Bremen","East Germany","","","","","1"
"Daily","1990","North Rhine-Westphalia","West Germany","8","","","","1"
"Daily","1990","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1990","Hesse","West Germany","1","","","","1"
"Daily","1990","Hesse","East Germany","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1990","Baden-Württemberg","West Germany","1","","","","1"
"Daily","1990","Baden-Württemberg","East Germany","","","","","1"
"Daily","1990","Bavaria","West Germany","6","","","","1"
"Daily","1990","Bavaria","East Germany","","","","","1"
"Daily","1990","Berlin","West Germany","","","","","1"
"Daily","1990","Berlin","East Germany","","","","","1"
"Daily","1990","Brandenburg","West Germany","","","","","1"
"Daily","1990","Brandenburg","East Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1990","Saxony","West Germany","","","","","1"
"Daily","1990","Saxony","East Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1990","Thuringia","West Germany","","","","","1"
"Daily","1990","Thuringia","East Germany","","","","","1"
"Min 1x per month","1990","Hamburg","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1990","Hamburg","West Germany","19","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","West Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","West Germany","22","","","","3"
"Min 1x per month","1990","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","East Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","West Germany","","","","","3"
"Min 1x per month","1990","Lower Saxony","West Germany","84","0.0693433186094676","0.0534058169480746","0.0852808202708605","3"
"Min 1x per month","1990","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Bremen","West Germany","5","","","","3"
"Min 1x per month","1990","Bremen","East Germany","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","West Germany","217","0.0874520065144625","0.0765259528867826","0.0983780601421423","3"
"Min 1x per month","1990","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1990","Hesse","West Germany","70","0.0810024226674227","0.0639116013984684","0.0980932439363771","3"
"Min 1x per month","1990","Hesse","East Germany","","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","West Germany","54","0.081805134482271","0.0610527310759134","0.102557537888629","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1990","Baden-Württemberg","West Germany","214","0.109158589770854","0.0947285998344032","0.123588579707304","3"
"Min 1x per month","1990","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1990","Bavaria","West Germany","160","0.0935507841733318","0.0792865690490942","0.107814999297569","3"
"Min 1x per month","1990","Bavaria","East Germany","","","","","3"
"Min 1x per month","1990","Berlin","West Germany","25","","","","3"
"Min 1x per month","1990","Berlin","East Germany","","","","","3"
"Min 1x per month","1990","Brandenburg","West Germany","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Min 1x per week","1990","Saxony","West Germany","","","","","2"
"Min 1x per week","1990","Saxony","East Germany","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","East Germany","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","West Germany","23","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","East Germany","","","","","2"
"Min 1x per week","1990","Hamburg","West Germany","2","","","","2"
"Min 1x per week","1990","Hamburg","East Germany","","","","","2"
"Min 1x per week","1990","Lower Saxony","West Germany","74","0.0691292553360268","0.0532145422932201","0.0850439683788335","2"
"Min 1x per week","1990","Lower Saxony","East Germany","","","","","2"
"Min 1x per week","1990","Bremen","West Germany","4","","","","2"
"Min 1x per week","1990","Bremen","East Germany","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","West Germany","179","0.0633755305190248","0.0539524232485245","0.0727986377895251","2"
"Min 1x per week","1990","North Rhine-Westphalia","East Germany","","","","","2"
"Min 1x per week","1990","Hesse","West Germany","78","0.0771117382560935","0.0604011571441833","0.0938223193680036","2"
"Min 1x per week","1990","Hesse","East Germany","","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","West Germany","53","0.0736515920925769","0.0538732930509007","0.0934298911342531","2"
"Min 1x per week","1990","Thuringia","West Germany","","","","","2"
"Min 1x per week","1990","Thuringia","East Germany","","","","","2"
"Min 1x per week","1990","Brandenburg","East Germany","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","East Germany","","","","","2"
"Min 1x per week","1990","Bavaria","West Germany","108","0.0664380013220498","0.0542387750390994","0.0786372276050001","2"
"Min 1x per week","1990","Bavaria","East Germany","","","","","2"
"Min 1x per week","1990","Berlin","West Germany","15","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","West Germany","148","0.0666040736888186","0.0550663477550873","0.0781417996225499","2"
"Min 1x per week","1990","Berlin","East Germany","","","","","2"
"Min 1x per week","1990","Brandenburg","West Germany","","","","","2"
"Never","1990","Mecklenburg-Western Pomerania","East Germany","","","","","5"
"Never","1990","Saxony","West Germany","","","","","5"
"Never","1990","Schleswig-Holstein","East Germany","","","","","5"
"Never","1990","North Rhine-Westphalia","West Germany","1532","0.584835390467345","0.565777379757719","0.603893401176971","5"
"Never","1990","Schleswig-Holstein","West Germany","165","0.563940998100869","0.506267222476893","0.621614773724845","5"
"Never","1990","Hamburg","East Germany","","","","","5"
"Never","1990","Lower Saxony","East Germany","","","","","5"
"Never","1990","Bremen","West Germany","68","0.700132753078267","0.610772967537954","0.78949253861858","5"
"Never","1990","Bremen","East Germany","","","","","5"
"Never","1990","Saxony","East Germany","","","","","5"
"Never","1990","Hamburg","West Germany","102","0.656115963645279","0.58428862747632","0.727943299814238","5"
"Never","1990","Lower Saxony","West Germany","542","0.579422644355207","0.548452455253552","0.610392833456862","5"
"Never","1990","Brandenburg","East Germany","","","","","5"
"Never","1990","Saxony-Anhalt","West Germany","","","","","5"
"Never","1990","Saxony-Anhalt","East Germany","","","","","5"
"Never","1990","Thuringia","West Germany","","","","","5"
"Never","1990","Thuringia","East Germany","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Never","1990","North Rhine-Westphalia","East Germany","","","","","5"
"Never","1990","Hesse","West Germany","600","0.582694010166425","0.551804975846662","0.613583044486188","5"
"Never","1990","Hesse","East Germany","","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","West Germany","417","0.634624022245627","0.598162152221965","0.671085892269289","5"
"Never","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","1990","Baden-Württemberg","West Germany","991","0.557473896541047","0.534490268382717","0.580457524699378","5"
"Never","1990","Baden-Württemberg","East Germany","","","","","5"
"Never","1990","Bavaria","West Germany","900","0.573873304958267","0.549650200196417","0.598096409720117","5"
"Never","1990","Bavaria","East Germany","","","","","5"
"Never","1990","Berlin","West Germany","219","0.677228713824541","0.626861349843806","0.727596077805275","5"
"Never","1990","Berlin","East Germany","","","","","5"
"Never","1990","Brandenburg","West Germany","","","","","5"
"Rarely","1990","Saxony","West Germany","","","","","4"
"Rarely","1990","Hamburg","West Germany","45","0.237067252827174","0.172758163166267","0.301376342488081","4"
"Rarely","1990","Schleswig-Holstein","East Germany","","","","","4"
"Rarely","1990","North Rhine-Westphalia","West Germany","632","0.260597672803951","0.243620074476181","0.277575271131722","4"
"Rarely","1990","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"Rarely","1990","Bavaria","West Germany","427","0.262967322982799","0.241402460687691","0.284532185277906","4"
"Rarely","1990","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely","1990","Hesse","West Germany","230","0.2591074788727","0.231661778053336","0.286553179692063","4"
"Rarely","1990","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Rarely","1990","Schleswig-Holstein","West Germany","74","0.277772983015262","0.225681012318066","0.329864953712458","4"
"Rarely","1990","Hamburg","East Germany","","","","","4"
"Rarely","1990","Lower Saxony","West Germany","273","0.278899484461492","0.25076461263707","0.307034356285914","4"
"Rarely","1990","Lower Saxony","East Germany","","","","","4"
"Rarely","1990","Bremen","West Germany","23","","","","4"
"Rarely","1990","Bremen","East Germany","","","","","4"
"Rarely","1990","Hesse","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","East Germany","","","","","4"
"Rarely","1990","Saxony","East Germany","","","","","4"
"Rarely","1990","Thuringia","East Germany","","","","","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","West Germany","146","0.209919251179525","0.179082219719476","0.240756282639574","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","West Germany","440","0.266643012277962","0.246180465163871","0.287105559392054","4"
"Rarely","1990","Saxony-Anhalt","West Germany","","","","","4"
"Rarely","1990","Saxony-Anhalt","East Germany","","","","","4"
"Rarely","1990","Thuringia","West Germany","","","","","4"
"Rarely","1990","Brandenburg","East Germany","","","","","4"
"Rarely","1990","Bavaria","East Germany","","","","","4"
"Rarely","1990","Berlin","West Germany","72","0.222486390956831","0.177680014915505","0.267292766998158","4"
"Rarely","1990","Berlin","East Germany","","","","","4"
"Rarely","1990","Brandenburg","West Germany","","","","","4"
"Daily","1991","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1991","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1991","Hamburg","West Germany","","","","","1"
"Daily","1991","Hamburg","East Germany","","","","","1"
"Daily","1991","Lower Saxony","West Germany","","","","","1"
"Daily","1991","Lower Saxony","East Germany","","","","","1"
"Daily","1991","Bremen","West Germany","","","","","1"
"Daily","1991","Bremen","East Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","West Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1991","Hesse","West Germany","","","","","1"
"Daily","1991","Hesse","East Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1991","Baden-Württemberg","West Germany","","","","","1"
"Daily","1991","Baden-Württemberg","East Germany","","","","","1"
"Daily","1991","Bavaria","West Germany","","","","","1"
"Daily","1991","Bavaria","East Germany","","","","","1"
"Daily","1991","Berlin","West Germany","","","","","1"
"Daily","1991","Berlin","East Germany","","","","","1"
"Daily","1991","Brandenburg","West Germany","","","","","1"
"Daily","1991","Brandenburg","East Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1991","Saxony","West Germany","","","","","1"
"Daily","1991","Saxony","East Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1991","Thuringia","West Germany","","","","","1"
"Daily","1991","Thuringia","East Germany","","","","","1"
"Min 1x per month","1991","Saxony","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","East Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1991","Saxony","West Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","West Germany","","","","","3"
"Min 1x per month","1991","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1991","Thuringia","East Germany","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1991","Thuringia","West Germany","","","","","3"
"Min 1x per month","1991","Lower Saxony","West Germany","","","","","3"
"Min 1x per month","1991","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1991","Bremen","West Germany","","","","","3"
"Min 1x per month","1991","Bremen","East Germany","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","West Germany","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1991","Hesse","West Germany","","","","","3"
"Min 1x per month","1991","Hesse","East Germany","","","","","3"
