"pli0089","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","West Germany","","","","","1"
"Daily","1990","in school","East Germany","","","","","1"
"Daily","1990","inadequately","West Germany","3","","","","1"
"Daily","1990","inadequately","East Germany","","","","","1"
"Daily","1990","general elemantary","West Germany","5","","","","1"
"Daily","1990","general elemantary","East Germany","","","","","1"
"Daily","1990","middle vocational","West Germany","10","","","","1"
"Daily","1990","middle vocational","East Germany","","","","","1"
"Daily","1990","vocational + Abi","West Germany","","","","","1"
"Daily","1990","vocational + Abi","East Germany","","","","","1"
"Daily","1990","higher vocational","West Germany","2","","","","1"
"Daily","1990","higher vocational","East Germany","","","","","1"
"Daily","1990","higher education","West Germany","","","","","1"
"Daily","1990","higher education","East Germany","","","","","1"
"Min 1x per month","1990","in school","West Germany","20","","","","3"
"Min 1x per month","1990","in school","East Germany","","","","","3"
"Min 1x per month","1990","inadequately","West Germany","43","0.105146067878716","0.0812692715131271","0.129022864244304","3"
"Min 1x per month","1990","inadequately","East Germany","","","","","3"
"Min 1x per month","1990","general elemantary","West Germany","194","0.0657544417599854","0.055985914309907","0.0755229692100639","3"
"Min 1x per month","1990","general elemantary","East Germany","","","","","3"
"Min 1x per month","1990","middle vocational","West Germany","491","0.10058856524751","0.0918421471891148","0.109334983305905","3"
"Min 1x per month","1990","middle vocational","East Germany","","","","","3"
"Min 1x per month","1990","vocational + Abi","West Germany","29","","","","3"
"Min 1x per month","1990","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","1990","higher vocational","West Germany","45","0.0954417223218778","0.0700405394226355","0.12084290522112","3"
"Min 1x per month","1990","higher vocational","East Germany","","","","","3"
"Min 1x per month","1990","higher education","West Germany","37","0.0535370976627018","0.0368137706938184","0.0702604246315851","3"
"Min 1x per month","1990","higher education","East Germany","","","","","3"
"Min 1x per week","1990","inadequately","West Germany","22","","","","2"
"Min 1x per week","1990","in school","West Germany","28","","","","2"
"Min 1x per week","1990","in school","East Germany","","","","","2"
"Min 1x per week","1990","inadequately","East Germany","","","","","2"
"Min 1x per week","1990","general elemantary","West Germany","162","0.0484816693458985","0.0400165439638678","0.0569467947279293","2"
"Min 1x per week","1990","general elemantary","East Germany","","","","","2"
"Min 1x per week","1990","middle vocational","West Germany","364","0.0728787616422891","0.0653200899939641","0.0804374332906142","2"
"Min 1x per week","1990","middle vocational","East Germany","","","","","2"
"Min 1x per week","1990","vocational + Abi","West Germany","28","","","","2"
"Min 1x per week","1990","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","1990","higher vocational","West Germany","29","","","","2"
"Min 1x per week","1990","higher vocational","East Germany","","","","","2"
"Min 1x per week","1990","higher education","West Germany","34","0.0500913848017013","0.0338857553803581","0.0662970142230444","2"
"Min 1x per week","1990","higher education","East Germany","","","","","2"
"Never","1990","in school","West Germany","42","0.190987190816421","0.130269538302925","0.251704843329916","5"
"Never","1990","vocational + Abi","East Germany","","","","","5"
"Never","1990","higher vocational","West Germany","283","0.551244728153005","0.508247195213862","0.594242261092149","5"
"Never","1990","higher vocational","East Germany","","","","","5"
"Never","1990","higher education","West Germany","421","0.606860884365288","0.570573039833619","0.643148728896958","5"
"Never","1990","higher education","East Germany","","","","","5"
"Never","1990","in school","East Germany","","","","","5"
"Never","1990","inadequately","West Germany","494","0.741061485155693","0.706963484899609","0.775159485411776","5"
"Never","1990","inadequately","East Germany","","","","","5"
"Never","1990","general elemantary","West Germany","1637","0.697857914403216","0.679760140914972","0.71595568789146","5"
"Never","1990","general elemantary","East Germany","","","","","5"
"Never","1990","middle vocational","West Germany","2414","0.547120462353202","0.532645763041662","0.561595161664742","5"
"Never","1990","middle vocational","East Germany","","","","","5"
"Never","1990","vocational + Abi","West Germany","153","0.506888730403149","0.449837388368203","0.563940072438094","5"
"Rarely","1990","in school","West Germany","71","0.508846788043574","0.431625477832359","0.586068098254789","4"
"Rarely","1990","general elemantary","East Germany","","","","","4"
"Rarely","1990","middle vocational","West Germany","1264","0.276824123528673","0.263813423778945","0.289834823278401","4"
"Rarely","1990","in school","East Germany","","","","","4"
"Rarely","1990","inadequately","West Germany","72","0.117761329954359","0.0926714919156759","0.142851167993043","4"
"Rarely","1990","inadequately","East Germany","","","","","4"
"Rarely","1990","general elemantary","West Germany","475","0.186173244026884","0.170831997533441","0.201514490520327","4"
"Rarely","1990","middle vocational","East Germany","","","","","4"
"Rarely","1990","vocational + Abi","West Germany","85","0.320775002716936","0.267509727901004","0.374040277532869","4"
"Rarely","1990","vocational + Abi","East Germany","","","","","4"
"Rarely","1990","higher vocational","West Germany","155","0.292684040782889","0.253349618018005","0.332018463547774","4"
"Rarely","1990","higher vocational","East Germany","","","","","4"
"Rarely","1990","higher education","West Germany","204","0.289510633170309","0.255816481835839","0.323204784504778","4"
"Rarely","1990","higher education","East Germany","","","","","4"
