"pli0089","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","lower secondary degree","2","","",""
"Daily","1990","Not Employed","secondary school degree","","","",""
"Daily","1990","Not Employed","college entrance qualification","","","",""
"Daily","1990","Not Employed","Other degree","1","","",""
"Daily","1990","Not Employed","no degree/no degree yet","","","",""
"Daily","1990","Employed","lower secondary degree","7","","",""
"Daily","1990","Employed","secondary school degree","3","","",""
"Daily","1990","Employed","college entrance qualification","1","","",""
"Daily","1990","Employed","Other degree","3","","",""
"Daily","1990","Employed","no degree/no degree yet","3","","",""
"Min 1x per week","1990","Not Employed","lower secondary degree","52","0.0237857465316615","0.0167501380596501","0.0308213550036728"
"Min 1x per week","1990","Not Employed","secondary school degree","16","","",""
"Min 1x per week","1990","Not Employed","college entrance qualification","18","","",""
"Min 1x per week","1990","Not Employed","Other degree","7","","",""
"Min 1x per week","1990","Not Employed","no degree/no degree yet","30","0.0915232219798439","0.0641732604935179","0.11887318346617"
"Min 1x per week","1990","Employed","lower secondary degree","264","0.0871051306369192","0.0765388462380601","0.0976714150357783"
"Min 1x per week","1990","Employed","secondary school degree","115","0.0906530103050648","0.0745419505834403","0.106764070026689"
"Min 1x per week","1990","Employed","college entrance qualification","63","0.0775691106939694","0.0599656681887432","0.0951725531991956"
"Min 1x per week","1990","Employed","Other degree","73","0.105656689558215","0.0836422409002094","0.12767113821622"
"Min 1x per week","1990","Employed","no degree/no degree yet","26","","",""
"Min 1x per month","1990","Not Employed","lower secondary degree","99","0.0482673840014341","0.0383714895407021","0.0581632784621661"
"Min 1x per month","1990","Not Employed","secondary school degree","34","0.0509014701114449","0.030837427500998","0.0709655127218918"
"Min 1x per month","1990","Not Employed","college entrance qualification","27","","",""
"Min 1x per month","1990","Not Employed","Other degree","14","","",""
"Min 1x per month","1990","Not Employed","no degree/no degree yet","24","","",""
"Min 1x per month","1990","Employed","lower secondary degree","323","0.114787423182166","0.102843115404361","0.126731730959972"
"Min 1x per month","1990","Employed","secondary school degree","153","0.120068274394731","0.101829031860119","0.138307516929343"
"Min 1x per month","1990","Employed","college entrance qualification","70","0.0798762904038921","0.0620353256362895","0.0977172551714947"
"Min 1x per month","1990","Employed","Other degree","68","0.0929091445913764","0.0721187942704645","0.113699494912288"
"Min 1x per month","1990","Employed","no degree/no degree yet","40","0.160485776763613","0.125042669707423","0.195928883819804"
"Rarely","1990","Not Employed","lower secondary degree","286","0.143142826293514","0.126972837825443","0.159312814761585"
"Rarely","1990","Not Employed","secondary school degree","108","0.196497147776238","0.160225317961487","0.232768977590989"
"Rarely","1990","Not Employed","college entrance qualification","74","0.205198423945992","0.160601060505778","0.249795787386206"
"Rarely","1990","Not Employed","Other degree","28","","",""
"Rarely","1990","Not Employed","no degree/no degree yet","87","0.328846237700422","0.284286604543912","0.373405870856931"
"Rarely","1990","Employed","lower secondary degree","816","0.308159143004908","0.290857765738128","0.325460520271689"
"Rarely","1990","Employed","secondary school degree","414","0.347571974496415","0.320850719262921","0.374293229729909"
"Rarely","1990","Employed","college entrance qualification","314","0.351127589692942","0.319715385416193","0.382539793969692"
"Rarely","1990","Employed","Other degree","127","0.189613935300211","0.161540969910808","0.217686900689613"
"Rarely","1990","Employed","no degree/no degree yet","63","0.15399303289385","0.119140287872914","0.188845777914787"
"Never","1990","Not Employed","lower secondary degree","1363","0.783084214124775","0.76405501495737","0.802113413292181"
"Never","1990","Not Employed","secondary school degree","303","0.723851543491483","0.683038997239659","0.764664089743308"
"Never","1990","Not Employed","college entrance qualification","196","0.667466296541151","0.615439711628339","0.719492881453962"
"Never","1990","Not Employed","Other degree","204","0.807635554603078","0.759162392672164","0.856108716533993"
"Never","1990","Not Employed","no degree/no degree yet","286","0.490809232734756","0.443392592794232","0.538225872675279"
"Never","1990","Employed","lower secondary degree","1326","0.486522463610001","0.467793997151797","0.505250930068205"
"Never","1990","Employed","secondary school degree","535","0.440088497185125","0.412233836064029","0.467943158306222"
"Never","1990","Employed","college entrance qualification","439","0.490912719314626","0.458013579220179","0.523811859409074"
"Never","1990","Employed","Other degree","478","0.607196120091751","0.572220972124783","0.642171268058719"
"Never","1990","Employed","no degree/no degree yet","280","0.600442355728724","0.553146306431181","0.647738405026268"
"Daily","1991","Not Employed","lower secondary degree","","","",""
"Daily","1991","Not Employed","secondary school degree","","","",""
