"pli0089","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","7","","",""
"Daily","1990","lower secondary degree","direct migration background","2","","",""
"Daily","1990","lower secondary degree","indirect migration background","","","",""
"Daily","1990","secondary school degree","no migration background","2","","",""
"Daily","1990","secondary school degree","direct migration background","1","","",""
"Daily","1990","secondary school degree","indirect migration background","","","",""
"Daily","1990","college entrance qualification","no migration background","1","","",""
"Daily","1990","college entrance qualification","direct migration background","","","",""
"Daily","1990","college entrance qualification","indirect migration background","","","",""
"Daily","1990","Other degree","no migration background","","","",""
"Daily","1990","Other degree","direct migration background","4","","",""
"Daily","1990","Other degree","indirect migration background","","","",""
"Daily","1990","no degree/no degree yet","no migration background","","","",""
"Daily","1990","no degree/no degree yet","direct migration background","3","","",""
"Daily","1990","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","235","0.0580644950342075","0.050643421579862","0.065485568488553"
"Min 1x per week","1990","lower secondary degree","direct migration background","65","0.0524592609725784","0.0344233090024475","0.0704952129427093"
"Min 1x per week","1990","lower secondary degree","indirect migration background","16","","",""
"Min 1x per week","1990","secondary school degree","no migration background","112","0.0731562132734258","0.0598855422227601","0.0864268843240916"
"Min 1x per week","1990","secondary school degree","direct migration background","10","","",""
"Min 1x per week","1990","secondary school degree","indirect migration background","9","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","74","0.0707724801885253","0.0553199892860163","0.0862249710910343"
"Min 1x per week","1990","college entrance qualification","direct migration background","4","","",""
"Min 1x per week","1990","college entrance qualification","indirect migration background","3","","",""
"Min 1x per week","1990","Other degree","no migration background","3","","",""
"Min 1x per week","1990","Other degree","direct migration background","74","0.0867551439630585","0.0688656083399837","0.104644679586133"
"Min 1x per week","1990","Other degree","indirect migration background","3","","",""
"Min 1x per week","1990","no degree/no degree yet","no migration background","21","","",""
"Min 1x per week","1990","no degree/no degree yet","direct migration background","26","","",""
"Min 1x per week","1990","no degree/no degree yet","indirect migration background","9","","",""
"Min 1x per month","1990","lower secondary degree","no migration background","333","0.0842208554632887","0.0754082156832975","0.0930334952432798"
"Min 1x per month","1990","lower secondary degree","direct migration background","73","0.0887873377650219","0.0657774536994015","0.111797221830642"
