"pli0089","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","1-pers.-HH","3","","","","1"
"Daily","1990","Full Time","(Married) couple without C. ","2","","","","1"
"Daily","1990","Full Time","Single parent ","1","","","","1"
"Daily","1990","Full Time","Couple + C. LE 16 ","3","","","","1"
"Daily","1990","Full Time","Couple + C. GT 16 ","1","","","","1"
"Daily","1990","Full Time","Couple + C. LE and GT 16","1","","","","1"
"Daily","1990","Part Time","1-pers.-HH","2","","","","1"
"Daily","1990","Part Time","(Married) couple without C. ","","","","","1"
"Daily","1990","Part Time","Single parent ","1","","","","1"
"Daily","1990","Part Time","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Part Time","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Part Time","Couple + C. LE and GT 16","1","","","","1"
"Daily","1990","Not Working","1-pers.-HH","","","","","1"
"Daily","1990","Not Working","(Married) couple without C. ","1","","","","1"
"Daily","1990","Not Working","Single parent ","","","","","1"
"Daily","1990","Not Working","Couple + C. LE 16 ","1","","","","1"
"Daily","1990","Not Working","Couple + C. GT 16 ","1","","","","1"
"Daily","1990","Not Working","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1990","Not Working","(Married) couple without C. ","37","0.0355157104194026","0.0237403877421792","0.0472910330966259","3"
"Min 1x per month","1990","Not Working","Couple + C. GT 16 ","57","0.0885858343983459","0.0668750671516973","0.110296601644994","3"
"Min 1x per month","1990","Full Time","Single parent ","26","","","","3"
"Min 1x per month","1990","Not Working","Couple + C. LE and GT 16","29","","","","3"
"Min 1x per month","1990","Full Time","(Married) couple without C. ","106","0.104323873269902","0.0858433576658313","0.122804388873973","3"
"Min 1x per month","1990","Full Time","1-pers.-HH","45","0.1021333485706","0.073309307436549","0.130957389704651","3"
"Min 1x per month","1990","Full Time","Couple + C. LE 16 ","125","0.113028100446077","0.0941619798767382","0.131894221015415","3"
"Min 1x per month","1990","Full Time","Couple + C. GT 16 ","128","0.141788049195343","0.119892145424314","0.163683952966372","3"
"Min 1x per month","1990","Full Time","Couple + C. LE and GT 16","59","0.136184088151305","0.102739088795185","0.169629087507425","3"
"Min 1x per month","1990","Part Time","(Married) couple without C. ","20","","","","3"
"Min 1x per month","1990","Part Time","Single parent ","13","","","","3"
"Min 1x per month","1990","Part Time","Couple + C. GT 16 ","38","0.0868327668800906","0.0598058165707781","0.113859717189403","3"
"Min 1x per month","1990","Part Time","Couple + C. LE and GT 16","23","","","","3"
"Min 1x per month","1990","Not Working","1-pers.-HH","18","","","","3"
"Min 1x per month","1990","Not Working","Single parent ","15","","","","3"
"Min 1x per month","1990","Not Working","Couple + C. LE 16 ","32","0.0682094765339088","0.0464782458299285","0.0899407072378891","3"
"Min 1x per month","1990","Part Time","1-pers.-HH","10","","","","3"
"Min 1x per month","1990","Part Time","Couple + C. LE 16 ","36","0.0811508660577174","0.0568736635449622","0.105428068570472","3"
"Min 1x per week","1990","Not Working","(Married) couple without C. ","20","","","","2"
"Min 1x per week","1990","Full Time","Couple + C. LE and GT 16","41","0.104435214711968","0.0746137208781563","0.13425670854578","2"
"Min 1x per week","1990","Full Time","Couple + C. LE 16 ","106","0.0896567191421297","0.0726340178885653","0.106679420395694","2"
"Min 1x per week","1990","Part Time","Couple + C. LE 16 ","24","","","","2"
"Min 1x per week","1990","Full Time","Couple + C. GT 16 ","117","0.119863446603965","0.0994759363246102","0.14025095688332","2"
"Min 1x per week","1990","Not Working","Couple + C. GT 16 ","51","0.0726130412393369","0.0527853133684652","0.0924407691102086","2"
"Min 1x per week","1990","Not Working","1-pers.-HH","5","","","","2"
"Min 1x per week","1990","Part Time","Single parent ","5","","","","2"
"Min 1x per week","1990","Full Time","1-pers.-HH","33","0.0750708851666409","0.0499892898572105","0.100152480476071","2"
"Min 1x per week","1990","Full Time","(Married) couple without C. ","80","0.0767559039748259","0.0606620188167443","0.0928497891329075","2"
"Min 1x per week","1990","Full Time","Single parent ","26","","","","2"
"Min 1x per week","1990","Part Time","(Married) couple without C. ","14","","","","2"
"Min 1x per week","1990","Part Time","Couple + C. GT 16 ","35","0.0888996672133086","0.0615839106416293","0.116215423784988","2"
"Min 1x per week","1990","Part Time","Couple + C. LE and GT 16","24","","","","2"
"Min 1x per week","1990","Not Working","Single parent ","11","","","","2"
"Min 1x per week","1990","Not Working","Couple + C. LE 16 ","15","","","","2"
"Min 1x per week","1990","Not Working","Couple + C. LE and GT 16","22","","","","2"
"Min 1x per week","1990","Part Time","1-pers.-HH","12","","","","2"
"Never","1990","Part Time","Couple + C. LE 16 ","305","0.584849585460438","0.541041448163705","0.628657722757171","5"
"Never","1990","Part Time","Single parent ","52","0.545283639926596","0.447196512155123","0.643370767698069","5"
"Never","1990","Full Time","1-pers.-HH","212","0.491555184825015","0.443969840643035","0.539140529006996","5"
"Never","1990","Full Time","(Married) couple without C. ","512","0.468532009624187","0.43836342588629","0.498700593362085","5"
"Never","1990","Full Time","Single parent ","110","0.488766047718252","0.420833675146126","0.556698420290378","5"
"Never","1990","Full Time","Couple + C. LE 16 ","514","0.446140547478971","0.416521567743081","0.475759527214861","5"
"Never","1990","Full Time","Couple + C. GT 16 ","426","0.378178628123963","0.347739858303085","0.40861739794484","5"
"Never","1990","Full Time","Couple + C. LE and GT 16","197","0.448768254380733","0.400268941844431","0.497267566917036","5"
"Never","1990","Part Time","1-pers.-HH","65","0.574304298613051","0.48232136265767","0.666287234568432","5"
"Never","1990","Part Time","(Married) couple without C. ","203","0.647854736212983","0.594338307684693","0.701371164741273","5"
"Never","1990","Part Time","Couple + C. GT 16 ","214","0.502925331274467","0.45493622800375","0.550914434545185","5"
"Never","1990","Part Time","Couple + C. LE and GT 16","98","0.480569056286545","0.409713613226857","0.551424499346234","5"
"Never","1990","Not Working","1-pers.-HH","438","0.886135310672409","0.858264963905611","0.914005657439207","5"
"Never","1990","Not Working","(Married) couple without C. ","740","0.788783837757435","0.762814698209623","0.814752977305246","5"
"Never","1990","Not Working","Single parent ","101","0.64665200743054","0.570909617434926","0.722394397426153","5"
"Never","1990","Not Working","Couple + C. LE 16 ","361","0.639763592914051","0.598382078360694","0.681145107467408","5"
"Never","1990","Not Working","Couple + C. GT 16 ","386","0.563538009482179","0.525644051823563","0.601431967140794","5"
"Never","1990","Not Working","Couple + C. LE and GT 16","170","0.53216694676439","0.474838391665474","0.589495501863306","5"
"Rarely","1990","Full Time","1-pers.-HH","131","0.320795308567199","0.276364981993636","0.365225635140763","4"
"Rarely","1990","Full Time","Couple + C. GT 16 ","303","0.35862098259689","0.328517204416272","0.388724760777508","4"
"Rarely","1990","Full Time","(Married) couple without C. ","351","0.34932401214357","0.320500735980461","0.378147288306679","4"
"Rarely","1990","Full Time","Couple + C. LE and GT 16","106","0.310107739300887","0.265004851694127","0.355210626907647","4"
"Rarely","1990","Full Time","Couple + C. LE 16 ","334","0.350425094466792","0.321997070062401","0.378853118871183","4"
"Rarely","1990","Not Working","Couple + C. LE 16 ","108","0.254199750301397","0.216667756018875","0.29173174458392","4"
"Rarely","1990","Not Working","Couple + C. LE and GT 16","70","0.258232426181466","0.2079471422709","0.308517710092033","4"
"Rarely","1990","Not Working","Single parent ","26","","","","4"
"Rarely","1990","Not Working","Couple + C. GT 16 ","163","0.270549500467798","0.236606015791415","0.304492985144181","4"
"Rarely","1990","Full Time","Single parent ","45","0.247231104136259","0.188603950349175","0.305858257923344","4"
"Rarely","1990","Part Time","Couple + C. LE 16 ","121","0.281716845130495","0.241723824677815","0.321709865583176","4"
"Rarely","1990","Part Time","1-pers.-HH","22","","","","4"
"Rarely","1990","Part Time","(Married) couple without C. ","69","0.237867481754282","0.190161793996059","0.285573169512506","4"
"Rarely","1990","Part Time","Single parent ","28","","","","4"
"Rarely","1990","Part Time","Couple + C. GT 16 ","130","0.321342234632134","0.276520425730278","0.366164043533989","4"
"Rarely","1990","Part Time","Couple + C. LE and GT 16","45","0.266649209608846","0.203936229342941","0.329362189874751","4"
"Rarely","1990","Not Working","1-pers.-HH","38","0.0737241130925667","0.0507957645070472","0.0966524616780862","4"
"Rarely","1990","Not Working","(Married) couple without C. ","151","0.155500514238734","0.132444693100842","0.178556335376625","4"
"Daily","1991","Full Time","1-pers.-HH","","","","","1"
"Daily","1991","Full Time","(Married) couple without C. ","","","","","1"
"Daily","1991","Full Time","Single parent ","","","","","1"
"Daily","1991","Full Time","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Full Time","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Full Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1991","Part Time","1-pers.-HH","","","","","1"
"Daily","1991","Part Time","(Married) couple without C. ","","","","","1"
"Daily","1991","Part Time","Single parent ","","","","","1"
"Daily","1991","Part Time","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Part Time","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Part Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1991","Not Working","1-pers.-HH","","","","","1"
"Daily","1991","Not Working","(Married) couple without C. ","","","","","1"
"Daily","1991","Not Working","Single parent ","","","","","1"
"Daily","1991","Not Working","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Not Working","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Not Working","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1991","Full Time","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","Not Working","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","Full Time","Single parent ","","","","","3"
"Min 1x per month","1991","Full Time","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1991","Full Time","1-pers.-HH","","","","","3"
"Min 1x per month","1991","Not Working","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Not Working","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1991","Full Time","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Full Time","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1991","Part Time","1-pers.-HH","","","","","3"
"Min 1x per month","1991","Part Time","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","Part Time","Single parent ","","","","","3"
"Min 1x per month","1991","Part Time","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Part Time","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1991","Not Working","1-pers.-HH","","","","","3"
"Min 1x per month","1991","Not Working","Single parent ","","","","","3"
"Min 1x per month","1991","Not Working","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1991","Part Time","Couple + C. LE 16 ","","","","","3"
"Min 1x per week","1991","Full Time","1-pers.-HH","","","","","2"
"Min 1x per week","1991","Full Time","(Married) couple without C. ","","","","","2"
"Min 1x per week","1991","Full Time","Single parent ","","","","","2"
"Min 1x per week","1991","Full Time","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1991","Full Time","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1991","Full Time","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1991","Part Time","Single parent ","","","","","2"
"Min 1x per week","1991","Part Time","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1991","Not Working","1-pers.-HH","","","","","2"
"Min 1x per week","1991","Not Working","(Married) couple without C. ","","","","","2"
"Min 1x per week","1991","Not Working","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1991","Part Time","1-pers.-HH","","","","","2"
"Min 1x per week","1991","Part Time","(Married) couple without C. ","","","","","2"
"Min 1x per week","1991","Part Time","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1991","Part Time","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1991","Not Working","Single parent ","","","","","2"
"Min 1x per week","1991","Not Working","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1991","Not Working","Couple + C. LE and GT 16","","","","","2"
"Never","1991","Full Time","1-pers.-HH","","","","","5"
"Never","1991","Part Time","Couple + C. LE 16 ","","","","","5"
"Never","1991","Full Time","(Married) couple without C. ","","","","","5"
"Never","1991","Full Time","Single parent ","","","","","5"
"Never","1991","Full Time","Couple + C. LE 16 ","","","","","5"
"Never","1991","Full Time","Couple + C. GT 16 ","","","","","5"
"Never","1991","Full Time","Couple + C. LE and GT 16","","","","","5"
"Never","1991","Part Time","1-pers.-HH","","","","","5"
"Never","1991","Part Time","(Married) couple without C. ","","","","","5"
"Never","1991","Part Time","Single parent ","","","","","5"
"Never","1991","Part Time","Couple + C. GT 16 ","","","","","5"
"Never","1991","Part Time","Couple + C. LE and GT 16","","","","","5"
