"pli0089","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","","","",""
"Daily","1990","no migration background","(1a) inadequately completed","","","",""
"Daily","1990","no migration background","(1b) general elementary school","1","","",""
"Daily","1990","no migration background","(1c) basic vocational qualification","6","","",""
"Daily","1990","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","2","","",""
"Daily","1990","no migration background","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","","","",""
"Daily","1990","direct migration background","(0) in school","","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","3","","",""
"Daily","1990","direct migration background","(1b) general elementary school","4","","",""
"Daily","1990","direct migration background","(1c) basic vocational qualification","2","","",""
"Daily","1990","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","1","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1990","indirect migration background","(0) in school","","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no migration background","(0) in school","17","","",""
"Min 1x per week","1990","no migration background","(1a) inadequately completed","4","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","46","0.0330719035699086","0.0231625317893629","0.0429812753504543"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","190","0.0702053161418535","0.0603657321325119","0.0800449001511951"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","28","","",""
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","81","0.0689629505715438","0.0543179103145705","0.0836079908285171"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","20","","",""
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","29","","",""
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","10","","",""
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","20","","",""
"Min 1x per week","1990","direct migration background","(0) in school","3","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","23","","",""
"Min 1x per week","1990","direct migration background","(1b) general elementary school","63","0.0629760238186523","0.0461847734701673","0.0797672741671372"
"Min 1x per week","1990","direct migration background","(1c) basic vocational qualification","58","0.0650018482394752","0.0447098511914933","0.0852938452874571"
"Min 1x per week","1990","direct migration background","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1990","direct migration background","(2a) intermediate vocational","5","","",""
"Min 1x per week","1990","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Min 1x per week","1990","direct migration background","(2c_voc) vocational maturity certificate","10","","",""
"Min 1x per week","1990","direct migration background","(3a) lower tertiary education","1","","",""
