"pli0089","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","(0) in school","","","",""
"Daily","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Daily","1990","lower secondary degree","(1b) general elementary school","2","","",""
"Daily","1990","lower secondary degree","(1c) basic vocational qualification","7","","",""
"Daily","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Daily","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Daily","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Daily","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Daily","1990","secondary school degree","(0) in school","","","",""
"Daily","1990","secondary school degree","(1a) inadequately completed","","","",""
"Daily","1990","secondary school degree","(1b) general elementary school","","","",""
"Daily","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Daily","1990","secondary school degree","(2b) intermediate general qualification","","","",""
"Daily","1990","secondary school degree","(2a) intermediate vocational","3","","",""
"Daily","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Daily","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Daily","1990","college entrance qualification","(0) in school","","","",""
"Daily","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Daily","1990","college entrance qualification","(1b) general elementary school","","","",""
"Daily","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Daily","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Daily","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Daily","1990","college entrance qualification","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","college entrance qualification","(3a) lower tertiary education","","","",""
"Daily","1990","college entrance qualification","(3b) higher tertiary education","","","",""
"Daily","1990","Other degree","(0) in school","","","",""
"Daily","1990","Other degree","(1a) inadequately completed","","","",""
"Daily","1990","Other degree","(1b) general elementary school","3","","",""
"Daily","1990","Other degree","(1c) basic vocational qualification","1","","",""
"Daily","1990","Other degree","(2b) intermediate general qualification","","","",""
"Daily","1990","Other degree","(2a) intermediate vocational","","","",""
"Daily","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Other degree","(3a) lower tertiary education","","","",""
"Daily","1990","Other degree","(3b) higher tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(0) in school","","","",""
"Daily","1990","no degree/no degree yet","(1a) inadequately completed","3","","",""
"Daily","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Daily","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Daily","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Daily","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Daily","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per week","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","lower secondary degree","(1b) general elementary school","90","0.0354962889264926","0.0264100609339382","0.044582516919047"
"Min 1x per week","1990","lower secondary degree","(1c) basic vocational qualification","224","0.0695934048316303","0.0603575996447152","0.0788292100185453"
"Min 1x per week","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","secondary school degree","(0) in school","","","",""
"Min 1x per week","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per week","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","secondary school degree","(2b) intermediate general qualification","40","0.0972845421927406","0.0666723663027918","0.127896718082689"
"Min 1x per week","1990","secondary school degree","(2a) intermediate vocational","87","0.0663910746809168","0.0526606565631248","0.0801214927987087"
"Min 1x per week","1990","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(3a) lower tertiary education","2","","",""
"Min 1x per week","1990","secondary school degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per week","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per week","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per week","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","college entrance qualification","(2c_gen) general maturity certificate","23","","",""
"Min 1x per week","1990","college entrance qualification","(2c_voc) vocational maturity certificate","31","0.0931266523968427","0.061866624282607","0.124386680511078"
"Min 1x per week","1990","college entrance qualification","(3a) lower tertiary education","8","","",""
"Min 1x per week","1990","college entrance qualification","(3b) higher tertiary education","19","","",""
"Min 1x per week","1990","Other degree","(0) in school","","","",""
"Min 1x per week","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","Other degree","(1b) general elementary school","34","0.0788386622810436","0.0562757431927214","0.101401581369366"
"Min 1x per week","1990","Other degree","(1c) basic vocational qualification","28","","",""
"Min 1x per week","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","Other degree","(2c_gen) general maturity certificate","7","","",""
"Min 1x per week","1990","Other degree","(2c_voc) vocational maturity certificate","8","","",""
"Min 1x per week","1990","Other degree","(3a) lower tertiary education","1","","",""
"Min 1x per week","1990","Other degree","(3b) higher tertiary education","2","","",""
"Min 1x per week","1990","no degree/no degree yet","(0) in school","28","","",""
"Min 1x per week","1990","no degree/no degree yet","(1a) inadequately completed","28","","",""
"Min 1x per week","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per week","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per month","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","lower secondary degree","(1b) general elementary school","117","0.057622263351011","0.0461790533405682","0.0690654733614538"
"Min 1x per month","1990","lower secondary degree","(1c) basic vocational qualification","303","0.0983668791386345","0.0875576753186452","0.109176082958624"
"Min 1x per month","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per month","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Min 1x per month","1990","secondary school degree","(0) in school","","","",""
"Min 1x per month","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per month","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","secondary school degree","(2b) intermediate general qualification","41","0.102947394479486","0.0715557927093057","0.134338996249667"
"Min 1x per month","1990","secondary school degree","(2a) intermediate vocational","142","0.0982687088881265","0.0818517537652949","0.114685664010958"
"Min 1x per month","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(3a) lower tertiary education","4","","",""
"Min 1x per month","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per month","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per month","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per month","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","college entrance qualification","(2c_gen) general maturity certificate","42","0.14588333310074","0.104611252019184","0.187155414182295"
"Min 1x per month","1990","college entrance qualification","(2c_voc) vocational maturity certificate","26","","",""
"Min 1x per month","1990","college entrance qualification","(3a) lower tertiary education","8","","",""
"Min 1x per month","1990","college entrance qualification","(3b) higher tertiary education","21","","",""
"Min 1x per month","1990","Other degree","(0) in school","","","",""
"Min 1x per month","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","Other degree","(1b) general elementary school","38","0.0671368309085223","0.0461837831075477","0.0880898787094969"
"Min 1x per month","1990","Other degree","(1c) basic vocational qualification","29","","",""
"Min 1x per month","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","Other degree","(2c_gen) general maturity certificate","4","","",""
"Min 1x per month","1990","Other degree","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per month","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","Other degree","(3b) higher tertiary education","2","","",""
"Min 1x per month","1990","no degree/no degree yet","(0) in school","20","","",""
"Min 1x per month","1990","no degree/no degree yet","(1a) inadequately completed","44","0.0997943342857713","0.0772167448992328","0.12237192367231"
"Min 1x per month","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per month","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Rarely","1990","lower secondary degree","(0) in school","","","",""
"Rarely","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Rarely","1990","lower secondary degree","(1b) general elementary school","286","0.164407618473654","0.146206486102651","0.182608750844657"
"Rarely","1990","lower secondary degree","(1c) basic vocational qualification","808","0.266686641899046","0.250635728162048","0.282737555636044"
"Rarely","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Rarely","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Rarely","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Rarely","1990","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Rarely","1990","lower secondary degree","(3a) lower tertiary education","5","","",""
"Rarely","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Rarely","1990","secondary school degree","(0) in school","","","",""
"Rarely","1990","secondary school degree","(1a) inadequately completed","","","",""
"Rarely","1990","secondary school degree","(1b) general elementary school","","","",""
"Rarely","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Rarely","1990","secondary school degree","(2b) intermediate general qualification","120","0.310435821924502","0.262642182614797","0.358229461234208"
"Rarely","1990","secondary school degree","(2a) intermediate vocational","389","0.302483574367224","0.277151279562894","0.327815869171555"
"Rarely","1990","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Rarely","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1990","secondary school degree","(3a) lower tertiary education","9","","",""
