"pli0089","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","4","","",""
"Daily","1990","lower secondary degree","(Married) couple without C. ","1","","",""
"Daily","1990","lower secondary degree","Single parent ","","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","","","",""
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","1","","",""
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","1","","",""
"Daily","1990","secondary school degree","1-pers.-HH","","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","1","","",""
"Daily","1990","secondary school degree","Single parent ","1","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","","","",""
"Daily","1990","secondary school degree","Couple + C. GT 16 ","1","","",""
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","","","",""
"Daily","1990","college entrance qualification","Single parent ","1","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Daily","1990","Other degree","1-pers.-HH","","","",""
"Daily","1990","Other degree","(Married) couple without C. ","1","","",""
"Daily","1990","Other degree","Single parent ","","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","3","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","1","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","","","",""
"Daily","1990","no degree/no degree yet","Single parent ","","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Daily","1990","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"Min 1x per week","1990","lower secondary degree","1-pers.-HH","22","","",""
"Min 1x per week","1990","lower secondary degree","(Married) couple without C. ","61","0.04320906047165","0.0321135017935612","0.0543046191497388"
"Min 1x per week","1990","lower secondary degree","Single parent ","24","","",""
"Min 1x per week","1990","lower secondary degree","Couple + C. LE 16 ","56","0.0635768954754964","0.0475826023713151","0.0795711885796777"
"Min 1x per week","1990","lower secondary degree","Couple + C. GT 16 ","85","0.0773202602677855","0.0603355386066938","0.0943049819288772"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE and GT 16","39","0.125823578704286","0.0905711377925488","0.161076019616024"
"Min 1x per week","1990","secondary school degree","1-pers.-HH","15","","",""
"Min 1x per week","1990","secondary school degree","(Married) couple without C. ","26","","",""
"Min 1x per week","1990","secondary school degree","Single parent ","9","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. LE 16 ","21","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. GT 16 ","43","0.109207377672511","0.0771659621293114","0.14124879321571"
"Min 1x per week","1990","secondary school degree","Couple + C. LE and GT 16","13","","",""
"Min 1x per week","1990","college entrance qualification","1-pers.-HH","6","","",""
"Min 1x per week","1990","college entrance qualification","(Married) couple without C. ","10","","",""
"Min 1x per week","1990","college entrance qualification","Single parent ","3","","",""
"Min 1x per week","1990","college entrance qualification","Couple + C. LE 16 ","21","","",""
"Min 1x per week","1990","college entrance qualification","Couple + C. GT 16 ","36","0.13896022001085","0.0981517413433229","0.179768698678377"
"Min 1x per week","1990","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Min 1x per week","1990","Other degree","1-pers.-HH","6","","",""
"Min 1x per week","1990","Other degree","(Married) couple without C. ","12","","",""
"Min 1x per week","1990","Other degree","Single parent ","4","","",""
"Min 1x per week","1990","Other degree","Couple + C. LE 16 ","35","0.102869256561727","0.0697395567884266","0.135998956335027"
"Min 1x per week","1990","Other degree","Couple + C. GT 16 ","8","","",""
"Min 1x per week","1990","Other degree","Couple + C. LE and GT 16","11","","",""
"Min 1x per week","1990","no degree/no degree yet","1-pers.-HH","","","",""
"Min 1x per week","1990","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Min 1x per week","1990","no degree/no degree yet","Single parent ","","","",""
"Min 1x per week","1990","no degree/no degree yet","Couple + C. LE 16 ","10","","",""
"Min 1x per week","1990","no degree/no degree yet","Couple + C. GT 16 ","24","","",""
"Min 1x per week","1990","no degree/no degree yet","Couple + C. LE and GT 16","18","","",""
"Min 1x per month","1990","lower secondary degree","1-pers.-HH","35","0.0660069839932727","0.04474767194799","0.0872662960385554"
"Min 1x per month","1990","lower secondary degree","(Married) couple without C. ","78","0.0599718493748861","0.0470150603756014","0.0729286383741708"
"Min 1x per month","1990","lower secondary degree","Single parent ","33","0.141373013938283","0.0964439235200476","0.186302104356519"
"Min 1x per month","1990","lower secondary degree","Couple + C. LE 16 ","95","0.0995384048350029","0.0799135131994015","0.119163296470604"
"Min 1x per month","1990","lower secondary degree","Couple + C. GT 16 ","109","0.104726017274754","0.0852548689952043","0.124197165554304"
