"pli0089","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","","","",""
"Daily","1990","(0) in school","Female","","","",""
"Daily","1990","(1a) inadequately completed","Male","2","","",""
"Daily","1990","(1a) inadequately completed","Female","1","","",""
"Daily","1990","(1b) general elementary school","Male","4","","",""
"Daily","1990","(1b) general elementary school","Female","1","","",""
"Daily","1990","(1c) basic vocational qualification","Male","8","","",""
"Daily","1990","(1c) basic vocational qualification","Female","","","",""
"Daily","1990","(2b) intermediate general qualification","Male","","","",""
"Daily","1990","(2b) intermediate general qualification","Female","","","",""
"Daily","1990","(2a) intermediate vocational","Male","","","",""
"Daily","1990","(2a) intermediate vocational","Female","3","","",""
"Daily","1990","(2c_gen) general maturity certificate","Male","1","","",""
"Daily","1990","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1990","(3a) lower tertiary education","Male","","","",""
"Daily","1990","(3a) lower tertiary education","Female","","","",""
"Daily","1990","(3b) higher tertiary education","Male","","","",""
"Daily","1990","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1990","(0) in school","Male","25","","",""
"Min 1x per week","1990","(0) in school","Female","3","","",""
"Min 1x per week","1990","(1a) inadequately completed","Male","22","","",""
"Min 1x per week","1990","(1a) inadequately completed","Female","6","","",""
"Min 1x per week","1990","(1b) general elementary school","Male","88","0.0932541568223095","0.072621141127359","0.11388717251726"
"Min 1x per week","1990","(1b) general elementary school","Female","36","0.0195031213380092","0.0122018472622722","0.0268043954137462"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","202","0.0966688762382926","0.0832861059255628","0.110051646551022"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","50","0.0350409628500674","0.0252064570874607","0.0448754686126741"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","26","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","Female","14","","",""
"Min 1x per week","1990","(2a) intermediate vocational","Male","56","0.100740384148165","0.0751159370848856","0.126364831211445"
"Min 1x per week","1990","(2a) intermediate vocational","Female","31","0.0419931457723691","0.0274730454624989","0.0565132460822393"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","21","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","10","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","28","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Female","12","","",""
"Min 1x per week","1990","(3a) lower tertiary education","Male","11","","",""
"Min 1x per week","1990","(3a) lower tertiary education","Female","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","Male","19","","",""
"Min 1x per week","1990","(3b) higher tertiary education","Female","4","","",""
"Min 1x per month","1990","(0) in school","Male","14","","",""
"Min 1x per month","1990","(0) in school","Female","6","","",""
"Min 1x per month","1990","(1a) inadequately completed","Male","37","0.193575605008598","0.148180530035066","0.23897067998213"
"Min 1x per month","1990","(1a) inadequately completed","Female","9","","",""
"Min 1x per month","1990","(1b) general elementary school","Male","99","0.124631285858386","0.101194671693446","0.148067900023327"
"Min 1x per month","1990","(1b) general elementary school","Female","56","0.0343740365466053","0.0247547421455888","0.0439933309476217"
"Min 1x per month","1990","(1c) basic vocational qualification","Male","249","0.128855252766633","0.113682114091628","0.144028391441639"
"Min 1x per month","1990","(1c) basic vocational qualification","Female","83","0.0584339203661909","0.0458889973919796","0.0709788433404023"
"Min 1x per month","1990","(2b) intermediate general qualification","Male","19","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","Female","22","","",""
"Min 1x per month","1990","(2a) intermediate vocational","Male","90","0.144661267576553","0.114714127176886","0.17460840797622"
"Min 1x per month","1990","(2a) intermediate vocational","Female","52","0.065316595255534","0.0474294868614404","0.0832037036496276"
"Min 1x per month","1990","(2c_gen) general maturity certificate","Male","35","0.175405696604681","0.123845215632773","0.22696617757659"
"Min 1x per month","1990","(2c_gen) general maturity certificate","Female","12","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Male","23","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Female","12","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Male","12","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Female","1","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Male","21","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Female","3","","",""
"Rarely","1990","(0) in school","Male","36","0.433796334322754","0.331970805996016","0.535621862649493"
"Rarely","1990","(0) in school","Female","35","0.609223109705449","0.494921672322016","0.723524547088883"
"Rarely","1990","(1a) inadequately completed","Male","48","0.162653016684746","0.120251109820834","0.205054923548659"
"Rarely","1990","(1a) inadequately completed","Female","32","0.0710387355233182","0.0456730622591128","0.0964044087875235"
"Rarely","1990","(1b) general elementary school","Male","174","0.242276141716122","0.211874528636088","0.272677754796156"
"Rarely","1990","(1b) general elementary school","Female","186","0.132955784191435","0.115029192663117","0.150882375719753"
"Rarely","1990","(1c) basic vocational qualification","Male","554","0.30482950270306","0.283982032229564","0.325676973176556"
"Rarely","1990","(1c) basic vocational qualification","Female","310","0.212959168509924","0.191063566625962","0.234854770393887"
