"pli0089","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Urban Area","Male","11","","","","1"
"Daily","1990","Urban Area","Female","2","","","","1"
"Daily","1990","Rural Area","Male","4","","","","1"
"Daily","1990","Rural Area","Female","3","","","","1"
"Min 1x per month","1990","Urban Area","Female","214","0.0538381523802152","0.0466893515513862","0.0609869532090441","3"
"Min 1x per month","1990","Urban Area","Male","491","0.125508691014998","0.114881126624412","0.136136255405584","3"
"Min 1x per month","1990","Rural Area","Female","47","0.0473940064557405","0.0340431219986536","0.0607448909128274","3"
"Min 1x per month","1990","Rural Area","Male","118","0.126803625492418","0.105497715258952","0.148109535725884","3"
"Min 1x per week","1990","Urban Area","Male","392","0.0926663279443056","0.0833646009876825","0.101968054900929","2"
"Min 1x per week","1990","Rural Area","Female","46","0.0433521807639232","0.0305562114999042","0.0561481500279422","2"
"Min 1x per week","1990","Rural Area","Male","121","0.120476554902651","0.0996338885701252","0.141319221235177","2"
"Min 1x per week","1990","Urban Area","Female","125","0.0316939931157665","0.026145178690759","0.037242807540774","2"
"Never","1990","Urban Area","Male","1767","0.466642935162315","0.450639232655247","0.482646637669384","5"
"Never","1990","Urban Area","Female","2738","0.715159158850804","0.700863377732553","0.729454939969055","5"
"Never","1990","Rural Area","Male","399","0.42548859225281","0.393831459001076","0.457145725504543","5"
"Never","1990","Rural Area","Female","632","0.673952626971324","0.644498462414583","0.703406791528064","5"
"Rarely","1990","Rural Area","Male","295","0.32402745292037","0.29406111115581","0.353993794684931","4"
"Rarely","1990","Urban Area","Male","1072","0.311495554622429","0.296639674133467","0.326351435111391","4"
"Rarely","1990","Urban Area","Female","750","0.198896284676872","0.18625290685501","0.211539662498734","4"
"Rarely","1990","Rural Area","Female","245","0.234228091328374","0.20761711087261","0.260839071784138","4"
"Daily","1991","Urban Area","Male","","","","","1"
"Daily","1991","Urban Area","Female","","","","","1"
"Daily","1991","Rural Area","Male","","","","","1"
"Daily","1991","Rural Area","Female","","","","","1"
"Min 1x per month","1991","Rural Area","Male","","","","","3"
"Min 1x per month","1991","Urban Area","Female","","","","","3"
"Min 1x per month","1991","Urban Area","Male","","","","","3"
"Min 1x per month","1991","Rural Area","Female","","","","","3"
"Min 1x per week","1991","Urban Area","Female","","","","","2"
"Min 1x per week","1991","Rural Area","Female","","","","","2"
"Min 1x per week","1991","Urban Area","Male","","","","","2"
"Min 1x per week","1991","Rural Area","Male","","","","","2"
"Never","1991","Urban Area","Male","","","","","5"
"Never","1991","Urban Area","Female","","","","","5"
"Never","1991","Rural Area","Male","","","","","5"
"Never","1991","Rural Area","Female","","","","","5"
"Rarely","1991","Rural Area","Female","","","","","4"
"Rarely","1991","Rural Area","Male","","","","","4"
"Rarely","1991","Urban Area","Female","","","","","4"
"Rarely","1991","Urban Area","Male","","","","","4"
"Daily","1992","Urban Area","Male","","","","","1"
"Daily","1992","Urban Area","Female","","","","","1"
"Daily","1992","Rural Area","Female","","","","","1"
"Daily","1992","Rural Area","Male","","","","","1"
"Min 1x per month","1992","Urban Area","Male","","","","","3"
"Min 1x per month","1992","Rural Area","Female","","","","","3"
"Min 1x per month","1992","Urban Area","Female","","","","","3"
"Min 1x per month","1992","Rural Area","Male","","","","","3"
"Min 1x per week","1992","Rural Area","Female","","","","","2"
"Min 1x per week","1992","Urban Area","Female","","","","","2"
"Min 1x per week","1992","Rural Area","Male","","","","","2"
"Min 1x per week","1992","Urban Area","Male","","","","","2"
"Never","1992","Urban Area","Male","","","","","5"
"Never","1992","Urban Area","Female","","","","","5"
"Never","1992","Rural Area","Male","","","","","5"
"Never","1992","Rural Area","Female","","","","","5"
"Rarely","1992","Rural Area","Female","","","","","4"
"Rarely","1992","Urban Area","Female","","","","","4"
"Rarely","1992","Urban Area","Male","","","","","4"
"Rarely","1992","Rural Area","Male","","","","","4"
"Daily","1993","Urban Area","Male","","","","","1"
"Daily","1993","Urban Area","Female","","","","","1"
