"pli0089","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","Male","","","",""
"Daily","1990","in school","Female","","","",""
"Daily","1990","inadequately","Male","2","","",""
"Daily","1990","inadequately","Female","1","","",""
"Daily","1990","general elemantary","Male","4","","",""
"Daily","1990","general elemantary","Female","1","","",""
"Daily","1990","middle vocational","Male","8","","",""
"Daily","1990","middle vocational","Female","2","","",""
"Daily","1990","vocational + Abi","Male","","","",""
"Daily","1990","vocational + Abi","Female","","","",""
"Daily","1990","higher vocational","Male","1","","",""
"Daily","1990","higher vocational","Female","1","","",""
"Daily","1990","higher education","Male","","","",""
"Daily","1990","higher education","Female","","","",""
"Min 1x per week","1990","in school","Male","25","","",""
"Min 1x per week","1990","in school","Female","3","","",""
"Min 1x per week","1990","inadequately","Male","16","","",""
"Min 1x per week","1990","inadequately","Female","6","","",""
"Min 1x per week","1990","general elemantary","Male","112","0.106581856219281","0.0860296632574747","0.127134049181088"
"Min 1x per week","1990","general elemantary","Female","50","0.0272480010996295","0.0192880840373695","0.0352079181618895"
"Min 1x per week","1990","middle vocational","Male","276","0.102070982123029","0.0901076354584132","0.114034328787645"
"Min 1x per week","1990","middle vocational","Female","88","0.0399238419982336","0.0315162338477776","0.0483314501486897"
"Min 1x per week","1990","vocational + Abi","Male","19","","",""
"Min 1x per week","1990","vocational + Abi","Female","9","","",""
"Min 1x per week","1990","higher vocational","Male","21","","",""
"Min 1x per week","1990","higher vocational","Female","8","","",""
"Min 1x per week","1990","higher education","Male","30","0.0691100307778036","0.0461303028240394","0.0920897587315678"
"Min 1x per week","1990","higher education","Female","4","","",""
"Min 1x per month","1990","in school","Male","14","","",""
"Min 1x per month","1990","in school","Female","6","","",""
"Min 1x per month","1990","inadequately","Male","34","0.190138290101503","0.142348135657844","0.237928444545162"
"Min 1x per month","1990","inadequately","Female","9","","",""
"Min 1x per month","1990","general elemantary","Male","117","0.137911174408948","0.114946257346235","0.160876091471662"
"Min 1x per month","1990","general elemantary","Female","77","0.0393835778221153","0.0298737481231436","0.048893407521087"
"Min 1x per month","1990","middle vocational","Male","355","0.135579264242277","0.122051072131385","0.149107456353169"
"Min 1x per month","1990","middle vocational","Female","136","0.0610877785765318","0.0508030432832799","0.0713725138697837"
"Min 1x per month","1990","vocational + Abi","Male","21","","",""
"Min 1x per month","1990","vocational + Abi","Female","8","","",""
"Min 1x per month","1990","higher vocational","Male","28","","",""
"Min 1x per month","1990","higher vocational","Female","17","","",""
"Min 1x per month","1990","higher education","Male","33","0.0716727601182445","0.0483030795463401","0.095042440690149"
"Min 1x per month","1990","higher education","Female","4","","",""
"Rarely","1990","in school","Male","36","0.433796334322754","0.331970805996016","0.535621862649493"
"Rarely","1990","in school","Female","35","0.609223109705449","0.494921672322016","0.723524547088883"
"Rarely","1990","inadequately","Male","41","0.172006909983119","0.126046434586406","0.217967385379832"
"Rarely","1990","inadequately","Female","31","0.0738138806826182","0.047350177894044","0.100277583471192"
"Rarely","1990","general elemantary","Male","217","0.274240020639614","0.244526708205057","0.303953333074171"
"Rarely","1990","general elemantary","Female","258","0.153987793019846","0.13634076339808","0.171634822641612"
"Rarely","1990","middle vocational","Male","736","0.309033527450214","0.290773062792064","0.327293992108364"
"Rarely","1990","middle vocational","Female","528","0.240463123901473","0.222110332413632","0.258815915389314"
"Rarely","1990","vocational + Abi","Male","58","0.390044389813868","0.316067513647089","0.464021265980646"
"Rarely","1990","vocational + Abi","Female","27","","",""
"Rarely","1990","higher vocational","Male","100","0.367321281972495","0.31105629851494","0.423586265430051"
"Rarely","1990","higher vocational","Female","55","0.204264997541273","0.152386748916511","0.256143246166035"
"Rarely","1990","higher education","Male","158","0.333128500712885","0.290426115093836","0.375830886331935"
"Rarely","1990","higher education","Female","46","0.202371873306714","0.150221673887456","0.254522072725972"
"Never","1990","in school","Male","16","","",""
"Never","1990","in school","Female","26","","",""
"Never","1990","inadequately","Male","166","0.574648343748544","0.514437688602547","0.634858998894541"
"Never","1990","inadequately","Female","328","0.875882296109586","0.842511067383269","0.909253524835903"
"Never","1990","general elemantary","Male","416","0.474983055745282","0.441723621032249","0.508242490458316"
"Never","1990","general elemantary","Female","1221","0.779311194742745","0.759035032303269","0.799587357182222"
"Never","1990","middle vocational","Male","1085","0.449033579905365","0.429378151560399","0.468689008250331"
"Never","1990","middle vocational","Female","1329","0.657850145671983","0.63747620095703","0.678224090386935"
"Never","1990","vocational + Abi","Male","69","0.40593502341753","0.331455808252355","0.480414238582706"
"Never","1990","vocational + Abi","Female","84","0.629492364119632","0.545828692316427","0.713156035922837"
"Never","1990","higher vocational","Male","132","0.45653674185157","0.398400560965068","0.514672922738071"
"Never","1990","higher vocational","Female","151","0.663440589128627","0.602636051970935","0.72424512628632"
"Never","1990","higher education","Male","247","0.526088708391067","0.480850730605756","0.571326686176377"
"Never","1990","higher education","Female","174","0.768225656244779","0.713453763238745","0.822997549250814"
"Daily","1991","in school","Male","","","",""
"Daily","1991","in school","Female","","","",""
"Daily","1991","inadequately","Male","","","",""
"Daily","1991","inadequately","Female","","","",""
"Daily","1991","general elemantary","Male","","","",""
"Daily","1991","general elemantary","Female","","","",""
"Daily","1991","middle vocational","Male","","","",""
"Daily","1991","middle vocational","Female","","","",""
"Daily","1991","vocational + Abi","Male","","","",""
"Daily","1991","vocational + Abi","Female","","","",""
"Daily","1991","higher vocational","Male","","","",""
"Daily","1991","higher vocational","Female","","","",""
"Daily","1991","higher education","Male","","","",""
"Daily","1991","higher education","Female","","","",""
"Min 1x per week","1991","in school","Male","","","",""
"Min 1x per week","1991","in school","Female","","","",""
"Min 1x per week","1991","inadequately","Male","","","",""
"Min 1x per week","1991","inadequately","Female","","","",""
"Min 1x per week","1991","general elemantary","Male","","","",""
"Min 1x per week","1991","general elemantary","Female","","","",""
"Min 1x per week","1991","middle vocational","Male","","","",""
"Min 1x per week","1991","middle vocational","Female","","","",""
"Min 1x per week","1991","vocational + Abi","Male","","","",""
"Min 1x per week","1991","vocational + Abi","Female","","","",""
"Min 1x per week","1991","higher vocational","Male","","","",""
"Min 1x per week","1991","higher vocational","Female","","","",""
"Min 1x per week","1991","higher education","Male","","","",""
"Min 1x per week","1991","higher education","Female","","","",""
"Min 1x per month","1991","in school","Male","","","",""
"Min 1x per month","1991","in school","Female","","","",""
"Min 1x per month","1991","inadequately","Male","","","",""
"Min 1x per month","1991","inadequately","Female","","","",""
"Min 1x per month","1991","general elemantary","Male","","","",""
"Min 1x per month","1991","general elemantary","Female","","","",""
"Min 1x per month","1991","middle vocational","Male","","","",""
"Min 1x per month","1991","middle vocational","Female","","","",""
"Min 1x per month","1991","vocational + Abi","Male","","","",""
"Min 1x per month","1991","vocational + Abi","Female","","","",""
"Min 1x per month","1991","higher vocational","Male","","","",""
"Min 1x per month","1991","higher vocational","Female","","","",""
"Min 1x per month","1991","higher education","Male","","","",""
"Min 1x per month","1991","higher education","Female","","","",""
"Rarely","1991","in school","Male","","","",""
"Rarely","1991","in school","Female","","","",""
"Rarely","1991","inadequately","Male","","","",""
"Rarely","1991","inadequately","Female","","","",""
"Rarely","1991","general elemantary","Male","","","",""
"Rarely","1991","general elemantary","Female","","","",""
"Rarely","1991","middle vocational","Male","","","",""
"Rarely","1991","middle vocational","Female","","","",""
"Rarely","1991","vocational + Abi","Male","","","",""
"Rarely","1991","vocational + Abi","Female","","","",""
"Rarely","1991","higher vocational","Male","","","",""
"Rarely","1991","higher vocational","Female","","","",""
"Rarely","1991","higher education","Male","","","",""
"Rarely","1991","higher education","Female","","","",""
"Never","1991","in school","Male","","","",""
"Never","1991","in school","Female","","","",""
"Never","1991","inadequately","Male","","","",""
"Never","1991","inadequately","Female","","","",""
"Never","1991","general elemantary","Male","","","",""
"Never","1991","general elemantary","Female","","","",""
"Never","1991","middle vocational","Male","","","",""
"Never","1991","middle vocational","Female","","","",""
"Never","1991","vocational + Abi","Male","","","",""
"Never","1991","vocational + Abi","Female","","","",""
"Never","1991","higher vocational","Male","","","",""
"Never","1991","higher vocational","Female","","","",""
"Never","1991","higher education","Male","","","",""
"Never","1991","higher education","Female","","","",""
"Daily","1992","in school","Male","","","",""
"Daily","1992","in school","Female","","","",""
"Daily","1992","inadequately","Male","","","",""
"Daily","1992","inadequately","Female","","","",""
"Daily","1992","general elemantary","Male","","","",""
"Daily","1992","general elemantary","Female","","","",""
"Daily","1992","middle vocational","Male","","","",""
"Daily","1992","middle vocational","Female","","","",""
"Daily","1992","vocational + Abi","Male","","","",""
"Daily","1992","vocational + Abi","Female","","","",""
"Daily","1992","higher vocational","Male","","","",""
"Daily","1992","higher vocational","Female","","","",""
"Daily","1992","higher education","Male","","","",""
"Daily","1992","higher education","Female","","","",""
"Min 1x per week","1992","in school","Male","","","",""
"Min 1x per week","1992","in school","Female","","","",""
"Min 1x per week","1992","inadequately","Male","","","",""
"Min 1x per week","1992","inadequately","Female","","","",""
"Min 1x per week","1992","general elemantary","Male","","","",""
"Min 1x per week","1992","general elemantary","Female","","","",""
"Min 1x per week","1992","middle vocational","Male","","","",""
"Min 1x per week","1992","middle vocational","Female","","","",""
"Min 1x per week","1992","vocational + Abi","Male","","","",""
"Min 1x per week","1992","vocational + Abi","Female","","","",""
"Min 1x per week","1992","higher vocational","Male","","","",""
"Min 1x per week","1992","higher vocational","Female","","","",""
"Min 1x per week","1992","higher education","Male","","","",""
"Min 1x per week","1992","higher education","Female","","","",""
"Min 1x per month","1992","in school","Male","","","",""
"Min 1x per month","1992","in school","Female","","","",""
"Min 1x per month","1992","inadequately","Male","","","",""
"Min 1x per month","1992","inadequately","Female","","","",""
"Min 1x per month","1992","general elemantary","Male","","","",""
"Min 1x per month","1992","general elemantary","Female","","","",""
"Min 1x per month","1992","middle vocational","Male","","","",""
"Min 1x per month","1992","middle vocational","Female","","","",""
"Min 1x per month","1992","vocational + Abi","Male","","","",""
"Min 1x per month","1992","vocational + Abi","Female","","","",""
"Min 1x per month","1992","higher vocational","Male","","","",""
"Min 1x per month","1992","higher vocational","Female","","","",""
"Min 1x per month","1992","higher education","Male","","","",""
"Min 1x per month","1992","higher education","Female","","","",""
"Rarely","1992","in school","Male","","","",""
"Rarely","1992","in school","Female","","","",""
"Rarely","1992","inadequately","Male","","","",""
"Rarely","1992","inadequately","Female","","","",""
"Rarely","1992","general elemantary","Male","","","",""
"Rarely","1992","general elemantary","Female","","","",""
"Rarely","1992","middle vocational","Male","","","",""
"Rarely","1992","middle vocational","Female","","","",""
"Rarely","1992","vocational + Abi","Male","","","",""
"Rarely","1992","vocational + Abi","Female","","","",""
"Rarely","1992","higher vocational","Male","","","",""
"Rarely","1992","higher vocational","Female","","","",""
"Rarely","1992","higher education","Male","","","",""
"Rarely","1992","higher education","Female","","","",""
"Never","1992","in school","Male","","","",""
"Never","1992","in school","Female","","","",""
"Never","1992","inadequately","Male","","","",""
"Never","1992","inadequately","Female","","","",""
"Never","1992","general elemantary","Male","","","",""
"Never","1992","general elemantary","Female","","","",""
"Never","1992","middle vocational","Male","","","",""
"Never","1992","middle vocational","Female","","","",""
"Never","1992","vocational + Abi","Male","","","",""
"Never","1992","vocational + Abi","Female","","","",""
"Never","1992","higher vocational","Male","","","",""
"Never","1992","higher vocational","Female","","","",""
"Never","1992","higher education","Male","","","",""
"Never","1992","higher education","Female","","","",""
"Daily","1993","in school","Male","","","",""
"Daily","1993","in school","Female","","","",""
"Daily","1993","inadequately","Male","","","",""
"Daily","1993","inadequately","Female","","","",""
"Daily","1993","general elemantary","Male","","","",""
"Daily","1993","general elemantary","Female","","","",""
"Daily","1993","middle vocational","Male","","","",""
"Daily","1993","middle vocational","Female","","","",""
"Daily","1993","vocational + Abi","Male","","","",""
"Daily","1993","vocational + Abi","Female","","","",""
"Daily","1993","higher vocational","Male","","","",""
"Daily","1993","higher vocational","Female","","","",""
"Daily","1993","higher education","Male","","","",""
"Daily","1993","higher education","Female","","","",""
"Min 1x per week","1993","in school","Male","","","",""
"Min 1x per week","1993","in school","Female","","","",""
"Min 1x per week","1993","inadequately","Male","","","",""
"Min 1x per week","1993","inadequately","Female","","","",""
"Min 1x per week","1993","general elemantary","Male","","","",""
"Min 1x per week","1993","general elemantary","Female","","","",""
"Min 1x per week","1993","middle vocational","Male","","","",""
"Min 1x per week","1993","middle vocational","Female","","","",""
"Min 1x per week","1993","vocational + Abi","Male","","","",""
"Min 1x per week","1993","vocational + Abi","Female","","","",""
"Min 1x per week","1993","higher vocational","Male","","","",""
"Min 1x per week","1993","higher vocational","Female","","","",""
"Min 1x per week","1993","higher education","Male","","","",""
"Min 1x per week","1993","higher education","Female","","","",""
