"pli0089","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","2","","",""
"Daily","1990","lower secondary degree","middle vocational","6","","",""
"Daily","1990","lower secondary degree","vocational + Abi","","","",""
"Daily","1990","lower secondary degree","higher vocational","1","","",""
"Daily","1990","lower secondary degree","higher education","","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","","","",""
"Daily","1990","secondary school degree","middle vocational","2","","",""
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","1","","",""
"Daily","1990","secondary school degree","higher education","","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","1","","",""
"Daily","1990","college entrance qualification","vocational + Abi","","","",""
"Daily","1990","college entrance qualification","higher vocational","","","",""
"Daily","1990","college entrance qualification","higher education","","","",""
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","","","",""
"Daily","1990","Other degree","general elemantary","3","","",""
"Daily","1990","Other degree","middle vocational","1","","",""
"Daily","1990","Other degree","vocational + Abi","","","",""
"Daily","1990","Other degree","higher vocational","","","",""
"Daily","1990","Other degree","higher education","","","",""
"Daily","1990","no degree/no degree yet","in school","","","",""
"Daily","1990","no degree/no degree yet","inadequately","3","","",""
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","90","0.0354962889264926","0.0264100609339382","0.044582516919047"
"Min 1x per week","1990","lower secondary degree","middle vocational","212","0.0713024491050835","0.0615961072561921","0.0810087909539749"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","12","","",""
"Min 1x per week","1990","lower secondary degree","higher education","1","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","40","0.0972845421927406","0.0666723663027918","0.127896718082689"
"Min 1x per week","1990","secondary school degree","middle vocational","83","0.0703778362050988","0.0552691875720715","0.0854864848381261"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","5","","",""
"Min 1x per week","1990","secondary school degree","higher education","3","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
"Min 1x per week","1990","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1990","college entrance qualification","middle vocational","23","","",""
"Min 1x per week","1990","college entrance qualification","vocational + Abi","19","","",""
"Min 1x per week","1990","college entrance qualification","higher vocational","12","","",""
"Min 1x per week","1990","college entrance qualification","higher education","27","","",""
"Min 1x per week","1990","Other degree","in school","","","",""
"Min 1x per week","1990","Other degree","inadequately","2","","",""
