"pli0089","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","Male","3","","","","1"
"Daily","1990","16-34 y.","Female","4","","","","1"
"Daily","1990","35-65 y.","Male","12","","","","1"
"Daily","1990","35-65 y.","Female","1","","","","1"
"Daily","1990","66 and older","Male","","","","","1"
"Daily","1990","66 and older","Female","","","","","1"
"Min 1x per month","1990","16-34 y.","Female","143","0.0898002759360878","0.0765596814923524","0.103040870379823","3"
"Min 1x per month","1990","16-34 y.","Male","302","0.164162009758888","0.147300727071077","0.181023292446698","3"
"Min 1x per month","1990","35-65 y.","Male","285","0.11845524604409","0.105526934699925","0.131383557388255","3"
"Min 1x per month","1990","35-65 y.","Female","113","0.0508764391746502","0.0420388051097015","0.059714073239599","3"
"Min 1x per month","1990","66 and older","Male","22","","","","3"
"Min 1x per month","1990","66 and older","Female","5","","","","3"
"Min 1x per week","1990","16-34 y.","Female","101","0.0659578958225458","0.0544626855184997","0.077453106126592","2"
"Min 1x per week","1990","16-34 y.","Male","295","0.143397995554544","0.12744455679187","0.159351434317218","2"
"Min 1x per week","1990","35-65 y.","Male","209","0.0880510144530761","0.0767140985671486","0.0993879303390036","2"
"Min 1x per week","1990","35-65 y.","Female","67","0.0274275581045886","0.0208589880556292","0.0339961281535479","2"
"Min 1x per week","1990","66 and older","Male","9","","","","2"
"Min 1x per week","1990","66 and older","Female","3","","","","2"
"Never","1990","16-34 y.","Male","645","0.328029339221145","0.306658345021453","0.349400333420837","5"
"Never","1990","16-34 y.","Female","1037","0.528368226277495","0.505249166252874","0.551487286302116","5"
"Never","1990","35-65 y.","Male","1198","0.462639800498313","0.442691921993026","0.4825876790036","5"
"Never","1990","35-65 y.","Female","1736","0.708796557249005","0.690525009536863","0.727068104961147","5"
"Never","1990","66 and older","Male","323","0.782262760263799","0.742603545575579","0.821921974952019","5"
"Never","1990","66 and older","Female","597","0.945505150474718","0.927863906284289","0.963146394665146","5"
"Rarely","1990","16-34 y.","Female","506","0.314904815495143","0.293393577437708","0.336416053552578","4"
"Rarely","1990","35-65 y.","Male","696","0.325244752278343","0.30650254422293","0.343986960333756","4"
"Rarely","1990","16-34 y.","Male","609","0.36251245367018","0.340630275793167","0.384394631547192","4"
"Rarely","1990","66 and older","Male","62","0.142085119827299","0.108534710358709","0.17563552929589","4"
"Rarely","1990","35-65 y.","Female","458","0.212344584468892","0.195896890739914","0.228792278197869","4"
"Rarely","1990","66 and older","Female","31","0.0452077177081828","0.0290611479075605","0.0613542875088051","4"
"Daily","1991","16-34 y.","Male","","","","","1"
"Daily","1991","16-34 y.","Female","","","","","1"
"Daily","1991","35-65 y.","Male","","","","","1"
"Daily","1991","35-65 y.","Female","","","","","1"
"Daily","1991","66 and older","Male","","","","","1"
"Daily","1991","66 and older","Female","","","","","1"
"Min 1x per month","1991","16-34 y.","Female","","","","","3"
"Min 1x per month","1991","16-34 y.","Male","","","","","3"
"Min 1x per month","1991","35-65 y.","Male","","","","","3"
"Min 1x per month","1991","35-65 y.","Female","","","","","3"
"Min 1x per month","1991","66 and older","Male","","","","","3"
"Min 1x per month","1991","66 and older","Female","","","","","3"
"Min 1x per week","1991","16-34 y.","Male","","","","","2"
"Min 1x per week","1991","16-34 y.","Female","","","","","2"
"Min 1x per week","1991","35-65 y.","Male","","","","","2"
"Min 1x per week","1991","35-65 y.","Female","","","","","2"
"Min 1x per week","1991","66 and older","Male","","","","","2"
"Min 1x per week","1991","66 and older","Female","","","","","2"
"Never","1991","16-34 y.","Male","","","","","5"
"Never","1991","16-34 y.","Female","","","","","5"
"Never","1991","35-65 y.","Male","","","","","5"
"Never","1991","35-65 y.","Female","","","","","5"
"Never","1991","66 and older","Male","","","","","5"
"Never","1991","66 and older","Female","","","","","5"
"Rarely","1991","16-34 y.","Female","","","","","4"
"Rarely","1991","16-34 y.","Male","","","","","4"
"Rarely","1991","35-65 y.","Male","","","","","4"
"Rarely","1991","35-65 y.","Female","","","","","4"
"Rarely","1991","66 and older","Male","","","","","4"
"Rarely","1991","66 and older","Female","","","","","4"
"Daily","1992","16-34 y.","Male","","","","","1"
"Daily","1992","16-34 y.","Female","","","","","1"
"Daily","1992","35-65 y.","Male","","","","","1"
"Daily","1992","35-65 y.","Female","","","","","1"
"Daily","1992","66 and older","Male","","","","","1"
"Daily","1992","66 and older","Female","","","","","1"
"Min 1x per month","1992","16-34 y.","Female","","","","","3"
"Min 1x per month","1992","16-34 y.","Male","","","","","3"
"Min 1x per month","1992","35-65 y.","Male","","","","","3"
"Min 1x per month","1992","35-65 y.","Female","","","","","3"
"Min 1x per month","1992","66 and older","Male","","","","","3"
"Min 1x per month","1992","66 and older","Female","","","","","3"
"Min 1x per week","1992","16-34 y.","Male","","","","","2"
"Min 1x per week","1992","35-65 y.","Male","","","","","2"
"Min 1x per week","1992","16-34 y.","Female","","","","","2"
"Min 1x per week","1992","66 and older","Male","","","","","2"
"Min 1x per week","1992","35-65 y.","Female","","","","","2"
"Min 1x per week","1992","66 and older","Female","","","","","2"
"Never","1992","16-34 y.","Male","","","","","5"
"Never","1992","16-34 y.","Female","","","","","5"
"Never","1992","35-65 y.","Male","","","","","5"
"Never","1992","35-65 y.","Female","","","","","5"
"Never","1992","66 and older","Male","","","","","5"
"Never","1992","66 and older","Female","","","","","5"
"Rarely","1992","16-34 y.","Male","","","","","4"
"Rarely","1992","16-34 y.","Female","","","","","4"
"Rarely","1992","35-65 y.","Male","","","","","4"
"Rarely","1992","35-65 y.","Female","","","","","4"
"Rarely","1992","66 and older","Male","","","","","4"
"Rarely","1992","66 and older","Female","","","","","4"
"Daily","1993","16-34 y.","Male","","","","","1"
"Daily","1993","16-34 y.","Female","","","","","1"
"Daily","1993","35-65 y.","Male","","","","","1"
"Daily","1993","35-65 y.","Female","","","","","1"
"Daily","1993","66 and older","Male","","","","","1"
"Daily","1993","66 and older","Female","","","","","1"
"Min 1x per month","1993","16-34 y.","Male","","","","","3"
"Min 1x per month","1993","16-34 y.","Female","","","","","3"
"Min 1x per month","1993","35-65 y.","Male","","","","","3"
"Min 1x per month","1993","35-65 y.","Female","","","","","3"
"Min 1x per month","1993","66 and older","Male","","","","","3"
"Min 1x per month","1993","66 and older","Female","","","","","3"
"Min 1x per week","1993","16-34 y.","Male","","","","","2"
"Min 1x per week","1993","16-34 y.","Female","","","","","2"
"Min 1x per week","1993","35-65 y.","Male","","","","","2"
"Min 1x per week","1993","35-65 y.","Female","","","","","2"
"Min 1x per week","1993","66 and older","Male","","","","","2"
"Min 1x per week","1993","66 and older","Female","","","","","2"
"Never","1993","16-34 y.","Male","","","","","5"
"Never","1993","16-34 y.","Female","","","","","5"
"Never","1993","35-65 y.","Male","","","","","5"
"Never","1993","35-65 y.","Female","","","","","5"
"Never","1993","66 and older","Male","","","","","5"
"Never","1993","66 and older","Female","","","","","5"
"Rarely","1993","16-34 y.","Male","","","","","4"
"Rarely","1993","16-34 y.","Female","","","","","4"
"Rarely","1993","35-65 y.","Male","","","","","4"
"Rarely","1993","35-65 y.","Female","","","","","4"
"Rarely","1993","66 and older","Male","","","","","4"
"Rarely","1993","66 and older","Female","","","","","4"
"Daily","1994","16-34 y.","Male","","","","","1"
"Daily","1994","16-34 y.","Female","","","","","1"
"Daily","1994","35-65 y.","Male","","","","","1"
"Daily","1994","35-65 y.","Female","","","","","1"
"Daily","1994","66 and older","Male","","","","","1"
"Daily","1994","66 and older","Female","","","","","1"
"Min 1x per month","1994","16-34 y.","Female","","","","","3"
"Min 1x per month","1994","16-34 y.","Male","","","","","3"
"Min 1x per month","1994","35-65 y.","Male","","","","","3"
"Min 1x per month","1994","35-65 y.","Female","","","","","3"
"Min 1x per month","1994","66 and older","Female","","","","","3"
"Min 1x per month","1994","66 and older","Male","","","","","3"
"Min 1x per week","1994","16-34 y.","Male","","","","","2"
"Min 1x per week","1994","16-34 y.","Female","","","","","2"
"Min 1x per week","1994","35-65 y.","Male","","","","","2"
"Min 1x per week","1994","35-65 y.","Female","","","","","2"
"Min 1x per week","1994","66 and older","Female","","","","","2"
"Min 1x per week","1994","66 and older","Male","","","","","2"
"Never","1994","16-34 y.","Male","","","","","5"
"Never","1994","16-34 y.","Female","","","","","5"
"Never","1994","35-65 y.","Male","","","","","5"
"Never","1994","35-65 y.","Female","","","","","5"
"Never","1994","66 and older","Male","","","","","5"
"Never","1994","66 and older","Female","","","","","5"
"Rarely","1994","16-34 y.","Female","","","","","4"
"Rarely","1994","16-34 y.","Male","","","","","4"
"Rarely","1994","35-65 y.","Female","","","","","4"
"Rarely","1994","35-65 y.","Male","","","","","4"
"Rarely","1994","66 and older","Male","","","","","4"
"Rarely","1994","66 and older","Female","","","","","4"
"Daily","1995","16-34 y.","Male","16","","","","1"
"Daily","1995","16-34 y.","Female","1","","","","1"
"Daily","1995","35-65 y.","Male","5","","","","1"
"Daily","1995","35-65 y.","Female","","","","","1"
"Daily","1995","66 and older","Male","","","","","1"
"Daily","1995","66 and older","Female","1","","","","1"
"Min 1x per month","1995","16-34 y.","Male","359","0.144159324331347","0.130184993081669","0.158133655581025","3"
"Min 1x per month","1995","16-34 y.","Female","197","0.0914622988896604","0.0801443792648333","0.102780218514488","3"
"Min 1x per month","1995","35-65 y.","Male","304","0.0907976353533089","0.0811056127237639","0.100489657982854","3"
"Min 1x per month","1995","35-65 y.","Female","129","0.0372004323833469","0.0308697120796869","0.043531152687007","3"
"Min 1x per month","1995","66 and older","Male","32","0.057576695089282","0.0387165227053932","0.0764368674731709","3"
"Min 1x per month","1995","66 and older","Female","9","","","","3"
"Min 1x per week","1995","16-34 y.","Male","270","0.101453302629345","0.0894412666703525","0.113465338588337","2"
"Min 1x per week","1995","16-34 y.","Female","104","0.0545621713678625","0.0456448096739584","0.0634795330617666","2"
"Min 1x per week","1995","35-65 y.","Male","211","0.070652658428198","0.062008949052905","0.079296367803491","2"
"Min 1x per week","1995","35-65 y.","Female","64","0.0255173181481598","0.0202423994994131","0.0307922367969065","2"
"Min 1x per week","1995","66 and older","Male","15","","","","2"
"Min 1x per week","1995","66 and older","Female","5","","","","2"
"Never","1995","16-34 y.","Male","867","0.360356957251695","0.34125629176737","0.379457622736021","5"
"Never","1995","16-34 y.","Female","1479","0.556481680588232","0.536976261339381","0.575987099837083","5"
"Never","1995","35-65 y.","Male","1771","0.49950689826328","0.482640720815973","0.516373075710588","5"
"Never","1995","35-65 y.","Female","2523","0.708480315278616","0.693278024814331","0.7236826057429","5"
"Never","1995","66 and older","Male","456","0.762510401660612","0.728056019563409","0.796964783757815","5"
"Never","1995","66 and older","Female","872","0.928134360938528","0.911676681672611","0.944592040204444","5"
"Rarely","1995","16-34 y.","Female","711","0.297287096281373","0.279341782118243","0.315232410444504","4"
"Rarely","1995","16-34 y.","Male","915","0.387730229580999","0.368345959919918","0.40711449924208","4"
"Rarely","1995","35-65 y.","Male","1085","0.337991892041426","0.322035611352482","0.35394817273037","4"
"Rarely","1995","35-65 y.","Female","717","0.228801934189877","0.214750391703065","0.24285347667669","4"
"Rarely","1995","66 and older","Male","83","0.152121096084394","0.123043337879783","0.181198854289006","4"
"Rarely","1995","66 and older","Female","59","0.0590929720257838","0.044066957805012","0.0741189862465556","4"
"Daily","1996","16-34 y.","Male","","","","","1"
"Daily","1996","16-34 y.","Female","","","","","1"
"Daily","1996","35-65 y.","Male","","","","","1"
"Daily","1996","35-65 y.","Female","","","","","1"
"Daily","1996","66 and older","Male","","","","","1"
"Daily","1996","66 and older","Female","","","","","1"
"Min 1x per month","1996","16-34 y.","Male","","","","","3"
"Min 1x per month","1996","16-34 y.","Female","","","","","3"
"Min 1x per month","1996","35-65 y.","Male","","","","","3"
"Min 1x per month","1996","35-65 y.","Female","","","","","3"
"Min 1x per month","1996","66 and older","Male","","","","","3"
"Min 1x per month","1996","66 and older","Female","","","","","3"
