"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","in school","","","",""
"Daily","1990","no migration background","inadequately","","","",""
"Daily","1990","no migration background","general elemantary","1","","",""
"Daily","1990","no migration background","middle vocational","7","","",""
"Daily","1990","no migration background","vocational + Abi","","","",""
"Daily","1990","no migration background","higher vocational","2","","",""
"Daily","1990","no migration background","higher education","","","",""
"Daily","1990","direct migration background","in school","","","",""
"Daily","1990","direct migration background","inadequately","3","","",""
"Daily","1990","direct migration background","general elemantary","4","","",""
"Daily","1990","direct migration background","middle vocational","3","","",""
"Daily","1990","direct migration background","vocational + Abi","","","",""
"Daily","1990","direct migration background","higher vocational","","","",""
"Daily","1990","direct migration background","higher education","","","",""
"Daily","1990","indirect migration background","in school","","","",""
"Daily","1990","indirect migration background","inadequately","","","",""
"Daily","1990","indirect migration background","general elemantary","","","",""
"Daily","1990","indirect migration background","middle vocational","","","",""
"Daily","1990","indirect migration background","vocational + Abi","","","",""
"Daily","1990","indirect migration background","higher vocational","","","",""
"Daily","1990","indirect migration background","higher education","","","",""
"Min 1x per week","1990","no migration background","in school","17","","",""
"Min 1x per week","1990","no migration background","inadequately","3","","",""
"Min 1x per week","1990","no migration background","general elemantary","73","0.04398382120904","0.0336307175008698","0.0543369249172101"
"Min 1x per week","1990","no migration background","middle vocational","281","0.0735240792635094","0.0650523586598214","0.0819957998671973"
"Min 1x per week","1990","no migration background","vocational + Abi","18","","",""
"Min 1x per week","1990","no migration background","higher vocational","25","","",""
"Min 1x per week","1990","no migration background","higher education","30","0.0501143998677496","0.0327145083474076","0.0675142913880916"
"Min 1x per week","1990","direct migration background","in school","3","","",""
"Min 1x per week","1990","direct migration background","inadequately","17","","",""
"Min 1x per week","1990","direct migration background","general elemantary","68","0.0636876344360316","0.0472712857994603","0.0801039830726028"
"Min 1x per week","1990","direct migration background","middle vocational","77","0.0679355287028544","0.0505093048067393","0.0853617525989694"
"Min 1x per week","1990","direct migration background","vocational + Abi","9","","",""
"Min 1x per week","1990","direct migration background","higher vocational","2","","",""
"Min 1x per week","1990","direct migration background","higher education","4","","",""
"Min 1x per week","1990","indirect migration background","in school","8","","",""
"Min 1x per week","1990","indirect migration background","inadequately","2","","",""
"Min 1x per week","1990","indirect migration background","general elemantary","21","","",""
"Min 1x per week","1990","indirect migration background","middle vocational","6","","",""
"Min 1x per week","1990","indirect migration background","vocational + Abi","1","","",""
"Min 1x per week","1990","indirect migration background","higher vocational","2","","",""
"Min 1x per week","1990","indirect migration background","higher education","","","",""
"Min 1x per month","1990","no migration background","in school","13","","",""
"Min 1x per month","1990","no migration background","inadequately","10","","",""
"Min 1x per month","1990","no migration background","general elemantary","98","0.0628741078324973","0.0506187399826333","0.0751294756823613"
"Min 1x per month","1990","no migration background","middle vocational","394","0.100822041259592","0.0910487615547171","0.110595320964468"
"Min 1x per month","1990","no migration background","vocational + Abi","19","","",""
"Min 1x per month","1990","no migration background","higher vocational","42","0.0976837878070379","0.0705236246636285","0.124843950950447"
"Min 1x per month","1990","no migration background","higher education","31","0.0516227655755428","0.0339769873987557","0.0692685437523299"
"Min 1x per month","1990","direct migration background","in school","2","","",""
"Min 1x per month","1990","direct migration background","inadequately","30","0.0561545821892138","0.03693184060731","0.0753773237711177"
"Min 1x per month","1990","direct migration background","general elemantary","78","0.0778987632847248","0.0598813180004352","0.0959162085690143"
"Min 1x per month","1990","direct migration background","middle vocational","82","0.0966365475189451","0.076175220616131","0.117097874421759"
"Min 1x per month","1990","direct migration background","vocational + Abi","10","","",""
"Min 1x per month","1990","direct migration background","higher vocational","3","","",""
"Min 1x per month","1990","direct migration background","higher education","6","","",""
"Min 1x per month","1990","indirect migration background","in school","5","","",""
"Min 1x per month","1990","indirect migration background","inadequately","3","","",""
"Min 1x per month","1990","indirect migration background","general elemantary","18","","",""
"Min 1x per month","1990","indirect migration background","middle vocational","15","","",""
"Min 1x per month","1990","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1990","indirect migration background","higher vocational","","","",""
